FishID;Lake;Treat;Year;TL;SL;BD;BT;adW;hW;sW;bW;gW;lW;pW;bcPW;fW;Organ;oW;Cau;Ana;Pel;Pec;Dor;Bod;lP;bcP;Enzyme;Replicat_1;Replicat_2;Backg1;Backg2;Light_path;Ext_coef;Vol_tot;Vol_sample;adil;idil;Prot_1;Prot_2;aDil_prot;pente;ordonnee
1;Triton;Ctrl;2023;96,96;81,61;37,4;15,81;20,93707;29,57;18,35;56,46;152,66;191,7;0;0;20,93707;Liver;191,7;0;0;0;0;0;0;0;0;CS;0,0246;0,0230;0,0093;0,0096;0,632;14,15;200;10;2;20;0,356;0,388;25;0,7151;0,1052
2;Triton;Ctrl;2023;94,4;76,17;40,43;15,64;19,23361;51,06;27,14;83,42;170,25;650,36;0;0;19,23361;Liver;650,36;0;0;0;0;0;0;0;0;CS;0,0281;0,0288;0,0082;0,0096;0,632;14,15;200;10;2;20;0,363;0,366;25;0,7151;0,1052
3;Triton;Ctrl;2023;98,87;84,84;39,24;15,08;21,26829;27,59;13,43;62,68;202,76;193,6;0;0;21,26829;Liver;193,6;0;0;0;0;0;0;0;0;CS;0,0260;0,0253;0,0084;0,0082;0,632;14,15;200;10;2;20;0,395;0,393;25;0,7151;0,1052
4;Triton;Ctrl;2023;92,51;76,6;37,35;14,43;17,15473;46,94;8,19;75,33;131,32;448,32;0;0;17,15473;Liver;448,32;0;0;0;0;0;0;0;0;CS;0,0312;0,0309;0,0074;0,0081;0,632;14,15;200;10;2;20;0,320;0,400;25;0,7151;0,1052
5;Triton;Ctrl;2023;91,16;76,85;36,57;14,43;17,27514;23,97;9,58;63,63;117,34;225,13;0;0;17,27514;Liver;225,13;0;0;0;0;0;0;0;0;CS;0,0265;0,0281;0,0074;0,0077;0,632;14,15;200;10;2;20;0,298;0,343;25;0,9262;0,1188
6;Triton;Ctrl;2023;100,03;81,7;39,06;17,07;21,7333;42,72;10,24;47,57;166,17;356,6;0;0;21,7333;Liver;356,6;0;0;0;0;0;0;0;0;CS;0,0241;0,0226;0,0006;0,0048;0,632;14,15;200;10;2;20;0,328;0,365;25;0,7151;0,1052
7;Triton;Ctrl;2023;91,16;78,63;36,77;13,23;16,29342;24,61;10,27;52,87;142,34;169,41;0;0;16,29342;Liver;169,41;0;0;0;0;0;0;0;0;CS;0,0250;0,0254;0,0072;0,0083;0,632;14,15;200;10;2;20;0,365;0,444;25;0,7151;0,1052
8;Triton;Ctrl;2023;111,03;95,67;43,45;18,36;32,47914;53,31;7,41;97,67;219,98;601,05;0;0;32,47914;Liver;601,05;0;0;0;0;0;0;0;0;CS;0,0271;0,0265;0,0099;0,0078;0,632;14,15;200;10;2;20;0,376;0,446;25;0,7151;0,1052
9;Triton;Ctrl;2023;93,96;76,9;36,74;14,77;17,99933;20,23;8,54;34,77;153,02;402,24;0;0;17,99933;Liver;402,24;0;0;0;0;0;0;0;0;CS;0,0290;0,0295;0,0087;0,0089;0,632;14,15;200;10;2;20;0,372;0,460;25;0,7151;0,1052
10;Triton;Ctrl;2023;74,32;60,7;30,16;12,76;10,30351;26,1;22,45;27,81;71,24;339,07;0;0;10,30351;Liver;339,07;0;0;0;0;0;0;0;0;CS;0,0265;0,0272;0,0086;0,0087;0,632;14,15;200;10;2;20;0,394;0,419;25;0,7151;0,1052
