,id,species,condition,standard_time_diff
1,1g3,A. femoralis,baseline,0.311599749495512
2,1g3,A. femoralis,alarm,0.19105815256136
3,1g5,A. femoralis,baseline,0.491547549115594
4,1g5,A. femoralis,alarm,0.627556452064774
5,1g6,A. femoralis,baseline,0.54283137962128
6,1g6,A. femoralis,alarm,1
7,1si,A. femoralis,baseline,0.332430360337337
8,1si,A. femoralis,alarm,0.958968718935725
9,2g3,A. femoralis,baseline,0.311764368146064
10,2g5,A. femoralis,baseline,0.320869669095688
11,3g6,A. femoralis,baseline,1
12,3g6,A. femoralis,alarm,1
13,4g5,A. femoralis,baseline,0
14,4g5,A. femoralis,alarm,0
15,4g6,A. femoralis,baseline,0.737110662272776
16,4g6,A. femoralis,alarm,0.724935732647815
17,5g5,A. femoralis,baseline,0.480734360834089
18,5g6,A. femoralis,baseline,0.439207502168257
19,pta1,P. terribilis,baseline,0.57476129032258
20,pta1,P. terribilis,alarm,0.882127722845885
21,pta2,P. terribilis,baseline,0.371463287623677
22,pta2,P. terribilis,alarm,0.977344141955586
23,ptb1,P. terribilis,baseline,0.603336285798643
24,ptb1,P. terribilis,alarm,0.811008601553829
25,ptb2,P. terribilis,baseline,0.588881535407015
26,ptb2,P. terribilis,alarm,0.95786692425706
27,ptc1,P. terribilis,baseline,0.6437578814628
28,ptc1,P. terribilis,alarm,0.971008561001398
29,ptc2,P. terribilis,baseline,0.720103487926408
30,ptc2,P. terribilis,alarm,0.959104186952288
31,ptd1,P. terribilis,baseline,0.384424543144136
32,ptd1,P. terribilis,alarm,0.446131447587353
33,ptd2,P. terribilis,baseline,0.316044657097289
34,ptd2,P. terribilis,alarm,0.937457969065232
35,ptd3,P. terribilis,baseline,0.528294278417492
36,pte1,P. terribilis,baseline,0.331968025368303
37,ptf1,P. terribilis,baseline,0.664876957494407
38,ptf2,P. terribilis,baseline,0.441097393689986
39,ptg2,P. terribilis,baseline,0.567317367679615
