compound,formula,id,rt,category
Cellobiose,C12H22O11,C00185,1.35,
Glucose,C6H12O6,C00031,1.34,
NAD+,C21H27N7O14P2,C00003,7.3,nicotinamide
Pyruvate,C3H4O3,C00022,7.5,
G6P,C6H13O9P,C00092,9.6,
F6P,C6H13O9P,C00085,10.2,
G1P,C6H13O9P,C00103,10.5,
GMP,C10H14N5O8P,C06193,11.2,energy
DHAP,C3H7O6P,C00111,11.32,
AMP,C10H14N5O7P,C00020,12,energy
ADP-D-glu,C16H25N5O15P2,C00498,12.69,
NADH,C21H29N7O14P2,C00004,13.05,nicotinamide
3PG,C3H7O7P,C00197,13.45,
GDP,C10H15N5O11P2,C00035,13.4,energy
ADP,C10H15N5O10P2,C00008,13.62,energy
NADP+,C21H28N7O17P3,C00006,13.76,nicotinamide
PEP,C3H5O6P,C00074,13.86,
Ppi,P2H4O7,C00013,13.54,
FBP,C6H14O12P2,C00354,14.11,
GTP,C10H16N5O14P3,C00044,14.23,energy
ATP,C10H16N5O13P3,C00002,14.44,energy
NADPH,C21H30N7O17P3,C00005,14.78,nicotinamide
CoA,C21H36N7O16P3S,C00010,15.09,
Acetyl-CoA,C23H38N7O17P3S,C00024,15.2,
