Samples_ID,Well ,punched_circle,Qubit gDNA concentration (ng/µl),Qubit gDNA concentration (ng/120µL),Column 
1,A1,Less_than_two_full_punch,0.5,100,1
2,B1,Less_than_two_full_punch,0.63,126,1
3,C1,Less_than_two_full_punch,1.2,240,1
4,D1,Two_full_punch,1.07,214,1
5,E1,Less_than_two_full_punch,1.87,374,1
6,F1,Less_than_two_full_punch,1.49,298,1
7,G1,Less_than_two_full_punch,2.49,498,1
8,H1,Less_than_two_full_punch,1.32,264,1
9,A2,Two_full_punch,1.87,374,2
10,B2,Less_than_two_full_punch,2.04,408,2
11,C2,Less_than_two_full_punch,0.78,156,2
12,D2,Less_than_two_full_punch,1.13,226,2
13,E2,Less_than_two_full_punch,1.16,232,2
14,F2,Less_than_two_full_punch,1.05,210,2
15,G2,Less_than_two_full_punch,2.7,540,2
16,H2,Less_than_two_full_punch,0.89,178,2
17,A3,Less_than_two_full_punch,0.78,156,3
18,B3,Less_than_two_full_punch,0.89,178,3
19,C3,Less_than_two_full_punch,2.25,450,3
20,D3,Less_than_two_full_punch,1.92,384,3
21,E3,Two_full_punch,1.36,272,3
22,F3,Two_full_punch,2.1,420,3
23,G3,Two_full_punch,1.62,324,3
24,H3,Two_full_punch,1.54,308,3
25,A4,Less_than_two_full_punch,1.54,308,4
26,B4,Less_than_two_full_punch,1.62,324,4
27,C4,Two_full_punch,2.86,572,4
28,D4,Two_full_punch,2.37,474,4
29,E4,Two_full_punch,1.07,214,4
30,F4,Less_than_two_full_punch,1.76,352,4
31,G4,Less_than_two_full_punch,0.6,120,4
32,H4,Two_full_punch,1.88,376,4
33,A5,Two_full_punch,1.27,254,5
34,B5,Two_full_punch,2.72,544,5
35,C5,Two_full_punch,3.68,736,5
36,D5,Two_full_punch,3.85,770,5
37,E5,Two_full_punch,3.77,754,5
38,F5,Less_than_two_full_punch,1.77,354,5
39,G5,Less_than_two_full_punch,1.72,344,5
40,H5,Two_full_punch,1.49,298,5
41,A6,Two_full_punch,2.3,460,6
42,B6,Two_full_punch,1.55,310,6
43,C6,Two_full_punch,0.94,188,6
44,D6,Two_full_punch,1.67,334,6
45,E6,Two_full_punch,3.65,730,6
46,F6,Two_full_punch,1.41,282,6
47,G6,Less_than_two_full_punch,1.24,248,6
48,A7,Two_full_punch,2.88,576,7
49,B7,Two_full_punch,1.47,294,7
50,C7,Two_full_punch,3.43,686,7
51,D7,Two_full_punch,2.32,464,7
52,E7,Two_full_punch,1.34,268,7
53,F7,Less_than_two_full_punch,0.6,120,7
54,G7,Less_than_two_full_punch,1.29,258,7
55,H7,Less_than_two_full_punch,1.01,202,7
56,A8,Less_than_two_full_punch,0.58,116,8
57,B8,Less_than_two_full_punch,0.84,168,8
58,C8,Less_than_two_full_punch,0.54,108,8
59,D8,Less_than_two_full_punch,0.67,134,8
60,E8,Two_full_punch,2.01,402,8
61,F8,Less_than_two_full_punch,1.39,278,8
62,G8,Less_than_two_full_punch,1.04,208,8
63,H8,Two_full_punch,4.88,976,8
64,A9,Two_full_punch,2.03,406,9
65,B9,Two_full_punch,4.52,904,9
66,C9,Two_full_punch,3.52,704,9
67,D9,Two_full_punch,1.15,230,9
68,E9,Two_full_punch,2.53,506,9
69,F9,Two_full_punch,2.1,420,9
70,G9,Two_full_punch,2.09,418,9
71,H9,Less_than_two_full_punch,1.68,336,9
72,A10,Two_full_punch,1.77,354,10
73,B10,Two_full_punch,2.25,450,10
74,C10,Less_than_two_full_punch,1.89,378,10
75,D10,Less_than_two_full_punch,2.06,412,10
76,E10,Two_full_punch,1.94,388,10
77,F10,Two_full_punch,2.64,528,10
78,G10,Two_full_punch,2.59,518,10
79,H10,Two_full_punch,1.5,300,10
80,A11,Two_full_punch,1.99,398,11
81,B11,Two_full_punch,1.92,384,11
82,C11,Two_full_punch,1.34,268,11
83,D11,Two_full_punch,1.78,356,11
84,E11,Two_full_punch,1.46,292,11
85,F11,Less_than_two_full_punch,3.12,624,11
86,G11,Less_than_two_full_punch,1.22,244,11
87,H11,Two_full_punch,1.57,314,11
88,A12,Two_full_punch,3.34,668,12
89,B12,Less_than_two_full_punch,1.3,260,12
90,C12,Less_than_two_full_punch,0.67,134,12
91,D12,Two_full_punch,2.88,576,12
92,E12,Less_than_two_full_punch,0.73,146,12
93,F12,Two_full_punch,1.23,246,12
