REFrank,InstCode,Institution,GPA,pct_foreign_PGs,cite_impact,h_index,graduate_salary,entry_tariff,pct_disab_stud,pct_ADHD_stud,pct_employed_grad,pct_deprived_stud,num_FTEs_submit,pct_phd_faculty,stud_satisfact,expend_per_stud,stud_staff_ratio,career_prospect,univ_income,pctStateSchools,websci_docs
2,0132,Imperial College London,3.36,.538828313,1.72,216,2.9,570,.04,.001,.9330000000000001,.184,1257,.786501377,85,8.163615793,11.56228969,84.48087432,823779,.647,58022
3,0137,London School of Economics and Political Science,3.35,.811120212,1.57,57,2.813829899,537,.04,.02,.892,.200000003,532,.511864407,84,8.617314240000001,11.7962508,82.09255533,263213,.709,8737
4,0156,University of Oxford,3.34,.564864874,1.82,249,2.63257575,580,.06,.021,.914,.096000001,2409,.746543779,93,9.808540020000001,11.05013038,73.34273625,1086870,.574,73465
5,0114,University of Cambridge,3.33,.5494949220000001,1.71,234,2.704787254,614,.05,.022,.955,.116999999,2088,.561702128,94,9.773994871999999,11.79721313,81.51595745,1438245,.63,65446
6,0179,Cardiff University,3.27,.409326434,1.48,128,2.334239006,420,.06,.023,.951,.218999997,738,.594339623,86,6.183926679,14.42561317,73.71282379,436685,.839,22712
7,0134,King’s College London,3.23,.347574532,1.61,174,2.551169634,466,.06,.03,.942,.241999999,1369,.5194109770000001,84,6.85642511,11.66588093,75.72319908999999,586948,.709,40231
8,0149,University College London,3.22,.453707248,1.7,211,2.503731251,520,.05,.023,.941,.202000007,2566,.552380952,88,8.628430407,10.09628339,76.59313725,940019,.657,75168
8,0163,University of Warwick,3.2,.47195816,1.59,106,2.404891253,509,.05,.02,.917,.194999993,931,.684491979,88,8.560272317000001,14.54845484,73.43358396000001,459628,.755,18552
11,0167,University of Edinburgh,3.18,.5002905130000001,1.72,185,2.334112167,487,.06,.026,.946,.165999994,1753,.529225908,85,8.698968609,13.85263481,70.69264069000001,737786,.673,38191
11,0112,University of Bristol,3.18,.431183845,1.66,153,2.453910589,481,.06,.032,.939,.143000007,1138,.754797441,87,5.679934545,14.27405696,75.22084805999999,459165,.594,27809
14,0159,University of Sheffield,3.17,.52871412,1.48,132,2.193983316,437,.06,.027,.939,.200000003,1043,.601609658,90,5.005541409,15.40378203,68.26056826,484812,.852,26688
14,0109,University of Bath,3.17,.505178392,1.33,87,2.545774698,489,.05,.033,.943,.167999998,462,.612745098,91,5.54773527,17.09329519,76.022567,208139,.74,9449
14,0164,University of York,3.17,.500627339,1.51,99,2.163043499,443,.07,.033,.917,.207000002,643,.595070423,87,6.776203206,15.62422989,67.02064897,294701,.781,13596
17,0204,University of Manchester,3.16,.456730783,1.47,171,2.217741966,439,.05,.026,.922,.252999991,1561,.588235294,79,8.227930983,15.23716608,67.32418525,826970,.814,45807
18,0160,University of Southampton,3.15,.53188777,1.46,133,2.263671875,429,.07,.039,.9290000000000001,.224000007,1113,.645348837,85,6.020044348,13.44443523,68.6699072,447221,.863,26652
20,0116,Durham University,3.14,.501075268,1.49,108,2.344771385,525,.06,.031,.914,.125,740,.6915254240000001,90,6.235420746,15.34212506,74.42732195000001,283379,.634,14144
18,0123,Lancaster University,3.15,.453678489,1.59,85,2.061023712,445,.05,.023,.942,.252999991,580,.596551724,88,7.63445705,14.82882337,69.67699407000001,197839,.909,10324
21,0124,University of Leeds,3.13,.429034352,1.49,138,2.157692432,431,.06,.037,.9260000000000001,.202000007,1149,.582037997,86,5.578300799,15.71510096,70.06451613,547602,.762,27651
23,0117,University of East Anglia,3.11,.384767562,1.64,100,2.115131617,426,.07,.038,.924,.254000008,455,.394495413,89,7.74133022,13.9280716,56.84333139,255091,.896,10806
21,0173,University of St Andrews,3.13,.597647071,1.43,104,2.359375,523,.08,.034,.939,.130999997,519,.778894472,93,7.931095449,13.59704504,70.66848568,183898,.589,10988
24,0168,University of Glasgow,3.1,.484084874,1.59,157,2.387254953,485,.06,.015,.9360000000000001,.223000005,1099,.614068441,90,6.722229301,15.27850657,74.32692308,468953,.863,26872
26,0155,University of Nottingham,3.09,.382826477,1.43,131,2.333333492,439,.07,.031,.9310000000000001,.191,1404,.705972435,87,6.402944507,14.14086603,72.41273729,560884,.758,29521
30,0119,University of Exeter,3.08,.402684569,1.53,108,2.300802231,458,.07,.038,.939,.158000007,736,.563706564,90,5.526948101,19.33894347,68.50585938,298542,.691,14268
26,0154,Newcastle University,3.09,.539591849,1.5,132,2.279680252,437,.04,.023,.9370000000000001,.192000002,888,.56374502,89,5.897855314,15.2943854,72.72364217000001,415234,.7,21695
