Site,Date,Habitat,Sex,Total Samples,Total Positive Samples,Percent Positive
Craigmead,15/08/2021,Grassland,Male,2,2,100
Craigmead,15/08/2021,Grassland,Female,3,1,33.33
Craigmead,15/08/2021,Heathland,Male,95,23,24.21
Craigmead,15/08/2021,Heathland,Female,83,28,33.73
Craigmead,15/08/2021,Woodland,Male,13,6,46.15
Craigmead,15/08/2021,Woodland,Female,6,3,50
Glen Vale,25/08/2021,Grassland,Male,6,5,83.33
Glen Vale,25/08/2021,Grassland,Female,4,1,25
Glen Vale,25/08/2021,Heathland,Male,27,1,3.7
Glen Vale,25/08/2021,Heathland,Female,24,1,4.17
Forest Wood,27/07/2021,Grassland,Male,7,4,57.14
Forest Wood,27/07/2021,Grassland,Female,7,4,57.14
Forest Wood,27/07/2021,Heathland,Male,85,13,15.29
Forest Wood,27/07/2021,Heathland,Female,71,6,8.45
Forest Wood,27/07/2021,Woodland,Male,3,2,66.67
Forest Wood,27/07/2021,Woodland,Female,4,1,25
Glen Quey,30/07/2021,Grassland,Male,18,12,66.67
Glen Quey,30/07/2021,Grassland,Female,20,11,55
Glen Quey,30/07/2021,Heathland,Male,11,4,36.36
Glen Quey,30/07/2021,Heathland,Female,7,4,57.14
Glen Quey,01/08/2021,Woodland,Male,13,5,38.46
Glen Quey,01/08/2021,Woodland,Female,14,4,28.57
Letter Hill,03/08/2021,Grassland,Male,23,19,82.61
Letter Hill,03/08/2021,Grassland,Female,15,6,40
Letter Hill,03/08/2021,Heathland,Male,17,1,5.88
Letter Hill,03/08/2021,Heathland,Female,33,1,3.03
Letter Hill,03/08/2021,Woodland,Male,13,3,23.08
Letter Hill,03/08/2021,Woodland,Female,13,2,15.38
Linhouse Glen,29/07/2021,Grassland,Male,11,8,72.73
Linhouse Glen,29/07/2021,Grassland,Female,7,4,57.14
Linhouse Glen,29/07/2021,Heathland,Male,8,0,0
Linhouse Glen,29/07/2021,Heathland,Female,5,0,0
Linhouse Glen,29/07/2021,Woodland,Male,3,1,33.33
Linhouse Glen,29/07/2021,Woodland,Female,17,6,35.29
Gargunnock Estate,02/08/2021,Grassland,Male,15,4,26.67
Gargunnock Estate,02/08/2021,Grassland,Female,10,3,30
Gargunnock Estate,02/08/2021,Heathland,Male,32,0,0
Gargunnock Estate,02/08/2021,Heathland,Female,37,1,2.7
Kilmagad Wood,04/08/2021,Grassland,Male,5,2,40
Kilmagad Wood,04/08/2021,Grassland,Female,8,3,37.5
Kilmagad Wood,04/08/2021,Heathland,Male,18,2,11.11
Kilmagad Wood,04/08/2021,Heathland,Female,19,1,5.26
Kilmagad Wood,04/08/2021,Woodland,Male,6,3,50
Kilmagad Wood,04/08/2021,Woodland,Female,6,4,66.67
Loch Leven,12/08/2021,Grassland,Male,31,21,67.74
Loch Leven,12/08/2021,Grassland,Female,34,23,67.65
Loch Leven,12/08/2021,Heathland,Male,6,0,0
Loch Leven,12/08/2021,Heathland,Female,15,6,40
Loch Leven,12/08/2021,Woodland,Male,3,0,0
Loch Leven,12/08/2021,Woodland,Female,3,0,0
Pentland Hills (Bonaly),18/08/2021,Grassland,Male,5,3,60
Pentland Hills (Bonaly),18/08/2021,Grassland,Female,8,3,37.5
Pentland Hills (Bonaly),18/08/2021,Heathland,Male,23,6,26.09
Pentland Hills (Bonaly),18/08/2021,Heathland,Female,32,9,28.13
Pentland Hills (Bonaly),18/08/2021,Woodland,Male,18,9,50
Pentland Hills (Bonaly),18/08/2021,Woodland,Female,19,6,31.58
Tailend,30/07/2021,Grassland,Male,7,2,28.57
Tailend,30/07/2021,Grassland,Female,5,2,40
Tailend,30/07/2021,Heathland,Male,28,7,25
Tailend,30/07/2021,Heathland,Female,26,7,26.92
Tailend,30/07/2021,Woodland,Male,22,3,13.64
Tailend,30/07/2021,Woodland,Female,19,6,31.58
