sample-id,Identity,Variation,Variation No.,Source,Depth,Timepoint,Plot,Cover-crop-category,Site,Year,Root-extent,Subproject,Project
#q2:types,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical
T2_BS-30_26,Control_BS,Control,1,BS,30,T2,26,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T2_MBS-30_26,Control_MBS,Control,1,MBS,30,T2,26,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T2_BS-30_33,Control_BS,Control,1,BS,30,T2,33,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T2_MBS-30_33,Control_MBS,Control,1,MBS,30,T2,33,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T2_BS-30_2,Control_BS,Control,1,BS,30,T2,2,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T2_MBS-30_2,Control_MBS,Control,1,MBS,30,T2,2,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T2_BS-30_18,Control_BS,Control,1,BS,30,T2,18,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T2_MBS-30_18,Control_MBS,Control,1,MBS,30,T2,18,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T3_BS-30_2,Control_BS,Control,1,BS,30,T3,2,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T3_BS-60_2,Control_BS,Control,1,BS,60,T3,2,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T3_BS-30_18,Control_BS,Control,1,BS,30,T3,18,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T3_BS-60_18,Control_BS,Control,1,BS,60,T3,18,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T3_BS-30_26,Control_BS,Control,1,BS,30,T3,26,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T3_BS-60_26,Control_BS,Control,1,BS,60,T3,26,No cover crop,HS,2021,No cover crop roots,SP2,RWS1
T1_BS-30_35,Red Clover_BS,Red Clover,2,BS,30,T1,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-60_35,Red Clover_BS,Red Clover,2,BS,60,T1,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-90_35,Red Clover_BS,Red Clover,2,BS,120,T1,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-120_35,Red Clover_BS,Red Clover,2,BS,120,T1,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-30_35,Red Clover_RC,Red Clover,2,CR,30,T1,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-60_35,Red Clover_RC,Red Clover,2,CR,60,T1,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-90_35,Red Clover_RC,Red Clover,2,CR,120,T1,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-30_28,Red Clover_BS,Red Clover,2,BS,30,T1,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-60_28,Red Clover_BS,Red Clover,2,BS,60,T1,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-90_28,Red Clover_BS,Red Clover,2,BS,120,T1,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-120_28,Red Clover_BS,Red Clover,2,BS,120,T1,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-30_28,Red Clover_RC,Red Clover,2,CR,30,T1,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-60_28,Red Clover_RC,Red Clover,2,CR,60,T1,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-90_28,Red Clover_RC,Red Clover,2,CR,120,T1,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_BS-30_35,Red Clover_BS,Red Clover,2,BS,30,T2,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_RC-30_35,Red Clover_RC,Red Clover,2,CR,30,T2,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_MBS-30_35,Red Clover_MBS,Red Clover,2,MBS,30,T2,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_MRC-30_35,Red Clover_MRC,Red Clover,2,MCR,30,T2,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_BS-30_28,Red Clover_BS,Red Clover,2,BS,30,T2,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_RC-30_28,Red Clover_RC,Red Clover,2,CR,30,T2,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_MBS-30_28,Red Clover_MBS,Red Clover,2,MBS,30,T2,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_MRC-30_28,Red Clover_MRC,Red Clover,2,MCR,30,T2,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_BS-30_10,Red Clover_BS,Red Clover,2,BS,30,T2,10,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_RC-30_10,Red Clover_RC,Red Clover,2,CR,30,T2,10,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_MBS-30_10,Red Clover_MBS,Red Clover,2,MBS,30,T2,10,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_MRC-30_10,Red Clover_MRC,Red Clover,2,MCR,30,T2,10,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_MBS-30_11,Red Clover_MBS,Red Clover,2,MBS,30,T3,11,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_MBS-60_11,Red Clover_MBS,Red Clover,2,MBS,60,T3,11,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_MRC-30_11,Red Clover_MRC,Red Clover,2,MCR,30,T3,11,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_RC-30_11,Red Clover_RC,Red Clover,2,CR,30,T3,11,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_RC-60_11,Red Clover_RC,Red Clover,2,CR,60,T3,11,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_MBS-30_28,Red Clover_MBS,Red Clover,2,MBS,30,T3,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_MBS-60_28,Red Clover_MBS,Red Clover,2,MBS,60,T3,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_MRC-30_28,Red Clover_MRC,Red Clover,2,MCR,30,T3,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_MRC-60_28,Red Clover_MRC,Red Clover,2,MCR,60,T3,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_RC-30_28,Red Clover_RC,Red Clover,2,CR,30,T3,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_RC-60_28,Red Clover_RC,Red Clover,2,CR,60,T3,28,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_MBS-30_35,Red Clover_MBS,Red Clover,2,MBS,30,T3,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_MBS-60_35,Red Clover_MBS,Red Clover,2,MBS,60,T3,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_MRC-30_35,Red Clover_MRC,Red Clover,2,MCR,30,T3,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T3_RC-30_35,Red Clover_RC,Red Clover,2,CR,30,T3,35,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-30_21,Oil Radish_BS,Oil Radish,4,BS,30,T1,21,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-60_21,Oil Radish_BS,Oil Radish,4,BS,60,T1,21,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-90_21,Oil Radish_BS,Oil Radish,4,BS,120,T1,21,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-120_21,Oil Radish_BS,Oil Radish,4,BS,120,T1,21,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-30_21,Oil Radish_RC,Oil Radish,4,CR,30,T1,21,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-60_21,Oil Radish_RC,Oil Radish,4,CR,60,T1,21,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-90_21,Oil Radish_RC,Oil Radish,4,CR,120,T1,21,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-30_16,Oil Radish_BS,Oil Radish,4,BS,30,T1,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-60_16,Oil Radish_BS,Oil Radish,4,BS,60,T1,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-90_16,Oil Radish_BS,Oil Radish,4,BS,120,T1,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_BS-120_16,Oil Radish_BS,Oil Radish,4,BS,120,T1,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-30_16,Oil Radish_RC,Oil Radish,4,CR,30,T1,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-60_16,Oil Radish_RC,Oil Radish,4,CR,60,T1,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T1_RC-90_16,Oil Radish_RC,Oil Radish,4,CR,120,T1,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_BS-30_16,Oil Radish_BS,Oil Radish,4,BS,30,T2,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_RC-30_16,Oil Radish_RC,Oil Radish,4,CR,30,T2,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_MBS-30_16,Oil Radish_MBS,Oil Radish,4,MBS,30,T2,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_MRC-30_16,Oil Radish_MRC,Oil Radish,4,MCR,30,T2,16,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_BS-30_21,Oil Radish_BS,Oil Radish,4,BS,30,T2,21,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_RC-30_21,Oil Radish_RC,Oil Radish,4,CR,30,T2,21,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
T2_MBS-30_21,Oil Radish_MBS,Oil Radish,4,MBS,30,T2,21,Monoculture,HS,2021,Deep-rooting,SP2,RWS1
