Feature ID,Gene Name,Control Average Birth Weight,Control Low Birth Weight,EDGE test: Fold change,EDGE test: Bonferroni,FDR p-value correction
ENSSSCG00000003153,FTL,451854.5,542997.56,2.341,1,0.0386
ENSSSCG00000036014,RPLP0,57621.88,93346.11,3.442,0.218,0.0034
ENSSSCG00000025631,ENSSSCG00000025631,49810.38,68017.22,2.54,1,0.0316
ENSSSCG00000033697,RPS2,25899.75,56087.44,4.927,0.016,0.001
ENSSSCG00000013460,OAZ1,47618,51050.67,2.082,1,0.0386
ENSSSCG00000013906,ENSSSCG00000013906,30714,44090.78,2.911,0.462,0.0052
ENSSSCG00000000694,GAPDH,38234.25,35178.22,2.518,1,0.0132
ENSSSCG00000004970,ENSSSCG00000004970,23073.13,35120.44,3.615,0.002,0.0004
ENSSSCG00000035997,RPL10,19267.13,29895.67,3.593,0.024,0.0013
ENSSSCG00000003165,RPS11,19402.63,23071.11,2.565,1,0.0103
ENSSSCG00000007524,ENSSSCG00000007524,18857.13,21799.11,2.303,1,0.0397
ENSSSCG00000033673,SLC25A6,12054.88,20476.33,3.809,0.014,0.001
ENSSSCG00000017430,EIF1,15717.5,19782.56,2.953,0.842,0.0077
ENSSSCG00000040470,RPS20,11149.88,16275.78,3.383,0.054,0.0018
ENSSSCG00000027358,RPS17,11611.38,16238.44,3.004,0.618,0.0063
ENSSSCG00000037236,RPSA,13220.13,15650.22,2.819,0.326,0.0042
ENSSSCG00000012405,RPS4X,11241.38,14804.33,3.011,0.092,0.002
ENSSSCG00000035080,ENSSSCG00000035080,14445.38,14621.33,2.194,1,0.0444
ENSSSCG00000029830,ENSSSCG00000029830,12797.13,14467.11,2.67,0.142,0.0028
ENSSSCG00000029724,RACK1,14969.25,13985.89,2.262,0.993,0.0087
ENSSSCG00000003930,RPS8,12238.88,13857.44,2.913,0.062,0.0019
ENSSSCG00000004177,RPS12,9250.63,13688.11,3.72,0.001,0.0003
ENSSSCG00000031088,ENSSSCG00000031088,10139.13,13223.67,3.1,0.055,0.0018
ENSSSCG00000005169,ENSSSCG00000005169,11979.5,13078.56,2.606,0.688,0.0068
ENSSSCG00000013889,ENSSSCG00000013889,10239.63,12378.89,2.634,1,0.0113
ENSSSCG00000010340,PRXL2A,8914.25,11432.89,2.595,1,0.0322
ENSSSCG00000033310,ENSSSCG00000033310,10638.63,10837.56,2.404,0.285,0.0039
ENSSSCG00000013046,COX8A,7262.75,10662.44,2.863,0.068,0.0019
ENSSSCG00000013064,EEF1G,10261.25,10468.78,2.589,0.24,0.0035
ENSSSCG00000017509,ENSSSCG00000017509,9094.38,10070.22,2.474,0.769,0.0072
ENSSSCG00000033019,ENSSSCG00000033019,7444.38,9948.78,3.025,0.082,0.0019
ENSSSCG00000012842,RPLP2,7102,9751.78,3.207,0.021,0.0013
ENSSSCG00000034227,RPL35,7064.75,9565,3.191,0.025,0.0013
ENSSSCG00000010742,UROS,6692.5,9419,2.669,1,0.0345
ENSSSCG00000039544,ENSSSCG00000039544,9977.88,9372.44,2.38,1,0.0169
ENSSSCG00000032111,RPL7,9442.25,8764.22,2.168,1,0.0137
ENSSSCG00000033262,ENSSSCG00000033262,9796.25,8716.22,2.103,1,0.0121
ENSSSCG00000039460,RPL28,5354.13,8569.56,3.747,0.003,0.0004
ENSSSCG00000024260,RPL11,8612.25,8140,2.412,0.417,0.0048
ENSSSCG00000028850,ENSSSCG00000028850,8095.25,8139.56,2.212,1,0.0265
ENSSSCG00000025928,ENSSSCG00000025928,6390,8042.89,3.001,0.09,0.002
ENSSSCG00000020830,ENSSSCG00000020830,7461.75,7650,2.248,1,0.0146
ENSSSCG00000006016,EIF3H,6050.63,7636.11,2.64,1,0.0195
ENSSSCG00000039885,PTP4A2,4327.13,7393.67,3.862,0.368,0.0045
ENSSSCG00000008170,RPL31,5409.13,7244.89,3.128,0.07,0.0019
ENSSSCG00000031593,NUDT3,6806.25,7181.11,2.648,0.063,0.0019
ENSSSCG00000020725,ERBB3,5254,6584.33,2.845,0.226,0.0034
ENSSSCG00000035904,RPL7A,8342.5,6579.56,2.053,1,0.0166
ENSSSCG00000011952,ENSSSCG00000011952,5935.88,6551.22,2.492,1,0.0157
ENSSSCG00000035007,RPL17-C18orf32,6615.13,6480.11,2.562,0.126,0.0026
ENSSSCG00000029785,RPS9,5963.63,6286.22,2.699,0.079,0.0019
ENSSSCG00000014569,ENSSSCG00000014569,6505,5990.11,2.267,0.631,0.0064
ENSSSCG00000033326,RPL37,5964.5,5805.78,2.387,0.599,0.0062
