Sample,Treatment,R1/R2 reads (pre-processing),R1/R2 reads (post-QC),seq lost,recovered %,lost %,fastqc-meanreadqualityR1,fastqc-meanreadqualityR2
27750CM,B,55608,30803,24805,55.39310891,44.60689109,32,29
27750MM,B,84668,66906,17762,79.02159021,20.97840979,33.6,30.1
27916CM,A,92398,69036,23362,74.71590294,25.28409706,34.4,31.1
27916MM,A,124006,86175,37831,69.4926052,30.5073948,33.6,29.9
28032CM,A,52036,38971,13065,74.8923822,25.1076178,33.8,29.8
28032MM,B,120871,101660,19211,84.10619586,15.89380414,34.4,31.3
28093CM,B,60624,48047,12577,79.25409079,20.74590921,33.9,30.3
28093MM,A,118956,96593,22363,81.20061199,18.79938801,34.4,31.4
28129CM,A,104899,83650,21249,79.7433722,20.2566278,34.4,31
28129MM,B,47725,34198,13527,71.65636459,28.34363541,33.9,30.2
28133CM,B,82347,42627,39720,51.76509162,48.23490838,33.5,29.6
28133MM,C,63255,23495,39760,37.14330883,62.85669117,33.3,29
28149CM,C,100555,77164,23391,76.73810353,23.26189647,33,30.3
28149MM,A,84032,43437,40595,51.69102247,48.30897753,33.5,29.3
28201CM,A,53532,37629,15903,70.29253531,29.70746469,33.8,30
28201MM,B,113980,97250,16730,85.32198631,14.67801369,34.4,31.6
28226CM,C,125027,96485,28542,77.17133099,22.82866901,34.3,30.8
28226MM,C,105397,88482,16915,83.95115611,16.04884389,34.3,31.5
28585CM,B,136182,113986,22196,83.70122336,16.29877664,33.8,31.1
28585MM,C,130669,114806,15863,87.86016576,12.13983424,34.7,31.5
28651CM,C,91025,72829,18196,80.00988739,19.99011261,33.7,31.3
28651MM,A,102748,87343,15405,85.00700744,14.99299256,33.9,31.3
28677CM,C,117082,97251,19831,83.06229822,16.93770178,34,31.4
28677MM,C,97528,70349,27179,72.13210565,27.86789435,34.2,30.6
28679CM,C,101267,59377,41890,58.63410588,41.36589412,33.2,29.8
28679MM,C,70240,46399,23841,66.05780182,33.94219818,32.8,29.7
28683CM,C,69920,29974,39946,42.86899314,57.13100686,33.2,28.9
28683MM,C,78693,48798,29895,62.01059815,37.98940185,32.7,29.1
28713CM,B,76408,58781,17627,76.93042613,23.06957387,33.9,30.4
28713MM,A,96863,81606,15257,84.2488876,15.7511124,34.4,31.2
28737CM,A,118966,96129,22837,80.80375906,19.19624094,34.2,31.3
28737MM,B,93067,76633,16434,82.34175379,17.65824621,34.4,31.1
28779CM,B,82457,60436,22021,73.29395928,26.70604072,34,30.5
28779MM,B,104270,75089,29181,72.01400211,27.98599789,34.1,30.6
28781CM,C,105941,87701,18240,82.78286971,17.21713029,34.3,31.1
28781MM,C,133956,114674,19282,85.60572128,14.39427872,34.6,31.4
28793CM,B,102521,81058,21463,79.06477697,20.93522303,34,31.1
28793MM,B,102254,75656,26598,73.98830364,26.01169636,33.9,30.6
28803CM,A,99011,73880,25131,74.61797174,25.38202826,33.8,31
28803MM,A,74126,60124,14002,81.11054151,18.88945849,33.4,31.1
28809CM,A,96837,73868,22969,76.28076045,23.71923955,34.3,30.9
28809MM,A,113114,95382,17732,84.32377955,15.67622045,34.4,31.3
28815CM,A,98475,59652,38823,60.57578065,39.42421935,34,30.1
28815MM,A,120615,100040,20575,82.94159101,17.05840899,34.3,30.9
28818CM,B,93617,74554,19063,79.63724537,20.36275463,34,31.3
28818MM,B,91284,67370,23914,73.80263792,26.19736208,34.1,30.7
28825CM,A,48362,33208,15154,68.66548116,31.33451884,33.9,29.9
28825MM,A,98452,81305,17147,82.58339089,17.41660911,33.9,31
28834CM,C,83122,45620,37502,54.88318375,45.11681625,33.3,29.4
28834MM,C,50556,26998,23558,53.40216789,46.59783211,33.6,29.4
28836CM,B,41015,31462,9553,76.70852127,23.29147873,33,29.4
28836MM,B,1095,573,522,52.32876712,47.67123288,31.1,26.3
28842CM,A,57089,8511,48578,14.90830107,85.09169893,32.6,27.4
28842MM,A,93013,74466,18547,80.05977659,19.94022341,34.3,31
28849CM,C,70952,47766,23186,67.32156951,32.67843049,33.3,30.2
28849MM,C,84080,66899,17181,79.56588963,20.43411037,34.2,30.9
28858CM,B,114121,91330,22791,80.02909193,19.97090807,34.2,31
28858MM,B,95222,77141,18081,81.01174098,18.98825902,33.7,31
28880CM,C,58830,47330,11500,80.45215026,19.54784974,34.2,29.2
28880MM,C,82714,67676,15038,81.8192809,18.1807191,34,30.9
plate1blank1,NA,1212,401,811,33.08580858,66.91419142,28.9,24.5
plate1blank2,NA,1141,330,811,28.92199825,71.07800175,26.7,23.8
ZnCon8B,NA,1530,432,1098,28.23529412,71.76470588,28.2,24.7
ZnConA7,NA,2186,787,1399,36.00182983,63.99817017,28.2,24.6
ZnConA8,NA,2592,965,1627,37.22993827,62.77006173,28.6,25.2
ZnConB7,NA,1702,425,1277,24.9706228,75.0293772,26.9,23.4
