SampleID,R1/R2 No. Raw Reads,R1/R2 No. reads post QC (kneaddata),% reads not swine,trimmed orphan1,trimmed orphan2,% reads swine,# Perfect Index Reads,# One Mismatch Index Reads,# Two Mismatch Index Reads,% Reads,% Perfect Index Reads,% One Mismatch Index Reads,% Two Mismatch Index Reads
27750SV,8894058,7693084,86.49689489,538056,356155,10.05402708,8698309,195749,0,0.0031,0.978,0.022,0
27916SV,10413488,9159960,87.96245792,403670,546837,9.127652521,10183371,230117,0,0.0036,0.9779,0.0221,0
28032SV,11704104,9878321,84.40048892,909302,463142,11.72617742,11353366,350738,0,0.0041,0.97,0.03,0
28093SV,8620247,7502912,87.03824844,489220,348330,9.716078901,7989682,630565,0,0.003,0.9269,0.0731,0
28129SV,8648071,7362069,85.12960867,620597,347870,11.19864765,8465836,182235,0,0.003,0.9789,0.0211,0
28133SV,10245515,8785513,85.74984274,265808,966868,12.03137178,10014221,231294,0,0.0036,0.9774,0.0226,0
28149SV,7906934,6728305,85.09372912,556095,328232,11.18419605,7648315,258619,0,0.0027,0.9673,0.0327,0
28201SV,9344672,7910901,84.65680764,722236,368448,11.67172053,9039539,305133,0,0.0032,0.9673,0.0327,0
28226SV,7969424,7025912,88.16085077,365427,341126,8.865797578,7522199,447225,0,0.0028,0.9439,0.0561,0
28585SV,7369710,6486660,88.01784602,342606,308042,8.828678469,7229667,140043,0,0.0026,0.981,0.019,0
28651SV,7347818,6527212,88.83197706,284980,320033,8.233913796,7145379,202439,0,0.0026,0.9724,0.0276,0
28677SV,9385366,8090221,86.20037833,575524,399365,10.38733066,9166425,218941,0,0.0033,0.9767,0.0233,0
28679SV,10060845,8669799,86.17366633,609553,428581,10.31855674,9755822,305023,0,0.0035,0.9697,0.0303,0
28683SV,10047307,8755460,87.14235566,488161,489790,9.733463902,9488190,559117,0,0.0035,0.9444,0.0556,0
28713SV,9575948,8490513,88.66498648,323556,504175,8.643854373,9217942,358006,0,0.0033,0.9626,0.0374,0
28737SV,8294591,7336424,88.44829118,371585,337235,8.545569034,7726307,568284,0,0.0029,0.9315,0.0685,0
28779SV,9063389,7734311,85.33575024,636427,366324,11.0637533,8837930,225459,0,0.0031,0.9751,0.0249,0
28781SV,9213697,8101309,87.92680072,424046,404363,8.991059723,8997500,216197,0,0.0032,0.9765,0.0235,0
28793SV,8808832,7825961,88.84220973,326400,412627,8.389613969,8627437,181395,0,0.0031,0.9794,0.0206,0
28803SV,10300557,9068559,88.03950116,371709,569434,9.136816582,10033976,266581,0,0.0036,0.9741,0.0259,0
28809SV,7641256,6746738,88.29357373,332905,337054,8.767655474,7496708,144548,0,0.0027,0.9811,0.0189,0
28815SV,10127104,8895774,87.84124267,402394,523099,9.138772545,9935656,191448,0,0.0035,0.9811,0.0189,0
28818SV,7458865,6513114,87.32044353,385077,325101,9.521260943,6826773,632092,0,0.0026,0.9153,0.0847,0
28825SV,6543634,5839799,89.24397361,224013,304890,8.082710616,6199466,344168,0,0.0023,0.9474,0.0526,0
28834SV,7957794,7025586,88.28559774,354336,340081,8.726250014,7814765,143029,0,0.0028,0.982,0.018,0
28836SV,12056520,10357168,85.90512022,668443,608398,10.5904606,11537241,519279,0,0.0042,0.9569,0.0431,0
28842SV,8482665,7328404,86.39270795,536174,339465,10.3226875,7921998,560667,0,0.0029,0.9339,0.0661,0
28849SV,6166075,5497510,89.1573651,233401,262075,8.035516921,5634518,531557,0,0.0021,0.9138,0.0862,0
28858SV,9919603,8628761,86.98695905,508000,464616,9.804989171,9701351,218252,0,0.0034,0.978,0.022,0
28880SV,7880593,6922413,87.84127032,372672,339598,9.038279226,7731886,148707,0,0.0027,0.9811,0.0189,0
27750SF,11365477,9578879,84.28048378,9578879,950203,12.08656707,10982727,382750,0,0.0039,0.9663,0.0337,0
27916SF,12455398,10597415,85.08290943,10597415,753540,11.29575305,11982741,472657,0,0.0043,0.9621,0.0379,0
28032SF,8209826,6922463,84.31924136,6922463,658035,11.96645337,7838487,371339,0,0.0029,0.9548,0.0452,0
28093SF,7701312,6498046,84.37583103,6498046,655953,11.98002366,7409642,291670,0,0.0027,0.9621,0.0379,0
28129SF,7659864,6490111,84.72880197,6490111,612442,11.7468143,7348170,311694,0,0.0027,0.9593,0.0407,0
28133SF,8083572,6820117,84.37009035,6820117,689545,11.96905279,7721075,362497,0,0.0028,0.9552,0.0448,0
28149SF,10154503,8460887,83.32152741,8460887,787662,12.7019215,9825986,328517,0,0.0035,0.9676,0.0324,0
28201SF,9697551,8160349,84.14855462,8160349,784153,12.08471087,9183637,513914,0,0.0034,0.947,0.053,0
28585SF,10324538,8709199,84.35437014,8709199,892626,12.13441221,9381689,942849,0,0.0036,0.9087,0.0913,0
28651SF,9989181,8467252,84.76422642,8467252,812251,11.56682415,9677381,311800,0,0.0035,0.9688,0.0312,0
28677SF,8275780,7137858,86.24997281,7137858,520771,10.34973138,8015230,260550,0,0.0029,0.9685,0.0315,0
28679SF,8215909,6783266,82.56257463,6783266,829912,13.57330029,7732348,483561,0,0.0029,0.9411,0.0589,0
28683SF,10479079,8907447,85.00219342,8907447,822483,11.35939523,10056901,422178,0,0.0036,0.9597,0.0403,0
28713SF,9076973,7690807,84.72876365,7690807,701275,11.63618092,8700193,376780,0,0.0032,0.9585,0.0415,0
28737SF,7138720,6030508,84.47604052,6030508,597991,11.86131407,6870524,268196,0,0.0025,0.9624,0.0376,0
28779SF,10893576,8987285,82.50077844,8987285,1118299,13.49619262,10409083,484493,0,0.0038,0.9555,0.0445,0
28781SF,9624559,8018262,83.31043531,8018262,889171,12.83280616,9334973,289586,0,0.0033,0.9699,0.0301,0
28793SF,10154433,8472664,83.43808069,8472664,974191,12.85590244,9757476,396957,0,0.0035,0.9609,0.0391,0
28803SF,8920891,7492386,83.98696946,7492386,700576,12.28750581,8592875,328016,0,0.0031,0.9632,0.0368,0
