,node_id,traj_idx,frame_idx
0,0,0,2826
1,1,84,6943
2,2,80,3516
3,3,24,9872
4,4,0,3893
5,5,24,3009
6,6,0,8484
7,7,2,8835
8,8,104,442
9,9,25,7136
10,10,24,9433
11,11,0,3085
12,12,80,7961
13,13,24,2574
14,14,89,1286
15,15,82,9362
16,16,1,5322
17,17,25,5873
18,18,35,8181
19,19,42,3646
20,20,24,4787
21,21,0,7050
22,22,16,8050
23,23,40,5322
24,24,80,6634
25,25,80,9913
26,26,32,10984
27,27,80,1041
28,28,0,8408
29,29,48,1065
30,30,32,9024
31,31,8,3014
32,32,32,2193
33,33,16,8357
34,34,104,2329
35,35,0,8262
36,36,89,4606
37,37,40,1535
38,38,16,4543
39,39,48,327
40,40,32,10881
41,41,26,3939
42,42,48,136
43,43,0,7401
44,44,24,9336
45,45,24,5972
46,46,0,7986
47,47,24,6420
48,48,0,4376
49,49,80,6441
50,50,25,5290
51,51,32,4361
52,52,2,3626
53,53,0,4267
54,54,48,429
55,55,24,5414
56,56,0,7354
57,57,0,6386
58,58,85,2457
59,59,89,1237
60,60,4,5238
61,61,72,4788
62,62,16,8912
63,63,25,6388
64,64,32,5872
65,65,16,5652
66,66,0,4982
67,67,8,8284
68,68,25,5018
69,69,16,2457
70,70,24,5847
71,71,32,2545
72,72,24,5784
73,73,82,3652
74,74,24,3332
75,75,0,6591
76,76,25,5816
77,77,16,6774
78,78,0,3702
79,79,104,11
80,80,0,3687
81,81,19,8933
82,82,43,9524
83,83,25,4489
84,84,80,6157
85,85,19,8251
86,86,80,10331
87,87,80,8100
88,88,72,3756
89,89,0,99
90,90,0,4247
91,91,82,861
92,92,72,4641
93,93,24,3768
94,94,48,976
95,95,100,1258
96,96,40,2457
97,97,81,3072
98,98,0,8326
99,99,40,7043
100,100,40,5402
101,101,41,5864
102,102,24,2829
103,103,32,9151
104,104,24,7702
105,105,0,8661
106,106,8,3799
107,107,33,7433
108,108,32,1511
109,109,2,6135
110,110,25,5904
111,111,81,9996
112,112,24,6821
113,113,40,5564
114,114,104,1656
115,115,0,2812
116,116,81,4737
117,117,41,9447
118,118,22,8870
119,119,32,4243
120,120,2,6615
121,121,32,5332
122,122,32,2804
123,123,25,6600
124,124,40,10142
125,125,72,1913
126,126,41,5996
127,127,8,7312
128,128,0,600
129,129,24,5065
130,130,1,2383
131,131,83,8564
132,132,48,1098
133,133,40,8172
134,134,24,6355
135,135,24,9885
136,136,80,3108
137,137,24,7293
138,138,81,860
139,139,82,8690
140,140,24,8076
141,141,33,9390
142,142,49,256
143,143,37,11131
144,144,25,3545
145,145,33,9440
146,146,27,9542
147,147,32,1817
148,148,16,7828
149,149,16,8472
150,150,24,9264
151,151,16,8474
152,152,0,6677
153,153,0,4288
154,154,48,1224
155,155,25,8668
156,156,26,6582
157,157,24,5714
158,158,50,314
159,159,0,6186
160,160,24,4783
161,161,8,8652
162,162,81,2520
163,163,7,1061
164,164,25,4971
165,165,32,3693
166,166,24,1963
167,167,27,6620
168,168,91,2470
169,169,2,3963
170,170,89,3738
171,171,24,4400
172,172,40,8148
173,173,24,6643
174,174,0,2565
175,175,25,6194
176,176,9,7869
177,177,0,6368
178,178,0,416
179,179,0,2408
180,180,24,8667
181,181,0,4434
182,182,0,3760
183,183,1,3740
184,184,40,5558
185,185,0,7972
186,186,24,2649
187,187,16,3771
188,188,24,4844
189,189,48,582
190,190,72,5196
191,191,33,8008
192,192,80,2772
193,193,32,4804
194,194,17,8642
195,195,8,2398
196,196,82,9002
197,197,40,905
198,198,24,2836
199,199,24,10138
200,200,16,7407
201,201,41,10716
202,202,0,4942
203,203,32,10797
204,204,82,2063
205,205,24,3119
206,206,25,7744
207,207,24,10757
208,208,16,5607
209,209,86,7053
210,210,0,4406
211,211,8,2813
212,212,72,5741
213,213,24,3958
214,214,3,5610
215,215,32,7050
216,216,16,8818
217,217,88,1536
218,218,24,9154
219,219,0,7636
220,220,81,3272
221,221,9,8504
222,222,16,2868
223,223,0,4036
224,224,89,2775
225,225,24,8622
226,226,48,732
227,227,27,2412
228,228,24,6288
229,229,30,7833
230,230,24,3331
231,231,0,3164
232,232,48,904
233,233,1,7242
234,234,0,6767
235,235,2,8187
236,236,88,2550
237,237,24,8511
238,238,48,711
239,239,33,6737
240,240,80,8292
241,241,92,2129
242,242,0,7724
243,243,25,5647
244,244,16,6619
245,245,82,2001
246,246,0,5303
247,247,1,6165
248,248,89,4489
249,249,81,6446
250,250,24,5721
251,251,16,4199
252,252,80,6444
253,253,8,1873
254,254,80,4980
255,255,48,255
256,256,24,6561
257,257,27,2957
258,258,8,7024
259,259,80,5995
260,260,80,4989
261,261,86,4223
262,262,33,5680
263,263,80,5097
264,264,32,10252
265,265,0,4464
266,266,0,5201
267,267,26,4306
268,268,100,1498
269,269,16,8888
270,270,16,7348
271,271,8,1080
272,272,29,2573
273,273,37,6740
274,274,40,3566
275,275,8,730
276,276,24,8991
277,277,25,10555
278,278,0,3688
279,279,72,4200
280,280,0,169
281,281,24,5116
282,282,1,7295
283,283,24,8180
