,source,target,type,weight,bottleneck_flux,norm_bottleneck_flux
0,5,1927,Undirected,84,0.0,0.0
1,661,1902,Undirected,4,0.0,0.0
2,1219,455,Undirected,1,0.0,0.0
3,1153,1693,Undirected,1,0.0,0.0
4,272,1855,Undirected,1,0.0,0.0
5,880,1902,Undirected,6,0.0,0.0
6,1899,1924,Undirected,1,0.0,0.0
7,1762,1211,Undirected,5,0.0,0.0
8,1649,916,Undirected,1,0.0,0.0
9,1106,1725,Undirected,2,0.0,0.0
10,1969,369,Undirected,47,0.0,0.0
11,585,870,Undirected,5,0.0,0.0
12,1449,946,Undirected,11,0.0,0.0
13,116,1372,Undirected,1,0.0,0.0
14,1716,1815,Undirected,4,2.701558033431118e-07,0.2324400458000386
15,319,319,Undirected,9,0.0,0.0
16,1308,1006,Undirected,1,0.0,0.0
17,449,1270,Undirected,7,0.0,0.0
18,1885,815,Undirected,2,2.743798365231276e-07,0.2360743725613881
19,1671,1655,Undirected,1,0.0,0.0
20,1574,1399,Undirected,2,0.0,0.0
21,272,852,Undirected,4,0.0,0.0
22,1338,1287,Undirected,1,0.0,0.0
23,1188,93,Undirected,14,0.0,0.0
24,285,1143,Undirected,1,0.0,0.0
25,796,796,Undirected,44,0.0,0.0
26,824,1171,Undirected,1,0.0,0.0
27,689,207,Undirected,5,0.0,0.0
28,1938,1828,Undirected,1,0.0,0.0
29,1498,68,Undirected,7,0.0,0.0
30,822,1647,Undirected,2,0.0,0.0
31,684,543,Undirected,2,0.0,0.0
32,816,816,Undirected,74,0.0,0.0
33,1611,1276,Undirected,3,0.0,0.0
34,1618,1837,Undirected,1,0.0,0.0
35,56,1420,Undirected,3,0.0,0.0
36,659,62,Undirected,2,0.0,0.0
37,712,1643,Undirected,53,0.0,0.0
38,396,1516,Undirected,2,0.0,0.0
39,1833,1833,Undirected,86,0.0,0.0
40,817,817,Undirected,48,0.0,0.0
41,1974,1375,Undirected,110,0.0,0.0
42,688,98,Undirected,7,0.0,0.0
43,1443,1443,Undirected,47,0.0,0.0
44,345,145,Undirected,11,0.0,0.0
45,1141,814,Undirected,77,0.0,0.0
46,528,462,Undirected,1,0.0,0.0
47,1969,1938,Undirected,1,0.0,0.0
48,1434,1758,Undirected,32,0.0,0.0
49,1420,853,Undirected,1,0.0,0.0
50,1795,741,Undirected,5,0.0,0.0
51,438,582,Undirected,7,0.0,0.0
52,1739,1974,Undirected,6,0.0,0.0
53,529,1402,Undirected,1,0.0,0.0
54,89,1141,Undirected,31,0.0,0.0
55,1424,1837,Undirected,1,0.0,0.0
56,979,979,Undirected,405,0.0,0.0
57,931,1126,Undirected,6,0.0,0.0
58,512,1911,Undirected,3,0.0,0.0
59,1281,1783,Undirected,1,0.0,0.0
60,128,1928,Undirected,1,0.0,0.0
61,1434,771,Undirected,14,0.0,0.0
62,916,1870,Undirected,3,0.0,0.0
63,1785,1356,Undirected,3,0.0,0.0
64,1827,163,Undirected,16,0.0,0.0
65,1780,853,Undirected,60,0.0,0.0
66,1602,308,Undirected,18,0.0,0.0
67,985,433,Undirected,7,0.0,0.0
68,1866,1866,Undirected,101,0.0,0.0
69,1208,966,Undirected,3,0.0,0.0
70,1048,783,Undirected,3,0.0,0.0
71,1555,719,Undirected,6,0.0,0.0
72,794,1491,Undirected,5,0.0,0.0
73,643,1989,Undirected,10,0.0,0.0
74,1920,1308,Undirected,2,0.0,0.0
75,433,1372,Undirected,9,0.0,0.0
76,1008,722,Undirected,1,0.0,0.0
77,1428,983,Undirected,2,0.0,0.0
78,561,818,Undirected,3,0.0,0.0
79,221,967,Undirected,1,0.0,0.0
80,1073,509,Undirected,1,0.0,0.0
81,1560,556,Undirected,33,0.0,0.0
82,477,477,Undirected,12,0.0,0.0
83,754,621,Undirected,4,0.0,0.0
84,1349,1479,Undirected,7,0.0,0.0
85,1657,818,Undirected,6,0.0,0.0
86,1072,1653,Undirected,2,0.0,0.0
87,1635,998,Undirected,1,0.0,0.0
88,264,418,Undirected,2,0.0,0.0
89,777,269,Undirected,4,0.0,0.0
90,1297,35,Undirected,1,0.0,0.0
91,787,1795,Undirected,60,0.0,0.0
92,137,1638,Undirected,6,0.0,0.0
93,1186,1079,Undirected,2,0.0,0.0
94,1808,1901,Undirected,9,0.0,0.0
95,1484,1375,Undirected,42,0.0,0.0
96,1455,1783,Undirected,5,0.0,0.0
97,1548,949,Undirected,3,0.0,0.0
98,408,1548,Undirected,44,0.0,0.0
99,932,228,Undirected,1,0.0,0.0
100,1112,1129,Undirected,13,0.0,0.0
101,382,382,Undirected,88,0.0,0.0
102,193,1562,Undirected,7,0.0,0.0
103,481,1495,Undirected,22,0.0,0.0
104,1363,1174,Undirected,2,0.0,0.0
105,1680,1207,Undirected,5,0.0,0.0
106,1371,567,Undirected,1,0.0,0.0
107,56,711,Undirected,4,0.0,0.0
108,1674,1756,Undirected,23,0.0,0.0
109,1856,1695,Undirected,10,0.0,0.0
110,1371,1375,Undirected,98,0.0,0.0
111,1986,1731,Undirected,2,0.0,0.0
112,528,414,Undirected,2,0.0,0.0
113,1920,914,Undirected,2,0.0,0.0
114,1734,887,Undirected,4,0.0,0.0
115,514,514,Undirected,185,0.0,0.0
116,1937,1685,Undirected,3,0.0,0.0
117,1499,758,Undirected,4,0.0,0.0
118,1453,1455,Undirected,21,0.0,0.0
119,1707,1980,Undirected,4,0.0,0.0
120,937,1301,Undirected,1,0.0,0.0
121,1834,1219,Undirected,3,0.0,0.0
122,842,1549,Undirected,2,0.0,0.0
123,1932,1701,Undirected,2,0.0,0.0
124,1852,1654,Undirected,1,0.0,0.0
125,840,777,Undirected,1,0.0,0.0
126,227,1462,Undirected,1,0.0,0.0
127,176,1153,Undirected,2,0.0,0.0
128,1747,1933,Undirected,3,0.0,0.0
129,1834,1371,Undirected,1,0.0,0.0
130,1240,424,Undirected,1,0.0,0.0
131,1435,1806,Undirected,5,0.0,0.0
132,639,639,Undirected,73,0.0,0.0
133,1219,719,Undirected,16,0.0,0.0
134,444,1373,Undirected,1,0.0,0.0
135,1482,915,Undirected,1,0.0,0.0
136,1516,1447,Undirected,2,0.0,0.0
137,1882,525,Undirected,2,0.0,0.0
138,526,439,Undirected,1,0.0,0.0
139,1427,893,Undirected,1,0.0,0.0
140,1675,1900,Undirected,2,0.0,0.0
141,914,495,Undirected,51,0.0,0.0
142,419,1836,Undirected,1,0.0,0.0
143,352,601,Undirected,3,0.0,0.0
144,424,1602,Undirected,7,0.0,0.0
145,1994,506,Undirected,6,0.0,0.0
146,1079,1079,Undirected,322,0.0,0.0
147,1462,1679,Undirected,4,0.0,0.0
148,1780,1783,Undirected,34,0.0,0.0
149,354,303,Undirected,1,0.0,0.0
150,1782,1782,Undirected,252,0.0,0.0
151,1593,1879,Undirected,2,0.0,0.0
152,1699,195,Undirected,2,0.0,0.0
153,1392,1969,Undirected,3,0.0,0.0
154,1197,495,Undirected,16,0.0,0.0
155,585,610,Undirected,1,0.0,0.0
156,1740,271,Undirected,1,0.0,0.0
157,1693,661,Undirected,2,0.0,0.0
158,1739,1756,Undirected,18,0.0,0.0
159,272,635,Undirected,1,0.0,0.0
160,547,1279,Undirected,1,0.0,0.0
161,1161,188,Undirected,2,5.486424837222837e-07,0.47204791629920806
162,1736,1736,Undirected,43,0.0,0.0
163,1308,990,Undirected,1,0.0,0.0
164,1841,730,Undirected,11,0.0,0.0
165,433,1499,Undirected,1,0.0,0.0
166,740,1030,Undirected,14,0.0,0.0
167,926,623,Undirected,1,0.0,0.0
168,1555,1343,Undirected,5,0.0,0.0
