,ID,label,weight,committor_prob,p_bound,p_unbound,bound,unbound,predicted_transition_state,b_t_u,path_0,path_1,path_2,path_3,path_4,bneck_ens_0,bneck_ens_1,bneck_ens_2,bneck_ens_3,bneck_ens_4,bottleneck_ensemble,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,full_run_0,full_run_1,full_run_2,full_run_3,full_run_4,full_run_5,bneck_ens_TS_0,num_frames,free_energy,SASA_reps,TS_seeds,scan_seeds,committor_prob_0.4,unbound_0.4,predicted_transition_state_0.4,committor_prob_0.5,unbound_0.5,predicted_transition_state_0.5,committor_prob_0.7,unbound_0.7,predicted_transition_state_0.7,committor_prob_0.6,unbound_0.6,predicted_transition_state_0.6,path+ensemble_0,trim_committor_prob,inxclass_3181,inxclass_1310,inxclass_149,inxclass_1138,inxclass_148,inxclass_1073,inxclass_3403,inxclass_3016,inxclass_344,inxclass_1072,inxclass_1311,inxclass_3010,inxclass_387,modularity_class_2.0,bottleneck,lip_distance,BS_SASA,TPPU_SASA,TPPU_R2_SASA,TPPU_R2_hydrophobes_SASA,TPPU_not_R2_SASA,TPPU_R1_SASA,TPPU_scaffold_SASA,community_name
0,0,0,0.0009837285565455318,0.06470400146681675,0.9352959985331832,0.06470400146681675,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1644,3.745606631422401,161.37887573242188,0,0,0.06470400146681675,False,False,0.05995847546450338,False,False,0.051339830216966864,False,False,0.05510219137440673,False,False,0,0.06470400146681675,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,12.570043563842773,327.39422607421875,161.37887573242188,58.003135681152344,41.267181396484375,103.37576293945312,44.09568786621094,59.28005599975586,B*
1,1,1,3.2227537759932183e-14,0.0,1.0,0.0,False,True,False,U,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,4,27.88740117319381,520.0410766601561,0,0,-1.0,True,False,-1.0,True,False,-1.0,True,False,-1.0,True,False,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,False,15.923604011535645,596.5523681640625,520.0410766601561,118.38215637207031,96.5258331298828,401.6589660644531,225.93304443359366,175.72592163085938,U
2,2,2,1.227540036836879e-12,0.8312116125411891,0.16878838745881086,0.8312116125411891,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,156,24.24745499449181,344.5787353515625,0,0,0.8312116125411891,False,False,0.7927456668444632,False,False,0.6476872124463013,False,False,0.6914261002271689,False,False,0,0.8312116125411891,0,0,0,0,0,0,0,0,0,0,0,0,0,4,False,13.575602531433105,368.9851379394531,344.5787353515625,25.219655990600586,22.766733169555664,319.3591003417969,199.57794189453125,119.78117370605469,U
3,3,3,2.0496507646031628e-10,0.7397980663504696,0.2602019336495304,0.7397980663504696,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,817,19.12962758531862,315.3438415527344,0,0,0.7397980663504696,False,False,0.6868669446370511,False,False,0.5941703747618599,False,True,0.6398240061361904,False,False,0,0.7397980663504696,0,0,0,0,0,0,0,0,0,0,0,0,0,4,False,13.313912391662598,435.6192321777344,315.3438415527344,87.15003967285156,65.69780731201172,228.19378662109366,108.59165954589844,119.60212707519531,U
4,4,4,1.4576584335313944e-14,0.5781020509030271,0.4218979490969729,0.5781020509030271,False,False,True,T,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,602,28.68080604161603,261.29476928710943,0,0,0.5781020509030271,False,True,0.5310532261497223,False,True,0.4568309760557042,False,True,0.4916932510684667,False,True,0,0.5781020509030271,0,0,0,0,0,0,0,0,0,0,0,0,0,5,False,13.790365219116213,427.6164855957031,261.29476928710943,24.807191848754883,22.82602310180664,236.4875640869141,147.24961853027344,89.23796081542969,P2
5,5,5,1.311452151140173e-09,0.5131461084691895,0.4868538915308105,0.5131461084691895,False,False,True,T,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1235,17.273576876644338,320.8210144042969,1,1,0.5131461084691895,False,True,0.4766712640507009,False,True,0.4071760291427433,False,True,0.4365738084902484,False,True,1,0.5131461084691895,0,0,0,0,0,0,0,0,0,0,0,0,0,6,True,16.31502342224121,417.6466369628906,320.8210144042969,101.0025863647461,80.72931671142578,219.81837463378903,83.37229919433594,136.44607543945312,P1
6,6,6,1.3698645792883241e-14,0.2832134641135358,0.7167865358864642,0.2832134641135358,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,243,28.742925489482733,152.85855102539062,0,0,0.2832134641135358,False,False,0.2628862568249795,False,False,0.22476475411005487,False,False,0.24107975133836834,False,False,0,0.2832134641135358,0,0,0,0,0,0,0,0,0,0,0,0,0,8,False,12.015572547912598,475.6986389160156,152.85855102539062,64.84217071533203,44.86882019042969,88.01639556884766,13.208395004272461,74.80799102783203,P1*
7,7,7,1.8363807013508095e-13,0.8107957079082861,0.18920429209171385,0.8107957079082861,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,222,26.14725565982781,434.0316162109375,0,0,0.8107957079082861,False,False,0.7475146003951413,False,False,0.6471167262281563,False,False,0.7001545129167701,False,False,0,0.8107957079082861,0,0,0,0,0,0,0,0,0,0,0,0,0,4,True,12.776732444763185,470.193359375,434.0316162109375,121.73770904541016,98.6216812133789,312.29388427734375,181.3793182373047,130.91456604003906,U
8,8,8,2.338791809312001e-12,0.27883898394261525,0.7211610160573847,0.27883898394261525,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,62,23.60283271599088,330.9601745605469,0,0,0.27883898394261525,False,False,0.2575496702163673,False,False,0.22105876284716566,False,False,0.23753320343080364,False,False,0,0.27883898394261525,0,0,0,0,0,0,0,0,0,0,1,0,0,5,False,14.437070846557615,335.47149658203125,330.9601745605469,70.20179748535156,61.14778518676758,260.75836181640625,213.42083740234366,47.3375244140625,P2
9,9,9,2.345807854864188e-14,0.9117619036082638,0.08823809639173619,0.9117619036082638,False,False,False,N,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,84,28.20500753362268,443.1263427734375,0,0,0.9117619036082638,False,False,0.8542346487459507,False,False,0.7551504332061696,False,False,0.7868686314027316,False,False,1,0.9117619036082638,0,0,0,0,0,0,0,0,0,0,0,0,0,4,False,14.232816696166992,531.4010009765625,443.1263427734375,119.04894256591797,98.92725372314452,324.077392578125,150.74928283691406,173.32810974121094,U
