Date,Tragelaphus.sylvaticus,Kobus.ellipsiprymnus,Redunca.arundinum,Phacochoerus.africanus,Ourebia.ourebi,Tragelaphus.angasii,Aepyceros.melampus,Thryonomys.swinderianus,Neotragus.moschatus,Civettictis.civetta,Hippotragus.niger,Syncerus.caffer,Sylvicapra.grimmia,Tragelaphus.strepsiceros,Leptailurus.serval,Connochaetes.taurinus,Loxodonta.africana
Before cyclone,0.039206531,0.105476455,0.052222492,0,0.180607652,0.538950244,0.037837003,0,0.014387464,0.010422257,0.005555857,0,0,0.015334045,0,0,0
Before cyclone,0.00741878,0.016762006,0.51094924,0,0.006279388,0,0.433110924,0,0.014864542,0.010615121,0,0,0,0,0,0,0
Before cyclone,0.197768403,0.023040847,0.077138466,0.035385617,0,0.412065991,0.063033271,0,0.112217508,0,0,0.019299264,0.060050633,0,0,0,0
Before cyclone,0.78189734,0.102112519,0.05179941,0.017200765,0,0,0,0,0.015868826,0,0.031121141,0,0,0,0,0,0
Before cyclone,0.077801642,0,0.265336104,0.168455188,0.184881564,0,0,0.078391603,0.113072079,0,0,0,0,0,0.112061819,0,0
Before cyclone,0.28927691,0.006944343,0.635201429,0,0.006204064,0.004132322,0,0,0.03893942,0,0.019301512,0,0,0,0,0,0
Before cyclone,0.832343707,0.049480337,0.009009738,0,0,0.02676301,0.048617061,0,0.033786146,0,0,0,0,0,0,0,0
Before cyclone,0.956551195,0.021666408,0.007057492,0,0,0,0,0,0,0,0,0,0,0.014724905,0,0,0
Before cyclone,0.83719451,0.13965532,0.02315017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before cyclone,0.089487555,0.014624434,0.033576127,0,0,0.017836567,0.735582809,0,0.034054507,0,0,0,0,0.055106483,0,0,0.019731518
Before cyclone,0.305169344,0.059984774,0.538853006,0.033271852,0.021875441,0.007866427,0,0,0.021809918,0,0,0,0,0,0.011169237,0,0
Before cyclone,0.216695478,0.118873355,0.097175323,0.051623848,0.041836629,0.194707142,0.075132383,0,0.114998338,0.067558508,0,0,0,0,0.021398996,0,0
Before cyclone,0.050467784,0.05245115,0.076296686,0.179454268,0.641330113,0,0,0,0,0,0,0,0,0,0,0,0
Before cyclone,0,0,0,0,0,0,0,0.02471748,0.015921285,0.959361235,0,0,0,0,0,0,0
Before cyclone,0.019999125,0,0,0.02651759,0.062058743,0.795024593,0,0,0.039024334,0,0,0,0,0.057375615,0,0,0
Before cyclone,0.610679625,0,0.042649648,0.058733963,0,0.07609729,0,0,0.038619302,0,0,0,0,0.173220173,0,0,0
Before cyclone,0.234564393,0.120649179,0.376885819,0,0.065103234,0.123812289,0,0,0.078985086,0,0,0,0,0,0,0,0
Before cyclone,0,0.043671319,0.03127548,0,0.849342785,0,0.014716982,0,0.016126834,0.021087189,0.023779412,0,0,0,0,0,0
Before cyclone,0.215497493,0.283343846,0.405763421,0,0.095395239,0,0,0,0,0,0,0,0,0,0,0,0
Before cyclone,0.570327062,0.13048487,0.254102803,0,0.037236325,0,0.00784894,0,0,0,0,0,0,0,0,0,0
Before cyclone,0.051363594,0.022682593,0.107907641,0.618030828,0.055901458,0,0,0,0.081968223,0.020603308,0.030429929,0,0.011112427,0,0,0,0
Before cyclone,0.266625811,0.06721017,0.007771221,0.070826932,0.08671352,0,0.335544551,0,0.09632952,0,0,0,0.042080258,0,0,0,0.026898018
Before cyclone,0.022867026,0.076793351,0.519183133,0,0.327446281,0,0.025974882,0,0.007205573,0.010171776,0.010357978,0,0,0,0,0,0
1-3 mo. after cyclone,0.09694196,0.797369647,0.059025046,0,0.023335956,0,0.023327392,0,0,0,0,0,0,0,0,0,0
1-3 mo. after cyclone,0.290140281,0.403176553,0.148424215,0.020201439,0.017011423,0.075043012,0.021444863,0,0.024558213,0,0,0,0,0,0,0,0
