SampleID,TopSeqSpeciesID
PNG_16_AEME_13,['Aepyceros melampus']
PNG_16_AEME_14,['Aepyceros melampus']
PNG_16_AEME_20,['Aepyceros melampus']
PNG_16_AEME_21,['Aepyceros melampus']
PNG_16_ALBU_01,['Alcelaphus buselaphus']
PNG_16_ALBU_04,['Alcelaphus buselaphus']
PNG_16_ALBU_05,['Alcelaphus buselaphus']
PNG_16_ALBU_06,['Alcelaphus buselaphus']
PNG_16_ALBU_07,['Alcelaphus buselaphus']
PNG_16_ALBU_08,['Alcelaphus buselaphus']
PNG_16_ALBU_10,['Alcelaphus buselaphus']
PNG_16_ALBU_11,['Alcelaphus buselaphus']
PNG_16_ALBU_12,['Alcelaphus buselaphus']
PNG_16_ALBU_14,['Alcelaphus buselaphus']
PNG_16_ALBU_15,['Alcelaphus buselaphus']
PNG_16_ALBU_16,['Alcelaphus buselaphus']
PNG_16_ALBU_17,['Alcelaphus buselaphus']
PNG_16_ALBU_18,['Alcelaphus buselaphus']
PNG_16_COTA_01,['Connochaetes taurinus']
PNG_16_COTA_02,['Connochaetes taurinus']
PNG_16_COTA_03,['Connochaetes taurinus']
PNG_16_COTA_04,['Connochaetes taurinus']
PNG_16_COTA_05,['Connochaetes taurinus']
PNG_16_COTA_06,['Connochaetes taurinus']
PNG_16_COTA_07,['Connochaetes taurinus']
PNG_16_COTA_08,['Connochaetes taurinus']
PNG_16_COTA_10,['Connochaetes taurinus']
PNG_16_COTA_11,['Connochaetes taurinus']
PNG_16_COTA_12,['Connochaetes taurinus']
PNG_16_COTA_13,['Connochaetes taurinus']
PNG_16_COTA_15,['Connochaetes taurinus']
PNG_16_COTA_16,['Connochaetes taurinus']
PNG_16_COTA_17,['Connochaetes taurinus']
PNG_16_COTA_18,['Connochaetes taurinus']
PNG_16_COTA_19,['Connochaetes taurinus']
PNG_16_COTA_20,['Connochaetes taurinus']
PNG_16_COTA_21,['Connochaetes taurinus']
PNG_16_COTA_22,['Connochaetes taurinus']
PNG_16_COTA_23,['Connochaetes taurinus']
PNG_16_COTA_24,['Connochaetes taurinus']
PNG_16_COTA_25,['Connochaetes taurinus']
PNG_16_COTA_26,['Connochaetes taurinus']
PNG_16_COTA_27,['Connochaetes taurinus']
PNG_16_COTA_28,['Connochaetes taurinus']
PNG_16_COTA_29,['Connochaetes taurinus']
PNG_16_COTA_30,['Connochaetes taurinus']
PNG_16_HINI_01,['Hippotragus niger']
PNG_16_HINI_02,['Hippotragus niger']
PNG_16_HINI_09,['Hippotragus niger']
PNG_16_HINI_10,['Hippotragus niger']
PNG_16_HINI_11,['Hippotragus niger']
PNG_16_HINI_12,['Hippotragus niger']
PNG_16_HINI_13,['Hippotragus niger']
PNG_16_HINI_14,['Hippotragus niger']
PNG_16_HINI_15,['Hippotragus niger']
PNG_16_HINI_16,['Hippotragus niger']
PNG_16_HINI_17,['Hippotragus niger']
PNG_16_HINI_18,['Hippotragus niger']
PNG_16_HINI_19,['Hippotragus niger']
PNG_16_HINI_20,['Hippotragus niger']
PNG_16_KOEL_18,['Kobus ellipsiprymnus']
PNG_16_OUOU_05,['Ourebia ourebi']
PNG_16_OUOU_06,['Ourebia ourebi']
PNG_16_OUOU_09,['Ourebia ourebi']
PNG_16_OUOU_17,['Ourebia ourebi']
PNG_16_PHAF_10,['Phacochoerus africanus']
PNG_16_PHAF_11,['Phacochoerus africanus']
PNG_16_PHAF_12,['Phacochoerus africanus']
PNG_16_PHAF_14,['Phacochoerus africanus']
PNG_16_PHAF_16,['Phacochoerus africanus']
PNG_16_PHAF_17,['Phacochoerus africanus']
PNG_16_PHAF_18,['Phacochoerus africanus']
PNG_16_PHAF_19,['Phacochoerus africanus']
PNG_16_REAR_11,['Redunca arundinum']
PNG_16_REAR_13,['Ourebia ourebi']
PNG_16_SYCA_01,['Syncerus caffer']
PNG_16_SYCA_02,['Syncerus caffer']
PNG_16_SYCA_03,['Syncerus caffer']
PNG_16_SYCA_08,['Syncerus caffer']
PNG_16_SYCA_11,['Syncerus caffer']
PNG_16_SYCA_12,['Syncerus caffer']
PNG_16_SYCA_13,['Syncerus caffer']
PNG_16_SYCA_14,['Syncerus caffer']
PNG_16_SYCA_15,['Syncerus caffer']
PNG_16_SYCA_16,['Syncerus caffer']
PNG_16_SYCA_17,['Syncerus caffer']
PNG_16_SYCA_18,['Syncerus caffer']
PNG_16_SYCA_19,['Syncerus caffer']
PNG_16_SYCA_20,['Syncerus caffer']
PNG_16_SYCA_21,['Kobus ellipsiprymnus']
PNG_16_TRAN_01,['Tragelaphus angasii']
PNG_16_TRAN_02,['Tragelaphus angasii']
PNG_16_TRAN_03,['Aepyceros melampus']
PNG_16_TRAN_04,['Aepyceros melampus']
PNG_16_TRAN_05,['Aepyceros melampus']
PNG_16_TRAN_06,['Aepyceros melampus']
PNG_16_TRAN_07,['Tragelaphus angasii']
PNG_16_TRAN_08,['Tragelaphus angasii']
PNG_16_TRAN_09,['Tragelaphus angasii']
PNG_16_TRAN_10,['Tragelaphus angasii']
PNG_16_TRAN_11,['Tragelaphus angasii']
PNG_16_TRAN_12,['Ourebia ourebi']
PNG_16_TRAN_13,['Tragelaphus angasii']
PNG_16_TRAN_14,['Tragelaphus angasii']
PNG_16_TRSC_01,['Tragelaphus scriptus']
PNG_16_TRSC_02,['Tragelaphus angasii']
PNG_16_TRSC_13,['Tragelaphus scriptus']
PNG_16_TRSC_21,['Tragelaphus scriptus']
PNG_16_TRSC_22,['Tragelaphus scriptus']
PNG_16_TRSC_23,['Tragelaphus scriptus']
PNG_16_TRSC_24,['Tragelaphus scriptus']
PNG_16_TRSC_25,['Tragelaphus scriptus']
PNG_16_TRSC_27,['Tragelaphus scriptus']
PNG_16_TRST_02,['Tragelaphus strepsiceros']
PNG_16_TRST_03,['Tragelaphus strepsiceros']
PNG_16_TRST_05,['Tragelaphus strepsiceros']
PNG_16_TRST_06,['Tragelaphus strepsiceros']
PNG_16_TRST_09,['Tragelaphus strepsiceros']
PNG_16_TRST_10,['Tragelaphus strepsiceros']
PNG_16_TRST_13,['Tragelaphus strepsiceros']
PNG_17_KOEL_35,['Potamochoerus larvatus']
PNG_17_REAR_41,['Phacochoerus africanus']
PNG_18_AEME_13,['Aepyceros melampus']
PNG_18_AEME_16,['Aepyceros melampus']
PNG_18_AEME_17,['Aepyceros melampus']
PNG_18_AEME_20,['Aepyceros melampus']
PNG_18_AEME_21,['Ourebia ourebi']
PNG_18_AEME_38,['Aepyceros melampus']
PNG_18_AEME_39,['Aepyceros melampus']
PNG_18_AEME_45,['Aepyceros melampus']
PNG_18_AEME_46,['Aepyceros melampus']
PNG_18_AEME_54,['Aepyceros melampus']
PNG_18_AEME_55,['Aepyceros melampus']
PNG_18_ALBU_01,['Alcelaphus buselaphus']
PNG_18_ALBU_02,['Tragelaphus angasii']
PNG_18_ALBU_03,['Alcelaphus buselaphus']
PNG_18_ALBU_04,['Alcelaphus buselaphus']
PNG_18_ALBU_05,['Alcelaphus buselaphus']
PNG_18_ALBU_06,['Alcelaphus buselaphus']
PNG_18_ALBU_08,['Alcelaphus buselaphus']
PNG_18_ALBU_09,['Hippotragus niger']
PNG_18_ALBU_10,['Alcelaphus buselaphus']
PNG_18_ALBU_13,['Alcelaphus buselaphus']
PNG_18_ALBU_16,['Alcelaphus buselaphus']
PNG_18_ALBU_22,['Alcelaphus buselaphus']
PNG_18_ALBU_23,['Alcelaphus buselaphus']
PNG_18_ALBU_24,['Alcelaphus buselaphus']
PNG_18_ALBU_25,['Alcelaphus buselaphus']
PNG_18_ALBU_26,['Alcelaphus buselaphus']
PNG_18_ALBU_27,['Alcelaphus buselaphus']
PNG_18_ALBU_28,['Alcelaphus buselaphus']
PNG_18_ALBU_29,['Alcelaphus buselaphus']
PNG_18_ALBU_30,['Alcelaphus buselaphus']
PNG_18_COTA_01,['Connochaetes taurinus']
PNG_18_COTA_02,['Connochaetes taurinus']
PNG_18_COTA_03,['Connochaetes taurinus']
PNG_18_COTA_04,['Connochaetes taurinus']
PNG_18_COTA_05,['Connochaetes taurinus']
PNG_18_COTA_06,['Connochaetes taurinus']
PNG_18_COTA_07,['Connochaetes taurinus']
PNG_18_COTA_08,['Connochaetes taurinus']
PNG_18_COTA_09,['Connochaetes taurinus']
PNG_18_COTA_10,['Connochaetes taurinus']
PNG_18_COTA_11,['Connochaetes taurinus']
PNG_18_COTA_12,['Connochaetes taurinus']
PNG_18_COTA_13,['Connochaetes taurinus']
PNG_18_COTA_14,['Connochaetes taurinus']
PNG_18_COTA_15,['Connochaetes taurinus']
PNG_18_COTA_16,['Connochaetes taurinus']
PNG_18_COTA_17,['Connochaetes taurinus']
PNG_18_COTA_18,['Connochaetes taurinus']
PNG_18_COTA_19,['Connochaetes taurinus']
PNG_18_COTA_20,['Connochaetes taurinus']
PNG_18_COTA_21,['Connochaetes taurinus']
PNG_18_COTA_22,['Connochaetes taurinus']
PNG_18_COTA_31,['Connochaetes taurinus']
PNG_18_COTA_32,['Connochaetes taurinus']
PNG_18_COTA_33,['Connochaetes taurinus']
PNG_18_COTA_34,['Connochaetes taurinus']
PNG_18_COTA_35,['Kobus ellipsiprymnus']
PNG_18_COTA_36,['Connochaetes taurinus']
PNG_18_COTA_37,['Connochaetes taurinus']
PNG_18_COTA_38,['Connochaetes taurinus']
PNG_18_COTA_39,['Connochaetes taurinus']
PNG_18_COTA_40,['Connochaetes taurinus']
PNG_18_COTA_41,['Connochaetes taurinus']
PNG_18_COTA_44,['Connochaetes taurinus']
PNG_18_COTA_45,['Connochaetes taurinus']
PNG_18_COTA_46,['Connochaetes taurinus']
PNG_18_COTA_47,['Connochaetes taurinus']
PNG_18_COTA_48,['Connochaetes taurinus']
PNG_18_COTA_49,['Connochaetes taurinus']
PNG_18_COTA_50,['Connochaetes taurinus']
PNG_18_COTA_51,['Connochaetes taurinus']
PNG_18_HINI_01,['Hippotragus niger']
PNG_18_HINI_02,['Hippotragus niger']
PNG_18_HINI_03,['Kobus ellipsiprymnus']
PNG_18_HINI_04,['Hippotragus niger']
PNG_18_HINI_05,['Hippotragus niger']
PNG_18_HINI_06,['Hippotragus niger']
PNG_18_HINI_07,['Hippotragus niger']
PNG_18_HINI_08,['Hippotragus niger']
PNG_18_HINI_09,['Hippotragus niger']
PNG_18_HINI_10,['Hippotragus niger']
PNG_18_HINI_11,['Hippotragus niger']
PNG_18_HINI_12,['Alcelaphus buselaphus']
PNG_18_HINI_13,['Alcelaphus buselaphus']
PNG_18_HINI_14,['Alcelaphus buselaphus']
PNG_18_HINI_15,['Alcelaphus buselaphus']
PNG_18_HINI_24,['Hippotragus niger']
PNG_18_HINI_25,['Hippotragus niger']
PNG_18_HINI_26,['Hippotragus niger']
PNG_18_HINI_27,['Hippotragus niger']
PNG_18_HINI_28,['Hippotragus niger']
PNG_18_HINI_30,['Hippotragus niger']
PNG_18_HINI_31,['Hippotragus niger']
PNG_18_HINI_32,['Hippotragus niger']
PNG_18_HINI_33,['Tragelaphus angasii']
PNG_18_HINI_42,['Hippotragus niger']
PNG_18_HINI_43,['Hippotragus niger']
PNG_18_HINI_44,['Hippotragus niger']
PNG_18_HINI_45,['Hippotragus niger']
PNG_18_HINI_46,['Hippotragus niger']
PNG_18_HINI_47,['Hippotragus niger']
PNG_18_KOEL_01,['Kobus ellipsiprymnus']
PNG_18_KOEL_02,['Kobus ellipsiprymnus']
PNG_18_KOEL_04,['Kobus ellipsiprymnus']
PNG_18_KOEL_06,['Kobus ellipsiprymnus']
PNG_18_KOEL_07,['Kobus ellipsiprymnus']
PNG_18_KOEL_08,['Kobus ellipsiprymnus']
PNG_18_KOEL_09,['Kobus ellipsiprymnus']
PNG_18_KOEL_11,['Kobus ellipsiprymnus']
PNG_18_KOEL_12,['Kobus ellipsiprymnus']
PNG_18_KOEL_13,['Syncerus caffer']
PNG_18_KOEL_15,['Kobus ellipsiprymnus']
PNG_18_KOEL_16,['Kobus ellipsiprymnus']
PNG_18_KOEL_18,['Kobus ellipsiprymnus']
PNG_18_KOEL_19,['Kobus ellipsiprymnus']
PNG_18_KOEL_29,['Kobus ellipsiprymnus']
PNG_18_KOEL_38,['Kobus ellipsiprymnus']
PNG_18_KOEL_60,['Kobus ellipsiprymnus']
PNG_18_KOEL_62,['Kobus ellipsiprymnus']
PNG_18_KOEL_65,['Kobus ellipsiprymnus']
PNG_18_KOEL_66,['Kobus ellipsiprymnus']
PNG_18_KOEL_67,['Kobus ellipsiprymnus']
PNG_18_OUOU_05,['Ourebia ourebi']
PNG_18_OUOU_06,['Ourebia ourebi']
PNG_18_OUOU_07,['Ourebia ourebi']
PNG_18_OUOU_13,['Ourebia ourebi']
PNG_18_OUOU_14,['Aepyceros melampus']
PNG_18_OUOU_15,['Ourebia ourebi']
PNG_18_OUOU_27,['Ourebia ourebi']
PNG_18_OUOU_32,['Ourebia ourebi']
PNG_18_OUOU_33,['Ourebia ourebi']
PNG_18_OUOU_39,['Ourebia ourebi']
PNG_18_OUOU_40,['Ourebia ourebi']
PNG_18_OUOU_49,['Ourebia ourebi']
PNG_18_OUOU_51,['Ourebia ourebi']
PNG_18_OUOU_52,['Ourebia ourebi']
PNG_18_OUOU_63,['Ourebia ourebi']
PNG_18_PHAF_05,['Phacochoerus africanus']
PNG_18_PHAF_07,['Phacochoerus africanus']
PNG_18_PHAF_10,['Phacochoerus africanus']
PNG_18_PHAF_37,['Phacochoerus africanus']
PNG_18_PHAF_45,['Phacochoerus africanus']
PNG_18_PHAF_58,['Phacochoerus africanus']
PNG_18_REAR_15,['Redunca arundinum']
PNG_18_REAR_18,['Aepyceros melampus']
PNG_18_REAR_20,['Aepyceros melampus']
PNG_18_REAR_36,['Redunca arundinum']
PNG_18_REAR_40,['Kobus ellipsiprymnus']
PNG_18_REAR_42,['Redunca arundinum']
PNG_18_SYCA_01,['Syncerus caffer']
PNG_18_SYCA_02,['Syncerus caffer']
PNG_18_SYCA_03,['Syncerus caffer']
PNG_18_SYCA_04,['Syncerus caffer']
PNG_18_SYCA_05,['Syncerus caffer']
PNG_18_SYCA_06,['Syncerus caffer']
PNG_18_SYCA_07,['Syncerus caffer']
PNG_18_SYCA_08,['Syncerus caffer']
PNG_18_SYCA_09,['Syncerus caffer']
PNG_18_SYCA_10,['Syncerus caffer']
PNG_18_SYCA_14,['Syncerus caffer']
PNG_18_SYCA_15,['Syncerus caffer']
PNG_18_SYCA_16,['Syncerus caffer']
PNG_18_SYCA_18,['Syncerus caffer']
PNG_18_SYCA_19,['Syncerus caffer']
PNG_18_SYCA_20,['Syncerus caffer']
PNG_18_SYCA_21,['Syncerus caffer']
PNG_18_SYCA_22,['Syncerus caffer']
PNG_18_SYCA_23,['Syncerus caffer']
PNG_18_SYCA_24,['Syncerus caffer']
PNG_18_SYCA_26,['Syncerus caffer']
PNG_18_SYCA_28,['Syncerus caffer']
PNG_18_SYCA_30,['Syncerus caffer']
