CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Apr_2019,1,AEME,8,TRAN,8,3.963002025,0.220620252,2.00E-04,0.009
Apr_2019,1,AEME,8,HINI,8,14.34943568,0.506163009,2.00E-04,0.009
Apr_2019,1,AEME,8,COTA,8,13.46500461,0.490260417,2.00E-04,0.009
Apr_2019,1,AEME,8,KOEL,8,8.857525882,0.387510264,3.00E-04,0.0111
Apr_2019,1,AEME,8,LOAF,8,5.248264967,0.272661717,3.00E-04,0.0111
Apr_2019,1,AEME,8,OUOU,8,4.887136673,0.258754768,7.00E-04,0.0125
Apr_2019,1,AEME,8,PHAF,8,8.836032496,0.386933785,3.00E-04,0.0111
Apr_2019,1,AEME,8,REAR,8,4.894150424,0.259029928,5.00E-04,0.0125
Apr_2019,1,AEME,8,SYCA,8,9.352082429,0.400481733,6.00E-04,0.0125
Apr_2019,1,AEME,8,TRST,8,6.029321261,0.301024742,1.00E-04,0.0055
Apr_2019,1,TRAN,8,HINI,8,14.06389044,0.501138303,3.00E-04,0.0111
Apr_2019,1,TRAN,8,COTA,8,13.57816336,0.492351981,1.00E-04,0.0055
Apr_2019,1,TRAN,8,KOEL,8,9.495049657,0.404129797,2.00E-04,0.009
Apr_2019,1,TRAN,8,LOAF,8,4.552635003,0.24539021,2.00E-04,0.009
Apr_2019,1,TRAN,8,OUOU,8,5.978402755,0.299243279,5.00E-04,0.0125
Apr_2019,1,TRAN,8,PHAF,8,9.225245731,0.39720767,5.00E-04,0.0125
Apr_2019,1,TRAN,8,REAR,8,5.20633986,0.271074025,1.00E-04,0.0055
Apr_2019,1,TRAN,8,SYCA,8,9.545718034,0.405412059,1.00E-04,0.0055
Apr_2019,1,TRAN,8,TRST,8,3.67875641,0.208089094,0.0027,0.027
Apr_2019,1,HINI,8,COTA,8,21.84223817,0.609399393,4.00E-04,0.0111
Apr_2019,1,HINI,8,KOEL,8,12.66884712,0.475042924,3.00E-04,0.0111
Apr_2019,1,HINI,8,LOAF,8,5.414435076,0.278887078,3.00E-04,0.0111
Apr_2019,1,HINI,8,OUOU,8,7.961850604,0.362530952,1.00E-04,0.0055
Apr_2019,1,HINI,8,PHAF,8,13.85881124,0.497465995,1.00E-04,0.0055
Apr_2019,1,HINI,8,REAR,8,6.940906364,0.331452051,6.00E-04,0.0125
Apr_2019,1,HINI,8,SYCA,8,8.236749214,0.370411571,3.00E-04,0.0111
Apr_2019,1,HINI,8,TRST,8,24.32098555,0.634664928,6.00E-04,0.0125
Apr_2019,1,COTA,8,KOEL,8,2.413291407,0.147032752,0.0135,0.081
Apr_2019,1,COTA,8,LOAF,8,6.803507065,0.327036545,1.00E-04,0.0055
Apr_2019,1,COTA,8,OUOU,8,4.669399313,0.250109778,5.00E-04,0.0125
Apr_2019,1,COTA,8,PHAF,8,1.387371248,0.09016298,0.1924,0.1924
Apr_2019,1,COTA,8,REAR,8,4.730818579,0.252568704,8.00E-04,0.0128
Apr_2019,1,COTA,8,SYCA,8,4.226989776,0.231908276,0.0017,0.0187
Apr_2019,1,COTA,8,TRST,8,23.50842222,0.626750496,3.00E-04,0.0111
Apr_2019,1,KOEL,8,LOAF,8,5.747274874,0.291041418,2.00E-04,0.009
Apr_2019,1,KOEL,8,OUOU,8,2.533539954,0.153236389,0.0072,0.0512
Apr_2019,1,KOEL,8,PHAF,8,1.615801913,0.103472234,0.0608,0.15
Apr_2019,1,KOEL,8,REAR,8,3.024632571,0.177662135,0.0064,0.0512
