CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Jul_2016,1,AEME,8,COTA,8,4.324591099,0.235999323,0.001,0.024
Jul_2016,1,AEME,8,HINI,8,5.59022664,0.285357936,2.00E-04,0.01
Jul_2016,1,AEME,8,KOEL,8,1.89772836,0.119371039,0.032,0.429
Jul_2016,1,AEME,8,LOAF,8,2.606172242,0.156939974,3.00E-04,0.0126
Jul_2016,1,AEME,8,OUOU,8,2.203019626,0.135963523,0.0484,0.4836
Jul_2016,1,AEME,8,PHAF,8,4.062129595,0.2248976,2.00E-04,0.01
Jul_2016,1,AEME,8,REAR,8,2.484964512,0.150741272,0.0305,0.429
Jul_2016,1,AEME,8,SYCA,8,3.735689811,0.21063121,0.0011,0.0253
Jul_2016,1,AEME,8,TRAN,8,2.22058819,0.136899363,0.0034,0.0714
Jul_2016,1,AEME,8,TRST,8,4.604377427,0.247488928,1.00E-04,0.0055
Jul_2016,1,COTA,8,HINI,8,5.694784867,0.28915192,0.0011,0.0253
Jul_2016,1,COTA,8,KOEL,8,2.416287693,0.147188435,0.0286,0.429
Jul_2016,1,COTA,8,LOAF,8,5.307796037,0.274904294,2.00E-04,0.01
Jul_2016,1,COTA,8,OUOU,8,2.424420716,0.147610729,0.0622,0.4976
Jul_2016,1,COTA,8,PHAF,8,1.186075508,0.078102832,0.2855,0.7415
Jul_2016,1,COTA,8,REAR,8,1.482171742,0.095734098,0.2097,0.7415
Jul_2016,1,COTA,8,SYCA,8,6.042416722,0.301481443,1.00E-04,0.0055
Jul_2016,1,COTA,8,TRAN,8,6.612681756,0.320806474,1.00E-04,0.0055
Jul_2016,1,COTA,8,TRST,8,10.61898557,0.431333189,3.00E-04,0.0126
Jul_2016,1,HINI,8,KOEL,8,2.574844727,0.155346537,0.0118,0.1888
Jul_2016,1,HINI,8,LOAF,8,5.777939409,0.292140616,3.00E-04,0.0126
Jul_2016,1,HINI,8,OUOU,8,6.194436783,0.306739764,4.00E-04,0.0132
Jul_2016,1,HINI,8,PHAF,8,2.850702346,0.169174097,0.0424,0.4836
Jul_2016,1,HINI,8,REAR,8,5.400969467,0.278386576,9.00E-04,0.0225
Jul_2016,1,HINI,8,SYCA,8,5.437110098,0.279728317,6.00E-04,0.0174
Jul_2016,1,HINI,8,TRAN,8,7.631372408,0.352791874,3.00E-04,0.0126
Jul_2016,1,HINI,8,TRST,8,12.45857039,0.470870883,6.00E-04,0.0174
Jul_2016,1,KOEL,8,LOAF,8,2.422174413,0.147494135,8.00E-04,0.0208
Jul_2016,1,KOEL,8,OUOU,8,1.673127192,0.106751331,0.0906,0.5436
Jul_2016,1,KOEL,8,PHAF,8,1.824801971,0.115312784,0.074,0.518
Jul_2016,1,KOEL,8,REAR,8,1.408751856,0.091425436,0.1652,0.7415
Jul_2016,1,KOEL,8,SYCA,8,2.158414717,0.133578371,0.0403,0.4836
Jul_2016,1,KOEL,8,TRAN,8,3.416721849,0.196174796,2.00E-04,0.01
Jul_2016,1,KOEL,8,TRST,8,5.812814799,0.293386622,3.00E-04,0.0126
Jul_2016,1,LOAF,8,OUOU,8,3.598710495,0.204487169,3.00E-04,0.0126
Jul_2016,1,LOAF,8,PHAF,8,5.106300434,0.267257413,4.00E-04,0.0132
Jul_2016,1,LOAF,8,REAR,8,3.808820323,0.213872691,2.00E-04,0.01
Jul_2016,1,LOAF,8,SYCA,8,4.084344385,0.225849735,7.00E-04,0.0189
Jul_2016,1,LOAF,8,TRAN,8,2.231303552,0.137469153,0.0098,0.1666
Jul_2016,1,LOAF,8,TRST,8,4.765193669,0.253937889,5.00E-04,0.0155
Jul_2016,1,OUOU,8,PHAF,8,2.462384767,0.149576431,0.0424,0.4836
Jul_2016,1,OUOU,8,REAR,8,0.35865636,0.024978407,0.9251,0.9251
Jul_2016,1,OUOU,8,SYCA,8,3.926372313,0.219027712,0.0042,0.084
Jul_2016,1,OUOU,8,TRAN,8,4.145627294,0.228464259,1.00E-04,0.0055
Jul_2016,1,OUOU,8,TRST,8,7.030223557,0.334291432,2.00E-04,0.01
Jul_2016,1,PHAF,8,REAR,8,1.660309608,0.106020229,0.1483,0.7415
Jul_2016,1,PHAF,8,SYCA,8,5.776515511,0.292089651,5.00E-04,0.0155
Jul_2016,1,PHAF,8,TRAN,8,6.069310052,0.302417474,2.00E-04,0.01
Jul_2016,1,PHAF,8,TRST,8,9.761814304,0.4108194,3.00E-04,0.0126
Jul_2016,1,REAR,8,SYCA,8,3.979657181,0.221342217,0.0054,0.1026
Jul_2016,1,REAR,8,TRAN,8,4.497845123,0.243155086,3.00E-04,0.0126
Jul_2016,1,REAR,8,TRST,8,7.713778043,0.355248084,1.00E-04,0.0055
Jul_2016,1,SYCA,8,TRAN,8,5.639677084,0.287157322,3.00E-04,0.0126
Jul_2016,1,SYCA,8,TRST,8,9.235416291,0.397471523,2.00E-04,0.01
Jul_2016,1,TRAN,8,TRST,8,3.144819078,0.183426787,0.0061,0.1098
Jul_2016,2,AEME,8,COTA,8,4.022911594,0.223210971,5.00E-04,0.014
Jul_2016,2,AEME,8,HINI,8,7.325980911,0.343523749,2.00E-04,0.0098
Jul_2016,2,AEME,8,KOEL,8,3.297496887,0.190634339,0.0088,0.1144
Jul_2016,2,AEME,8,LOAF,8,2.683208987,0.160832906,0.0017,0.034
Jul_2016,2,AEME,8,OUOU,8,2.564153427,0.154801357,0.0185,0.2035
Jul_2016,2,AEME,8,PHAF,8,3.644087317,0.206533058,3.00E-04,0.0114
Jul_2016,2,AEME,8,REAR,8,2.181700352,0.134825161,0.0326,0.2608
Jul_2016,2,AEME,8,SYCA,8,3.338306365,0.192539357,0.002,0.038
Jul_2016,2,AEME,8,TRAN,8,2.322115035,0.142268023,0.0053,0.0816
Jul_2016,2,AEME,8,TRST,8,5.526495333,0.28302546,5.00E-04,0.014
Jul_2016,2,COTA,8,HINI,8,6.927640313,0.331028258,8.00E-04,0.0184
Jul_2016,2,COTA,8,KOEL,8,5.124199533,0.267943216,0.0051,0.0816
Jul_2016,2,COTA,8,LOAF,8,5.534414183,0.283316107,3.00E-04,0.0114
Jul_2016,2,COTA,8,OUOU,8,3.399242934,0.19536729,0.0215,0.2035
Jul_2016,2,COTA,8,PHAF,8,1.503599179,0.096983878,0.1999,0.7996
Jul_2016,2,COTA,8,REAR,8,2.364409965,0.144484889,0.0716,0.4296
Jul_2016,2,COTA,8,SYCA,8,5.484414796,0.281477009,1.00E-04,0.0055
Jul_2016,2,COTA,8,TRAN,8,7.284335531,0.342239274,3.00E-04,0.0114
Jul_2016,2,COTA,8,TRST,8,11.68586083,0.454953054,2.00E-04,0.0098
Jul_2016,2,HINI,8,KOEL,8,9.58934641,0.406511747,1.00E-04,0.0055
Jul_2016,2,HINI,8,LOAF,8,8.297347396,0.372122623,1.00E-04,0.0055
Jul_2016,2,HINI,8,OUOU,8,8.417144876,0.375478007,4.00E-04,0.0132
Jul_2016,2,HINI,8,PHAF,8,4.538424257,0.244811759,0.0075,0.105
Jul_2016,2,HINI,8,REAR,8,5.152254872,0.269015576,6.00E-04,0.0156
Jul_2016,2,HINI,8,SYCA,8,5.406036264,0.278574985,7.00E-04,0.0175
Jul_2016,2,HINI,8,TRAN,8,10.78143773,0.435061026,2.00E-04,0.0098
Jul_2016,2,HINI,8,TRST,8,18.46525939,0.568769809,2.00E-04,0.0098
Jul_2016,2,KOEL,8,LOAF,8,4.425554347,0.240185683,4.00E-04,0.0132
Jul_2016,2,KOEL,8,OUOU,8,1.377875961,0.089601188,0.2517,0.7996
Jul_2016,2,KOEL,8,PHAF,8,3.513661453,0.200624036,0.014,0.168
Jul_2016,2,KOEL,8,REAR,8,1.437635337,0.093125359,0.2142,0.7996
Jul_2016,2,KOEL,8,SYCA,8,4.434587414,0.240557996,0.0037,0.0666
Jul_2016,2,KOEL,8,TRAN,8,5.676875731,0.288504934,1.00E-04,0.0055
Jul_2016,2,KOEL,8,TRST,8,9.112817169,0.394275484,3.00E-04,0.0114
Jul_2016,2,LOAF,8,OUOU,8,3.607885763,0.204901702,0.0011,0.0231
Jul_2016,2,LOAF,8,PHAF,8,4.668991513,0.250093397,2.00E-04,0.0098
Jul_2016,2,LOAF,8,REAR,8,3.570752123,0.203221359,4.00E-04,0.0132
Jul_2016,2,LOAF,8,SYCA,8,4.518879404,0.244014733,2.00E-04,0.0098
Jul_2016,2,LOAF,8,TRAN,8,2.749297004,0.164144024,0.001,0.022
Jul_2016,2,LOAF,8,TRST,8,5.706727399,0.289582704,1.00E-04,0.0055
Jul_2016,2,OUOU,8,PHAF,8,2.39116742,0.145881459,0.0355,0.2608
Jul_2016,2,OUOU,8,REAR,8,0.942132356,0.063052069,0.426,0.7996
Jul_2016,2,OUOU,8,SYCA,8,3.870374232,0.21658048,0.0043,0.0731
Jul_2016,2,OUOU,8,TRAN,8,5.02595613,0.26416313,2.00E-04,0.0098
Jul_2016,2,OUOU,8,TRST,8,8.499439384,0.377762274,2.00E-04,0.0098
Jul_2016,2,PHAF,8,REAR,8,1.930851042,0.121202002,0.0717,0.4296
Jul_2016,2,PHAF,8,SYCA,8,4.776184707,0.254374612,4.00E-04,0.0132
Jul_2016,2,PHAF,8,TRAN,8,6.10932088,0.30380543,4.00E-04,0.0132
Jul_2016,2,PHAF,8,TRST,8,9.790824907,0.411537849,3.00E-04,0.0114
Jul_2016,2,REAR,8,SYCA,8,2.721909009,0.162775016,0.0198,0.2035
Jul_2016,2,REAR,8,TRAN,8,4.825083189,0.256311387,2.00E-04,0.0098
Jul_2016,2,REAR,8,TRST,8,7.874625002,0.359989028,2.00E-04,0.0098
Jul_2016,2,SYCA,8,TRAN,8,6.030643305,0.301070875,1.00E-04,0.0055
Jul_2016,2,SYCA,8,TRST,8,9.807021213,0.411938189,2.00E-04,0.0098
Jul_2016,2,TRAN,8,TRST,8,4.805991882,0.255556416,7.00E-04,0.0175
Jul_2016,3,AEME,8,COTA,8,6.194377652,0.306737735,3.00E-04,0.0135
Jul_2016,3,AEME,8,HINI,8,3.934273147,0.219371765,1.00E-04,0.0055
Jul_2016,3,AEME,8,KOEL,8,2.936791283,0.173397147,0.0011,0.0264
Jul_2016,3,AEME,8,LOAF,8,2.604160666,0.156837838,3.00E-04,0.0135
