CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Nov_2018,1,AEME,8,COTA,8,5.966998491,0.298843038,2.00E-04,0.01
Nov_2018,1,AEME,8,HINI,8,5.089416524,0.266609329,2.00E-04,0.01
Nov_2018,1,AEME,8,KOEL,8,2.413592541,0.147048401,0.0094,0.0752
Nov_2018,1,AEME,8,LOAF,8,3.096772279,0.181131984,3.00E-04,0.012
Nov_2018,1,AEME,8,OUOU,8,2.875891083,0.170414177,0.0123,0.0861
Nov_2018,1,AEME,8,PHAF,8,2.844621052,0.168874149,0.0011,0.0187
Nov_2018,1,AEME,8,REAR,8,2.748268055,0.164092672,0.0011,0.0187
Nov_2018,1,AEME,8,SYCA,8,5.849223511,0.294682737,5.00E-04,0.0135
Nov_2018,1,AEME,8,TRAN,8,4.2826097,0.234244989,7.00E-04,0.0147
Nov_2018,1,AEME,8,TRST,8,2.366159059,0.144576321,0.0082,0.0738
Nov_2018,1,COTA,8,HINI,8,3.836562994,0.215095419,0.0254,0.1185
Nov_2018,1,COTA,8,KOEL,8,4.939819591,0.260816613,5.00E-04,0.0135
Nov_2018,1,COTA,8,LOAF,8,6.203418303,0.307047956,2.00E-04,0.01
Nov_2018,1,COTA,8,OUOU,8,7.767269793,0.356832523,2.00E-04,0.01
Nov_2018,1,COTA,8,PHAF,8,4.298871669,0.234925505,0.0042,0.0504
Nov_2018,1,COTA,8,REAR,8,5.628417729,0.286748418,5.00E-04,0.0135
Nov_2018,1,COTA,8,SYCA,8,7.671136521,0.353979429,2.00E-04,0.01
Nov_2018,1,COTA,8,TRAN,8,14.0690436,0.501229889,1.00E-04,0.0055
Nov_2018,1,COTA,8,TRST,8,8.438965322,0.376085314,3.00E-04,0.012
Nov_2018,1,HINI,8,KOEL,8,3.995075382,0.222009372,0.0059,0.059
Nov_2018,1,HINI,8,LOAF,8,3.877509086,0.21689314,8.00E-04,0.0152
Nov_2018,1,HINI,8,OUOU,8,6.045484667,0.301588351,2.00E-04,0.01
Nov_2018,1,HINI,8,PHAF,8,4.306816504,0.235257534,4.00E-04,0.0132
Nov_2018,1,HINI,8,REAR,8,5.342630952,0.276210148,1.00E-04,0.0055
Nov_2018,1,HINI,8,SYCA,8,3.957496069,0.220381286,0.0237,0.1185
Nov_2018,1,HINI,8,TRAN,8,10.7201968,0.433661467,3.00E-04,0.012
Nov_2018,1,HINI,8,TRST,8,6.540317607,0.318413655,6.00E-04,0.0138
Nov_2018,1,KOEL,8,LOAF,8,3.274807063,0.189571267,0.0019,0.0285
Nov_2018,1,KOEL,8,OUOU,8,2.656713384,0.159498055,0.0181,0.1086
Nov_2018,1,KOEL,8,PHAF,8,0.895911138,0.060144769,0.4826,0.7578
Nov_2018,1,KOEL,8,REAR,8,1.243291437,0.081563187,0.2526,0.7578
Nov_2018,1,KOEL,8,SYCA,8,4.052596505,0.224488289,0.0046,0.0506
Nov_2018,1,KOEL,8,TRAN,8,7.0744085,0.335687168,2.00E-04,0.01
Nov_2018,1,KOEL,8,TRST,8,4.3576455,0.237374967,3.00E-04,0.012
Nov_2018,1,LOAF,8,OUOU,8,3.662760725,0.207371927,4.00E-04,0.0132
Nov_2018,1,LOAF,8,PHAF,8,3.89807507,0.217792978,4.00E-04,0.0132
Nov_2018,1,LOAF,8,REAR,8,4.041474351,0.224010204,2.00E-04,0.01
Nov_2018,1,LOAF,8,SYCA,8,3.712688651,0.20960616,6.00E-04,0.0138
Nov_2018,1,LOAF,8,TRAN,8,3.785147101,0.212826303,0.0025,0.0336
Nov_2018,1,LOAF,8,TRST,8,3.508152825,0.200372527,1.00E-04,0.0055
Nov_2018,1,OUOU,8,PHAF,8,3.524512021,0.201118982,9.00E-04,0.0162
Nov_2018,1,OUOU,8,REAR,8,3.428680168,0.196726323,0.0024,0.0336
Nov_2018,1,OUOU,8,SYCA,8,7.364451179,0.344705844,4.00E-04,0.0132
Nov_2018,1,OUOU,8,TRAN,8,5.965087903,0.29877594,1.00E-04,0.0055
Nov_2018,1,OUOU,8,TRST,8,3.639275876,0.206316626,4.00E-04,0.0132
Nov_2018,1,PHAF,8,REAR,8,1.279658763,0.083749172,0.2581,0.7578
Nov_2018,1,PHAF,8,SYCA,8,6.130837188,0.304549539,5.00E-04,0.0135
Nov_2018,1,PHAF,8,TRAN,8,6.791570325,0.326650187,2.00E-04,0.01
Nov_2018,1,PHAF,8,TRST,8,4.184564759,0.2301163,3.00E-04,0.012
Nov_2018,1,REAR,8,SYCA,8,6.208070239,0.307207475,4.00E-04,0.0132
Nov_2018,1,REAR,8,TRAN,8,7.006407569,0.333536686,3.00E-04,0.012
Nov_2018,1,REAR,8,TRST,8,4.39360907,0.238866068,1.00E-04,0.0055
Nov_2018,1,SYCA,8,TRAN,8,13.31405099,0.487443294,3.00E-04,0.012
Nov_2018,1,SYCA,8,TRST,8,7.615423005,0.352314318,2.00E-04,0.01
Nov_2018,1,TRAN,8,TRST,8,4.239907069,0.23245223,7.00E-04,0.0147
Nov_2018,2,AEME,8,COTA,8,5.407348208,0.278623754,4.00E-04,0.0117
Nov_2018,2,AEME,8,HINI,8,5.761353098,0.291546488,3.00E-04,0.0117
Nov_2018,2,AEME,8,KOEL,8,2.126629454,0.131870671,0.0059,0.0472
Nov_2018,2,AEME,8,LOAF,8,4.709418245,0.251713772,3.00E-04,0.0117
Nov_2018,2,AEME,8,OUOU,8,2.294173631,0.140797176,0.0084,0.0588
Nov_2018,2,AEME,8,PHAF,8,2.636894312,0.158496788,0.0011,0.0154
Nov_2018,2,AEME,8,REAR,8,2.325658812,0.142454209,0.0029,0.0319
Nov_2018,2,AEME,8,SYCA,8,6.61088068,0.320747123,4.00E-04,0.0117
Nov_2018,2,AEME,8,TRAN,8,6.685470456,0.323196442,3.00E-04,0.0117
Nov_2018,2,AEME,8,TRST,8,1.926732045,0.120974726,0.0324,0.1944
Nov_2018,2,COTA,8,HINI,8,6.736742516,0.324869854,0.0047,0.047
Nov_2018,2,COTA,8,KOEL,8,3.362583515,0.193668385,0.0013,0.0169
Nov_2018,2,COTA,8,LOAF,8,6.998723647,0.333292812,3.00E-04,0.0117
Nov_2018,2,COTA,8,OUOU,8,6.211745449,0.307333449,3.00E-04,0.0117
Nov_2018,2,COTA,8,PHAF,8,3.486176051,0.199367548,0.0049,0.047
Nov_2018,2,COTA,8,REAR,8,5.40679409,0.278603156,4.00E-04,0.0117
Nov_2018,2,COTA,8,SYCA,8,7.05336453,0.335023151,1.00E-04,0.0055
Nov_2018,2,COTA,8,TRAN,8,19.9179126,0.58723875,3.00E-04,0.0117
Nov_2018,2,COTA,8,TRST,8,8.569366666,0.37969017,2.00E-04,0.01
Nov_2018,2,HINI,8,KOEL,8,5.086066439,0.2664806,7.00E-04,0.0117
Nov_2018,2,HINI,8,LOAF,8,7.922776054,0.361394745,1.00E-04,0.0055
Nov_2018,2,HINI,8,OUOU,8,6.142998974,0.304969433,4.00E-04,0.0117
Nov_2018,2,HINI,8,PHAF,8,4.561211689,0.245738897,6.00E-04,0.0117
Nov_2018,2,HINI,8,REAR,8,6.287343641,0.309914583,3.00E-04,0.0117
Nov_2018,2,HINI,8,SYCA,8,12.87634541,0.479095845,6.00E-04,0.0117
Nov_2018,2,HINI,8,TRAN,8,17.13705488,0.550374945,2.00E-04,0.01
Nov_2018,2,HINI,8,TRST,8,7.651522012,0.353394187,2.00E-04,0.01
Nov_2018,2,KOEL,8,LOAF,8,3.300401082,0.190770206,7.00E-04,0.0117
Nov_2018,2,KOEL,8,OUOU,8,2.000749279,0.125040974,0.0527,0.2535
Nov_2018,2,KOEL,8,PHAF,8,1.15022529,0.075921332,0.302,0.6441
Nov_2018,2,KOEL,8,REAR,8,0.490016727,0.03381754,0.8673,0.8673
Nov_2018,2,KOEL,8,SYCA,8,4.559291036,0.245660841,6.00E-04,0.0117
Nov_2018,2,KOEL,8,TRAN,8,7.503509518,0.348943483,1.00E-04,0.0055
Nov_2018,2,KOEL,8,TRST,8,3.649090646,0.206757998,3.00E-04,0.0117
Nov_2018,2,LOAF,8,OUOU,8,4.397208657,0.239014991,5.00E-04,0.0117
Nov_2018,2,LOAF,8,PHAF,8,5.714256203,0.289854009,2.00E-04,0.01
Nov_2018,2,LOAF,8,REAR,8,5.078627138,0.26619458,4.00E-04,0.0117
Nov_2018,2,LOAF,8,SYCA,8,5.407503206,0.278629515,2.00E-04,0.01
Nov_2018,2,LOAF,8,TRAN,8,7.881377741,0.36018654,3.00E-04,0.0117
Nov_2018,2,LOAF,8,TRST,8,4.857444873,0.257587648,1.00E-04,0.0055
Nov_2018,2,OUOU,8,PHAF,8,2.978427928,0.175424247,0.0013,0.0169
Nov_2018,2,OUOU,8,REAR,8,1.918896501,0.120542055,0.0507,0.2535
Nov_2018,2,OUOU,8,SYCA,8,7.217878674,0.340179091,3.00E-04,0.0117
Nov_2018,2,OUOU,8,TRAN,8,6.300543264,0.310363283,2.00E-04,0.01
Nov_2018,2,OUOU,8,TRST,8,2.746089734,0.163983938,4.00E-04,0.0117
Nov_2018,2,PHAF,8,REAR,8,1.347534507,0.087801367,0.2147,0.6441
Nov_2018,2,PHAF,8,SYCA,8,8.290403639,0.371927031,3.00E-04,0.0117
