sample	pop
ABR_26	ABR
ABR_29	ABR
ABR_30	ABR
ABR_31	ABR
ABR_37	ABR
ABR_8	ABR
ABR_S001	ABR
ARA_119	ARA
ARA_99	ARA
ASC_ASC12	ASC
ASC_ASC2	ASC
ASC_ASC3	ASC
ASC_ASC4	ASC
ASC_ASC6	ASC
ASC_ASC9	ASC
BOI_289	BOI
BOI_292	BOI
BOI_315	BOI
BOI_319	BOI
BOI_324	BOI
BOI_328	BOI
BOI_335	BOI
BOI_338	BOI
BOI_343	BOI
FN_FN280	FN
FN_FN281	FN
FN_FN282	FN
FN_FN283	FN
FN_FN285	FN
FN_FN287	FN
FN_FN289	FN
FN_FN290	FN
FN_FN291	FN
FOR_371	FOR
FOR_372	FOR
FOR_373	FOR
FOR_377	FOR
FOR_378	FOR
MAR_162	MAR
MAR_173	MAR
MAR_178	MAR
MAR_180	MAR
MAR_181	MAR
MAR_188	MAR
MAR_190	MAR
PAS_HBD13	PAS
PAS_HBD17	PAS
PAS_HBD2	PAS
PAS_HBD4	PAS
PAS_HBD5	PAS
PAS_HBD7	PAS
PAS_HBD8	PAS
PAS_HBD9	PAS
PAT_HBS10	PAT
PAT_HBS12	PAT
PAT_HBS14	PAT
PAT_HBS17	PAT
PAT_HBS2	PAT
PAT_HBS3	PAT
PAT_HBS4	PAT
PAT_HBS7	PAT
TAM_224B	TAM
TAM_226	TAM
TAM_234	TAM
TAM_237	TAM
TAM_241	TAM
TAM_246	TAM
TAM_251	TAM
