Host.Species,Lake,Year,Julian.Day,Julian,Date,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,pasteuria.inf.density,metsch.prev,metsch.inf.density,spiro.prev,spiro.inf.density,brood.prev,brood.inf.density,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,micG.inf.density,coke.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
ambigua,Bishop,2021,2021188,188,7/7/21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448.4,74536.5,51006.4,407.6,19999,39,2636.1,0,448.4,0
ambigua,Bishop,2021,2021216,216,8/4/21,9,6,0,0,0,0,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.6,75801.3,29486.2,733.8,40084.9,34,5217.8,0,244.6,0
ambigua,Bishop,2021,2021230,230,8/18/21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.9,74730.1,23480.3,181.2,35872.6,452.9,14607.2,0,135.9,0
ambigua,Bishop,2021,2021272,272,9/29/21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.8,49858.2,17992.9,794.9,17992.9,877.2,11962.5,0,237.8,0
ambigua,Bishop,2021,2021300,300,10/27/21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,74183.7,19648.4,74.1,50751.6,597.9,3070.9,0,40.8,0
ambigua,Bishop,2021,2021314,314,11/10/21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475.6,122668.5,25443.7,767.1,93927.8,407.6,1576.2,70.5,475.6,0
ceriodaphnia,Bishop,2021,2021160,160,6/9/21,2,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.1,196416.2,140138.7,33766.5,6341.1,317.1,4914.4,0,0,10938.4
ceriodaphnia,Bishop,2021,2021174,174,6/23/21,10,9,1,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.8,81284.1,69299.4,3614.4,2554.6,271.8,4293.8,543.5,0,706.6
ceriodaphnia,Bishop,2021,2021188,188,7/7/21,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,74536.5,51006.4,407.6,19999,39,2636.1,0,448.4,0
ceriodaphnia,Bishop,2021,2021202,202,7/21/21,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.9,53965.2,28861.1,611.5,20789.8,152.9,3397,152.9,0,0
ceriodaphnia,Bishop,2021,2021216,216,8/4/21,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,75801.3,29486.2,733.8,40084.9,34,5217.8,0,244.6,0
ceriodaphnia,Bishop,2021,2021230,230,8/18/21,5,2,3,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.9,74730.1,23480.3,181.2,35872.6,452.9,14607.2,0,135.9,0
