datetime,Lake,Mean,Outbreak
6/14/21,Walsh,103.63,Yes
6/28/21,Walsh,48.39048,Yes
7/12/21,Walsh,0,Yes
7/26/21,Walsh,327.9359167,Yes
8/9/21,Walsh,69.9696,Yes
8/23/21,Walsh,2165.428042,Yes
9/7/21,Walsh,165.12,Yes
9/20/21,Walsh,3347.55,Yes
10/4/21,Walsh,44915.03571,Yes
10/18/21,Walsh,2125.448536,Yes
11/1/21,Walsh,1527.114286,Yes
11/12/21,Walsh,1219.664286,Yes
6/9/21,LilAp,0,No
6/23/21,LilAp,110.596,No
7/7/21,LilAp,54.868,No
7/21/21,LilAp,17.2,No
8/4/21,LilAp,51.6,No
8/18/21,LilAp,0,No
9/1/21,LilAp,17.2,No
9/15/21,LilAp,88.45714286,No
9/29/21,LilAp,111.8982857,No
10/13/21,LilAp,206.0928571,No
10/27/21,LilAp,498.8,No
11/10/21,LilAp,470.2357143,No
6/11/21,Cedar,58.97142857,No
6/21/21,Cedar,383.0071429,No
7/6/21,Cedar,0,No
7/23/21,Cedar,92.88,No
8/2/21,Cedar,23.51485714,No
8/16/21,Cedar,0,No
8/30/21,Cedar,64.57371429,No
9/13/21,Cedar,29.48571429,No
9/27/21,Cedar,38.7,No
10/11/21,Cedar,42.57,No
10/25/21,Cedar,12.9,No
11/8/21,Cedar,38.7,No
6/14/21,Mill,70.3824,No
6/28/21,Mill,20.64,No
7/12/21,Mill,0,No
7/26/21,Mill,103.2,No
8/9/21,Mill,82.13,No
8/23/21,Mill,2265.641333,No
9/7/21,Mill,82.56,No
9/20/21,Mill,1668.065214,No
10/4/21,Mill,0,No
10/18/21,Mill,191.0428571,No
11/1/21,Mill,308.9857143,No
11/12/21,Mill,29.48571429,No
6/11/21,CrookedW,224.546,No
6/21/21,CrookedW,34.4,No
7/6/21,CrookedW,51.6,No
7/23/21,CrookedW,41.28,No
8/2/21,CrookedW,34.4,No
8/16/21,CrookedW,51.6,No
8/30/21,CrookedW,120.0416667,No
9/13/21,CrookedW,103.2,No
9/27/21,CrookedW,88.45714286,No
10/11/21,CrookedW,58.66428571,No
10/25/21,CrookedW,234.9642857,No
11/8/21,CrookedW,147.1214286,No
6/9/21,Bishop,82.41666667,No
6/23/21,Bishop,186.24375,No
7/7/21,Bishop,192.0666667,No
7/21/21,Bishop,32.25,No
8/4/21,Bishop,19.35,No
8/18/21,Bishop,14.74285714,No
9/1/21,Bishop,20.64,No
9/15/21,Bishop,18.21176471,No
9/29/21,Bishop,30.35294118,No
10/13/21,Bishop,0,No
10/27/21,Bishop,12.14117647,No
11/10/21,Bishop,6.070588235,No
