datetime,Lake,MeanSpores,Dent.PerInf,Dent.density
6/11/21,CrookedW,17.2,0,49698.5
6/21/21,CrookedW,68.8,0,19738.5
7/6/21,CrookedW,1405.5625,17.8030303,31388.5
7/23/21,CrookedW,1542.41,12.6865672,7283.2
8/2/21,CrookedW,788.3333333,11.4427861,13656.1
8/16/21,CrookedW,4709.2525,3.5,5435.2
8/30/21,CrookedW,3841.5125,8.7719298,11617.8
9/13/21,CrookedW,1748.564286,3.1042129,12256.5
9/27/21,CrookedW,1248.842857,0.8438819,6440.8
10/11/21,CrookedW,440.75,6.5306122,26632.7
10/25/21,CrookedW,191.35,10.3053435,17800.4
11/8/21,CrookedW,58.97142857,3.6900369,7364.8
6/14/21,Mill,20.64,3.0592734,62182.6
6/28/21,Mill,20.64,0,33528.7
7/12/21,Mill,186.19,1.6,3397
7/26/21,Mill,267.03,0,7235.7
8/9/21,Mill,534.06,8.045977,4728.7
8/23/21,Mill,890.4583333,23.3031674,12011.9
9/7/21,Mill,1335.58,0.3802281,15883
9/20/21,Mill,8250.456071,0.9324009,11658.6
10/4/21,Mill,543.95,1.6393443,9946.5
10/18/21,Mill,543.3357143,1.6949153,26723.3
11/1/21,Mill,308.6785714,0,4130.8
11/12/21,Mill,117.6357143,0,1168.6
6/11/21,Cedar,2013.075714,0,32646.8
6/21/21,Cedar,264.45,0,48034
7/6/21,Cedar,440.1357143,1.910828,426666.7
7/23/21,Cedar,2610.014,7.1428571,30437.4
8/2/21,Cedar,2263.744214,18,30573.2
8/16/21,Cedar,4092.434393,6.8627451,12599.9
8/30/21,Cedar,2513.044393,5.033557,26995
9/13/21,Cedar,2308.485714,2.0477816,31850.5
9/27/21,Cedar,1632.11875,10.3559871,31490.4
10/11/21,Cedar,1967.276875,1.25,26089.2
10/25/21,Cedar,513.85,1.6,76433.1
11/8/21,Cedar,192.69375,1.1709602,46417
6/9/21,Bishop,137.0266667,0,140138.7
6/23/21,Bishop,64.5,0.3921569,69299.4
7/7/21,Bishop,116.8166667,4.6153846,51006.4
7/21/21,Bishop,134.9125,5.5084746,28861.1
8/4/21,Bishop,533.3763672,10.5990783,29486.2
8/18/21,Bishop,903.7678571,19.4444444,23480.3
9/1/21,Bishop,843.66,6.2962963,21401.3
9/15/21,Bishop,695.6995294,18.0555556,14675.2
9/29/21,Bishop,562.1617647,6.1674009,17992.9
10/13/21,Bishop,520.03125,6.0344828,9851.4
10/27/21,Bishop,115.2147059,1.2448133,19648.4
11/10/21,Bishop,72.84705882,0.9345794,25443.7
6/14/21,Walsh,41.28,30.1662708,50055.2
6/28/21,Walsh,0,0.1960784,92399.2
7/12/21,Walsh,82.56,1.1583012,19796.2
7/26/21,Walsh,3969.989333,5.856833,73081.4
8/9/21,Walsh,5955.8397,18.5770751,82981.2
8/23/21,Walsh,98311.975,30.862069,157622.1
9/7/21,Walsh,1817.108333,37.3134328,68280.3
9/20/21,Walsh,162528.0214,38.6440678,100212.3
10/4/21,Walsh,378846.8929,7.8212291,24322.7
10/18/21,Walsh,5724.723607,7.8947368,92942.7
11/1/21,Walsh,234.9642857,0.8928571,43482
11/12/21,Walsh,161.5571429,0,84789.8
