datetime,Lake,Mean,Dent_Per_Inf,Parv_Per_Inf,Ambig_Per_Inf,Cerio_Per_Inf,OutbreakSize,Outbreak
6/9/21,LilAp,73.272,0,,,,None,No
6/23/21,LilAp,17.2,0,,,,None,No
7/7/21,LilAp,68.8,0,,,,None,No
7/21/21,LilAp,160.3756667,0,,,,None,No
8/4/21,LilAp,154.4416667,0,,,,None,No
8/18/21,LilAp,17.2,0,,,,None,No
9/1/21,LilAp,102.4833333,0,,,,None,No
9/15/21,LilAp,103.2,0.2538071,,,,None,No
9/29/21,LilAp,176.3,0,,,,None,No
10/13/21,LilAp,44.22857143,0,,,,None,No
10/27/21,LilAp,147.1214286,2.0242915,,,,None,No
11/10/21,LilAp,132.3785714,0,,,,None,No
6/11/21,CrookedW,17.2,0,,,,Medium,Yes
6/21/21,CrookedW,68.8,0,,,,Medium,Yes
7/6/21,CrookedW,1405.5625,17.8030303,,,,Medium,Yes
7/23/21,CrookedW,1542.41,12.6865672,,,,Medium,Yes
8/2/21,CrookedW,788.3333333,11.4427861,,,,Medium,Yes
8/16/21,CrookedW,4709.2525,3.5,,,,Medium,Yes
8/30/21,CrookedW,3841.5125,8.7719298,,,,Medium,Yes
9/13/21,CrookedW,1748.564286,3.1042129,,,,Medium,Yes
9/27/21,CrookedW,1248.842857,0.8438819,,,,Medium,Yes
10/11/21,CrookedW,440.75,6.5306122,,,,Medium,Yes
10/25/21,CrookedW,191.35,10.3053435,,,,Medium,Yes
11/8/21,CrookedW,58.97142857,3.6900369,,,,Medium,Yes
6/14/21,Mill,20.64,3.0592734,,9.0909091,,Medium,Yes
6/28/21,Mill,20.64,0,,,,Medium,Yes
7/12/21,Mill,186.19,1.6,,NA,,Medium,Yes
7/26/21,Mill,267.03,0,,,,Medium,Yes
8/9/21,Mill,534.06,8.045977,,NA,,Medium,Yes
8/23/21,Mill,890.4583333,23.3031674,,,,Medium,Yes
9/7/21,Mill,1335.58,0.3802281,,NA,,Medium,Yes
9/20/21,Mill,8250.456071,0.9324009,,,,Medium,Yes
10/4/21,Mill,543.95,1.6393443,,NA,,Medium,Yes
10/18/21,Mill,543.3357143,1.6949153,,,,Medium,Yes
11/1/21,Mill,308.6785714,0,,,,Medium,Yes
11/12/21,Mill,117.6357143,0,,NA,,Medium,Yes
6/11/21,Cedar,2013.075714,0,,,,Medium,Yes
6/21/21,Cedar,264.45,0,,,,Medium,Yes
7/6/21,Cedar,440.1357143,1.910828,,,,Medium,Yes
7/23/21,Cedar,2610.014,7.1428571,,,,Medium,Yes
8/2/21,Cedar,2263.744214,18,,,,Medium,Yes
8/16/21,Cedar,4092.434393,6.8627451,,,,Medium,Yes
8/30/21,Cedar,2513.044393,5.033557,,,,Medium,Yes
9/13/21,Cedar,2308.485714,2.0477816,,,,Medium,Yes
9/27/21,Cedar,1632.11875,10.3559871,,,,Medium,Yes
10/11/21,Cedar,1967.276875,1.25,,,,Medium,Yes
10/25/21,Cedar,513.85,1.6,,,,Medium,Yes
11/8/21,Cedar,192.69375,1.1709602,,,,Medium,Yes
6/9/21,Bishop,137.0266667,0,,,,Medium,Yes
6/23/21,Bishop,64.5,0.3921569,,,,Medium,Yes
7/7/21,Bishop,116.8166667,4.6153846,,,,Medium,Yes
7/21/21,Bishop,134.9125,5.5084746,,,,Medium,Yes
8/4/21,Bishop,533.3763672,10.5990783,,,,Medium,Yes
8/18/21,Bishop,903.7678571,19.4444444,,,,Medium,Yes
9/1/21,Bishop,843.66,6.2962963,,,,Medium,Yes
9/15/21,Bishop,695.6995294,18.0555556,,,,Medium,Yes
9/29/21,Bishop,562.1617647,6.1674009,,,,Medium,Yes
10/13/21,Bishop,520.03125,6.0344828,,,,Medium,Yes
10/27/21,Bishop,115.2147059,1.2448133,,,,Medium,Yes
11/10/21,Bishop,72.84705882,0.9345794,,,,Medium,Yes
6/14/21,Walsh,41.28,30.1662708,1.330799,,NA,Large,Yes
6/28/21,Walsh,0,0.1960784,NA,,NA,Large,Yes
7/12/21,Walsh,82.56,1.1583012,NA,,0,Large,Yes
7/26/21,Walsh,3969.989333,5.856833,NA,,NA,Large,Yes
8/9/21,Walsh,5955.8397,18.5770751,0,,0,Large,Yes
8/23/21,Walsh,98311.975,30.862069,0.970874,,0,Large,Yes
9/7/21,Walsh,1817.108333,37.3134328,0,,0,Large,Yes
9/20/21,Walsh,162528.0214,38.6440678,0,,NA,Large,Yes
10/4/21,Walsh,378846.8929,7.8212291,0,,0,Large,Yes
10/18/21,Walsh,5724.723607,7.8947368,0,,1.1299435,Large,Yes
11/1/21,Walsh,234.9642857,0.8928571,0,,0,Large,Yes
11/12/21,Walsh,161.5571429,0,0,,0,Large,Yes
