datetime,Lake,Mean,Dent_Per_Inf,Retro_Per_Inf,Cerio_Per_Inf,Parv_Per_Inf,Outbreak
6/9/21,LilAp,73.272,0,NA,0,NA,Yes
6/23/21,LilAp,17.2,0.2145923,NA,0,NA,Yes
7/7/21,LilAp,0,0.122399,NA,0,NA,Yes
7/21/21,LilAp,0,0,NA,NA,NA,Yes
8/4/21,LilAp,51.6,0,NA,NA,NA,Yes
8/18/21,LilAp,103.2,0.4273504,NA,0,NA,Yes
9/1/21,LilAp,354.8646667,0.877193,NA,0,NA,Yes
9/15/21,LilAp,396.2142857,1.5228426,NA,0,NA,Yes
9/29/21,LilAp,188.9496786,2.3584906,NA,0.9803922,NA,Yes
10/13/21,LilAp,264.45,0.2352941,NA,2.1551724,NA,Yes
10/27/21,LilAp,117.6357143,0.4048583,NA,1.4634146,NA,Yes
11/10/21,LilAp,44.22857143,0.4405286,NA,0.7246377,NA,Yes
6/11/21,CrookedW,82.94520833,0.4784689,0,NA,NA,Yes
6/21/21,CrookedW,51.6,0,0,0,NA,Yes
7/6/21,CrookedW,752.8583333,0,0,0,NA,Yes
7/23/21,CrookedW,41.28,0,0,0,NA,Yes
8/2/21,CrookedW,34.4,0,0,0,NA,Yes
8/16/21,CrookedW,0,0,0,0,NA,Yes
8/30/21,CrookedW,51.6,0,0,0,NA,Yes
9/13/21,CrookedW,147.1214286,0,0.3773585,0,NA,Yes
9/27/21,CrookedW,117.6357143,0,0,5.4945055,NA,Yes
10/11/21,CrookedW,0,0.8163265,0.7614213,0,NA,Yes
10/25/21,CrookedW,73.71428571,2.6717557,3.5242291,0,NA,Yes
11/8/21,CrookedW,58.66428571,0,1.3513514,NA,NA,Yes
6/14/21,Mill,20.64,0.1912046,0,NA,NA,Yes
6/28/21,Mill,0,0,0,NA,NA,Yes
7/12/21,Mill,20.64,0.8,0,NA,0,Yes
7/26/21,Mill,20.64,0,0,NA,0,Yes
8/9/21,Mill,20.64,0,0,NA,0,Yes
8/23/21,Mill,1543.241333,0,1.9607843,NA,0,Yes
9/7/21,Mill,0,0.3802281,1.7595308,NA,1.2345679,Yes
9/20/21,Mill,5203.502179,1.6317016,4.3343653,NA,1.2658228,Yes
10/4/21,Mill,58.66428571,3.2786885,6.6350711,NA,NA,Yes
10/18/21,Mill,58.66428571,0,0.4524887,NA,0.7246377,Yes
11/1/21,Mill,29.48571429,4.6052632,0.3424658,NA,NA,Yes
11/12/21,Mill,0,0,0,NA,NA,Yes
6/11/21,Cedar,2422.638429,0,NA,NA,NA,No
6/21/21,Cedar,29.48571429,0.4950495,NA,NA,NA,No
7/6/21,Cedar,88.45714286,0.3821656,NA,NA,NA,No
7/23/21,Cedar,92.57285714,0,NA,NA,NA,No
8/2/21,Cedar,269.8695357,0.5,NA,NA,NA,No
8/16/21,Cedar,299.3567857,0.4901961,NA,NA,NA,No
8/30/21,Cedar,644.3780357,0.3355705,NA,NA,NA,No
9/13/21,Cedar,14.74285714,0.3412969,NA,NA,NA,No
9/27/21,Cedar,142.16875,0.6472492,NA,NA,NA,No
10/11/21,Cedar,72.24,0.8333333,NA,NA,NA,No
10/25/21,Cedar,12.9,0.4,NA,NA,NA,No
11/8/21,Cedar,12.9,0,NA,NA,NA,No
6/9/21,Bishop,34.25666667,0,0,NA,NA,Yes
6/23/21,Bishop,12.9,0,0,NA,NA,Yes
7/7/21,Bishop,27.52,0,0,NA,NA,Yes
7/21/21,Bishop,6.45,0,0,NA,NA,Yes
8/4/21,Bishop,177.2047917,0,0.3389831,NA,NA,Yes
8/18/21,Bishop,242.1821429,0.462963,3.4090909,NA,NA,Yes
9/1/21,Bishop,527.4666667,1.1111111,4.1509434,NA,NA,Yes
9/15/21,Bishop,462.5155882,3.7037037,5.3097345,NA,NA,Yes
9/29/21,Bishop,211.5852941,1.7621145,14.0969163,NA,NA,Yes
10/13/21,Bishop,629.546875,0,4.4117647,NA,NA,Yes
10/27/21,Bishop,187.5558824,0.8298755,11.2449799,NA,NA,Yes
11/10/21,Bishop,133.0470588,2.8037383,16.4556962,NA,NA,Yes
6/14/21,Walsh,20.64,0.2375297,NA,NA,NA,No
6/28/21,Walsh,315.42048,0.3921569,NA,NA,NA,No
7/12/21,Walsh,41.28,0.3861004,NA,NA,NA,No
7/26/21,Walsh,571.1045,0.2169197,NA,NA,NA,No
8/9/21,Walsh,10626.59,0.3952569,NA,NA,NA,No
8/23/21,Walsh,9126.689083,0.3448276,NA,NA,NA,No
9/7/21,Walsh,122.98,1.4925373,NA,NA,NA,No
9/20/21,Walsh,14574.85,0.3389831,NA,NA,NA,No
10/4/21,Walsh,19767.1,0.8379888,NA,NA,NA,No
10/18/21,Walsh,450.6430714,0.3898635,NA,NA,NA,No
11/1/21,Walsh,338.1642857,0,NA,NA,NA,No
11/12/21,Walsh,73.40714286,0,NA,NA,NA,No
