datetime,Lake,Mean,Dent.PerInf,Dent.density,Cerio.PerInf,Cerio.density,Retro.PerInf,Retro.density,Parv.InfPrev,Parv.density
6/9/21,LilAp,73.272,0,27991.5,0,24730.4,NA,NA,NA,NA
6/23/21,LilAp,17.2,0.2145923,73874,0,34717.6,NA,NA,NA,NA
7/7/21,LilAp,0,0.122399,129517.3,0,14445.9,NA,NA,NA,NA
7/21/21,LilAp,0,0,157758,NA,1834.4,NA,NA,NA,NA
8/4/21,LilAp,51.6,0,99057.3,NA,305.7,NA,NA,NA,NA
8/18/21,LilAp,103.2,0.4273504,71541.4,0,3288.3,NA,NA,NA,NA
9/1/21,LilAp,354.8646667,0.877193,27882.8,0,6685.4,NA,NA,NA,NA
9/15/21,LilAp,396.2142857,1.5228426,71382.9,0,23806.4,NA,NA,NA,NA
9/29/21,LilAp,188.9496786,2.3584906,50411.9,0.9803922,18838.7,NA,NA,NA,NA
10/13/21,LilAp,264.45,0.2352941,86624.2,2.1551724,6304.9,NA,NA,NA,NA
10/27/21,LilAp,117.6357143,0.4048583,92586.6,1.4634146,20444.5,NA,NA,NA,NA
11/10/21,LilAp,44.22857143,0.4405286,46267.5,0.7246377,7500.6,NA,NA,NA,NA
6/11/21,CrookedW,82.94520833,NA,NA,NA,NA,0,12305.7,NA,NA
6/21/21,CrookedW,51.6,NA,NA,NA,NA,0,2880.7,NA,NA
7/6/21,CrookedW,752.8583333,NA,NA,NA,NA,0,3940.6,NA,NA
7/23/21,CrookedW,41.28,NA,NA,NA,NA,0,14063.7,NA,NA
8/2/21,CrookedW,34.4,NA,NA,NA,NA,0,31660.3,NA,NA
8/16/21,CrookedW,0,NA,NA,NA,NA,0,71496.1,NA,NA
8/30/21,CrookedW,51.6,NA,NA,NA,NA,0,181605.1,NA,NA
9/13/21,CrookedW,147.1214286,NA,NA,NA,NA,0.3773585,61477.9,NA,NA
9/27/21,CrookedW,117.6357143,NA,NA,NA,NA,0,22193.9,NA,NA
10/11/21,CrookedW,0,NA,NA,NA,NA,0.7614213,42829.7,NA,NA
10/25/21,CrookedW,73.71428571,NA,NA,NA,NA,3.5242291,15422.5,NA,NA
11/8/21,CrookedW,58.66428571,NA,NA,NA,NA,1.3513514,24132.5,NA,NA
6/14/21,Mill,20.64,NA,NA,NA,NA,0,20767.2,NA,NA
6/28/21,Mill,0,NA,NA,NA,NA,0,2853.5,NA,NA
7/12/21,Mill,20.64,NA,NA,NA,NA,0,1467.5,0,5299.4
7/26/21,Mill,20.64,NA,NA,NA,NA,0,23337.6,0,12127.4
8/9/21,Mill,20.64,NA,NA,NA,NA,0,9330.5,0,25477.7
8/23/21,Mill,1543.241333,NA,NA,NA,NA,1.9607843,31184.7,0,18276
9/7/21,Mill,0,NA,NA,NA,NA,1.7595308,9267.1,0.012345679,6603.8
9/20/21,Mill,5203.502179,NA,NA,NA,NA,4.3343653,8777.9,0.012658228,8587.7
10/4/21,Mill,58.66428571,NA,NA,NA,NA,6.6350711,13232.7,NA,452.9
10/18/21,Mill,58.66428571,NA,NA,NA,NA,0.4524887,20019.8,0.007246377,3750.3
11/1/21,Mill,29.48571429,NA,NA,NA,NA,0.3424658,7935.5,NA,NA
11/12/21,Mill,0,NA,NA,NA,NA,0,9593.2,NA,NA
6/9/21,Bishop,34.25666667,NA,NA,NA,NA,0,6341.1,NA,NA
6/23/21,Bishop,12.9,NA,NA,NA,NA,0,2554.6,NA,NA
7/7/21,Bishop,27.52,NA,NA,NA,NA,0,19999,NA,NA
7/21/21,Bishop,6.45,NA,NA,NA,NA,0,20789.8,NA,NA
8/4/21,Bishop,177.2047917,NA,NA,NA,NA,0.3389831,40084.9,NA,NA
8/18/21,Bishop,242.1821429,NA,NA,NA,NA,3.4090909,35872.6,NA,NA
9/1/21,Bishop,527.4666667,NA,NA,NA,NA,4.1509434,21005,NA,NA
9/15/21,Bishop,462.5155882,NA,NA,NA,NA,5.3097345,23031.8,NA,NA
9/29/21,Bishop,211.5852941,NA,NA,NA,NA,14.0969163,17992.9,NA,NA
10/13/21,Bishop,629.546875,NA,NA,NA,NA,4.4117647,28874.7,NA,NA
10/27/21,Bishop,187.5558824,NA,NA,NA,NA,11.2449799,50751.6,NA,NA
11/10/21,Bishop,133.0470588,NA,NA,NA,NA,16.4556962,93927.8,NA,NA
