Groups,CT (HaSumf1),CT (RPS15),CT_average (RPS15),Delta_CT=CT(HaSumf1)-CT_average (RPS15),Delta_CT(average),2 Delta_CT=Delta_CT-Delta_CT_average,2^(2 Delta_CT),Average,Treatment-Control,(Treatment-Control)/Control
Control-1,24.56299629,17.77984142,17.77909247,6.783903821,8.102939542,-1.319035721,2.494992919,2.590498931,n/a,n/a
Control-2,24.45657005,17.76966858,17.77909247,6.677477582,8.102939542,-1.42546196,2.686004943,n/a,n/a,n/a
Control-3,28.62652969,17.78776741,17.77909247,10.84743722,8.102939542,2.744497681,0.149218914,n/a,n/a,n/a
dsEGFP-1,24.38758393,17.67984142,17.7124258,6.675158129,8.102939542,-1.427781413,2.690326767,2.495163239,-0.095335692,-0.036802058
dsEGFP-2,24.48293947,17.76966858,17.7124258,6.77051367,8.102939542,-1.332425872,2.518257607,n/a,n/a,n/a
dsEGFP-3,24.62829103,17.68776741,17.7124258,6.915865226,8.102939542,-1.187074316,2.276905343,n/a,n/a,n/a
dsSumf1-1,28.95435495,20.89436309,20.95407285,8.000282101,8.102939542,-0.102657441,1.073749486,1.001681588,-1.588817343,-0.61332484
dsSumf1-2,29.0898571,20.92814064,20.95407285,8.135784255,8.102939542,0.032844713,0.977490975,n/a,n/a,n/a
dsSumf1-3,29.12524719,21.03971481,20.95407285,8.171174346,8.102939542,0.068234804,0.953804303,n/a,n/a,n/a
0.004%GLS-1,23.72139191,18.24375184,18.29243353,5.42895838,8.102939542,-2.673981162,6.381878587,6.855745237,4.265246306,1.646496069
0.004%GLS-2,23.51500107,18.37721062,18.29243353,5.222567541,8.102939542,-2.880372001,7.363399622,n/a,n/a,n/a
0.004%GLS-3,23.6251873,18.25633812,18.29243353,5.332753775,8.102939542,-2.770185767,6.821957501,n/a,n/a,n/a
0.004%GLS+dsEGFP-1,24.49390259,19.25018946,19.13129256,5.362610033,8.102939542,-2.740329509,6.682229392,6.965212504,0.109467267,0.015967231
0.004%GLS+dsEGFP-2,24.38134193,19.13981819,19.13129256,5.250049379,8.102939542,-2.852890163,7.224462039,n/a,n/a,n/a
0.004%GLS+dsEGFP-3,24.42915718,19.00387001,19.13129256,5.297864626,8.102939542,-2.805074916,6.988946081,n/a,n/a,n/a
0.004%GLS+dsSumf1-1,27.12205504,19.79957835,19.80956862,7.312486421,8.102939542,-0.790453121,1.729617615,1.824370826,-5.03137441,-0.733891683
0.004%GLS+dsSumf1-2,27.11213947,19.52871132,19.80956862,7.302570848,8.102939542,-0.800368694,1.741546138,n/a,n/a,n/a
0.004%GLS+dsSumf1-3,26.91110313,20.10041618,19.80956862,7.101534517,8.102939542,-1.001405025,2.001948727,n/a,n/a,n/a
0.04%GLS-1,27.60510258,21.23304653,21.21482309,6.39027949,8.102939542,-1.712660052,3.277646015,3.076818676,0.486319745,0.187732077
0.04%GLS-2,27.79342155,21.32279778,21.21482309,6.578598468,8.102939542,-1.524341075,2.876553045,n/a,n/a,n/a
0.04%GLS-3,27.69658661,21.08862495,21.21482309,6.481763522,8.102939542,-1.62117602,3.076256968,n/a,n/a,n/a
0.04%GLS+dsEGFP-1,27.43377247,20.82326317,20.91576831,6.518004163,8.102939542,-1.584935379,2.999943603,2.919874282,-0.156944394,-0.051008659
0.04%GLS+dsEGFP-2,27.57455139,20.83878708,20.91576831,6.658783086,8.102939542,-1.444156456,2.721036777,n/a,n/a,n/a
0.04%GLS+dsEGFP-3,27.41528091,21.08525467,20.91576831,6.499512609,8.102939542,-1.603426933,3.038642465,n/a,n/a,n/a
0.04%GLS+dsSumf1-1,30.45606082,21.896101,21.896101,8.559959819,8.102939542,0.457020276,0.728489318,0.781607262,-2.295211414,-0.745969021
0.04%GLS+dsSumf1-2,30.37129059,21.98085785,21.896101,8.47518959,8.102939542,0.372250048,0.772576635,n/a,n/a,n/a
0.04%GLS+dsSumf1-3,30.24414307,21.81134415,21.896101,8.348042068,8.102939542,0.245102526,0.843755832,n/a,n/a,n/a
