Groups,CT (HaSumf1),CT (RPS15),CT_average (RPS15),Delta_CT=CT(HaSumf1)-CT_average (RPS15),Delta_CT_average,2 Delta_CT=Delta_CT-Delta_CT_average,2^(2 Delta_CT),Average
First-instar-1,24.83218384,13.62588167,13.80867354,11.0235103,11.08595244,-0.062442144,1.044231905,1.000583351
First-instar-2,24.89916325,14.17400408,13.80867354,11.09048971,11.08595244,0.004537265,0.996859948,n/a
First-instar-3,24.95253086,13.62613487,13.80867354,11.14385732,11.08595244,0.057904879,0.960658201,n/a
Second-instar-1,26.20331039,13.44024324,13.51660077,12.68670963,11.08595244,1.600757186,0.32970389,0.326000619
Second-instar-2,26.17352445,13.55200243,13.51660077,12.65692368,11.08595244,1.570971241,0.336581727,n/a
Second-instar-3,26.28424799,13.55755663,13.51660077,12.76764722,11.08595244,1.681694781,0.311716239,n/a
Third-instar-1,25.4504425,14.24798632,14.15457122,11.29587129,11.08595244,0.209918849,0.864585863,0.895448072
Third-instar-2,25.38865292,14.10961723,14.15457122,11.2340817,11.08595244,0.14812926,0.902419871,n/a
Third-instar-3,25.36185562,14.1061101,14.15457122,11.20728441,11.08595244,0.121331965,0.919338481,n/a
Fourth-instar-1,24.81589661,14.9723444,15.11618439,9.699712213,11.08595244,-1.386240228,2.613965732,2.45464007
Fourth-instar-2,25.01895126,15.47481108,15.11618439,9.90276687,11.08595244,-1.183185571,2.270776271,n/a
Fourth-instar-3,24.89227486,14.90139771,15.11618439,9.776090463,11.08595244,-1.309861978,2.479178206,n/a
Fifth-instar-1,24.01445122,13.9957056,14.34939289,9.665058327,11.08595244,-1.420894114,2.677513992,2.767577763
Fifth-instar-2,23.9742918,14.03646612,14.34939289,9.624898911,11.08595244,-1.46105353,2.753093353,n/a
Fifth-instar-3,23.91322632,15.01600695,14.34939289,9.563833427,11.08595244,-1.522119013,2.872125944,n/a
Prepupa-1,27.52535152,16.02276516,16.09254615,11.43280538,11.08595244,0.346852938,0.78629744,0.961302346
Prepupa-2,27.21124813,16.2952733,16.09254615,11.11870199,11.08595244,0.032749545,0.977555458,n/a
Prepupa-3,27.01493011,15.95959997,16.09254615,10.92238397,11.08595244,-0.163568471,1.120054141,n/a
Pupa-1,27.37664337,15.64649868,16.21341631,11.16322706,11.08595244,0.077274619,0.947846524,0.827902081
Pupa-2,28.01695766,16.37672806,16.21341631,11.80354135,11.08595244,0.717588912,0.608112895,n/a
Pupa-3,27.40756569,16.6170222,16.21341631,11.19414938,11.08595244,0.108196937,0.927746825,n/a
Male adult-1,24.59104462,14.68656158,14.68656158,9.904483032,11.08595244,-1.181469409,2.268076668,2.281791411
Male adult-2,24.43614574,14.73740292,14.68656158,9.749584156,11.08595244,-1.336368285,2.525148592,n/a
Male adult-3,24.73537856,14.63572025,14.68656158,10.04881698,11.08595244,-1.037135465,2.052148973,n/a
Female adult-1,25.18353119,15.11690426,15.39457115,9.788960044,11.08595244,-1.296992397,2.457161012,2.56794089
Female adult-2,25.12454834,15.56154871,15.39457115,9.729977194,11.08595244,-1.355975246,2.559700908,n/a
Female adult-3,25.05454834,15.50526047,15.39457115,9.659977194,11.08595244,-1.425975246,2.686960749,n/a
