Groups,CT (HaSumf1),CT (RPS15),CT_average (RPS15),Delta_CT=CT(HaSumf1)-CT_average (RPS15),Delta_CT_average,2 Delta_CT=Delta_CT-Delta_CT_average,2^(2 Delta_CT),Average,Treatment-Control,(Treatment-Control)/Control
Control-1,29.06942348,19.8581562,19.74654452,9.322878965,9.365689532,-0.042810567,1.030118685,1.00150637,n/a,n/a
Control-2,29.22387123,19.69822502,19.74654452,9.477326711,9.365689532,0.111637179,0.925537161,n/a,n/a,n/a
Control-3,29.04340744,19.68325233,19.74654452,9.29686292,9.365689532,-0.068826612,1.048863264,n/a,n/a,n/a
dsEGFP-1,29.17923749,19.75473843,19.74353111,9.435706383,9.365689532,0.070016851,0.952626871,0.935072198,-0.066434172,-0.066334248
dsEGFP-2,29.29358392,19.88348291,19.74353111,9.550052813,9.365689532,0.184363281,0.880037386,n/a,n/a,n/a
dsEGFP-3,29.14937285,19.59237198,19.74353111,9.405841738,9.365689532,0.040152206,0.972552336,n/a,n/a,n/a
dsSumf1-1,32.74805479,20.34159692,20.47352865,12.27452614,9.365689532,2.908836608,0.133153605,0.163983796,-0.837522574,-0.836262852
dsSumf1-2,32.31974449,20.50214386,20.47352865,11.84621584,9.365689532,2.48052631,0.179179028,n/a,n/a,n/a
dsSumf1-3,32.31620827,20.57684517,20.47352865,11.84267962,9.365689532,2.476990085,0.179618756,n/a,n/a,n/a
0.004%GLS-1,29.02678802,20.78475602,20.79684268,8.229945344,9.365689532,-1.135744188,2.197318782,2.262844342,1.261337973,1.259440789
0.004%GLS-2,29.04206924,20.79143143,20.79684268,8.245226563,9.365689532,-1.120462969,2.174167315,n/a,n/a,n/a
0.004%GLS-3,28.88928673,20.81434059,20.79684268,8.092444047,9.365689532,-1.273245485,2.41704693,n/a,n/a,n/a
0.004%GLS+dsEGFP-1,31.01292642,22.69566377,22.61099063,8.401935789,9.365689532,-0.963753743,1.95037798,2.112176098,-0.150668245,-0.066583566
0.004%GLS+dsEGFP-2,30.93623734,22.57354736,22.61099063,8.325246705,9.365689532,-1.040442827,2.056858898,n/a,n/a,n/a
0.004%GLS+dsEGFP-3,30.75678902,22.56376076,22.61099063,8.145798386,9.365689532,-1.219891145,2.329291416,n/a,n/a,n/a
0.004%GLS+dsSumf1-1,32.01863022,22.087708,22.10252396,9.916106256,9.365689532,0.550416724,0.682822866,0.781180618,-1.481663724,-0.65477934
0.004%GLS+dsSumf1-2,31.73842896,22.1342907,22.10252396,9.635904992,9.365689532,0.27021546,0.8291957,n/a,n/a,n/a
0.004%GLS+dsSumf1-3,31.73438492,22.0855732,22.10252396,9.631860956,9.365689532,0.266171424,0.831523289,n/a,n/a,n/a
0.04%GLS-1,30.67694361,21.43455187,21.50722652,9.169717094,9.365689532,-0.195972438,1.145496014,1.067935088,0.066428718,0.066328803
0.04%GLS-2,30.81140022,21.60069466,21.50722652,9.304173703,9.365689532,-0.061515829,1.043561648,n/a,n/a,n/a
0.04%GLS-3,30.85179512,21.48643303,21.50722652,9.3445686,9.365689532,-0.021120932,1.014747603,n/a,n/a,n/a
0.04%GLS+dsEGFP-1,30.68167992,21.011645,21.32464812,9.357031801,9.365689532,-0.008657731,1.006019124,0.981092971,-0.086842118,-0.081317787
0.04%GLS+dsEGFP-2,30.9920826,21.36590385,21.32464812,9.66743448,9.365689532,0.301744948,0.811270566,n/a,n/a,n/a
0.04%GLS+dsEGFP-3,30.51914463,21.59639549,21.32464812,9.194496515,9.365689532,-0.171193017,1.125989221,n/a,n/a,n/a
0.04%GLS+dsSumf1-1,33.81525283,21.34660721,21.47945595,12.33579688,9.365689532,2.970107346,0.12761702,0.118254362,-0.949680726,-0.889268212
0.04%GLS+dsSumf1-2,34.01197975,21.58052254,21.47945595,12.5325238,9.365689532,3.166834272,0.111349403,n/a,n/a,n/a
0.04%GLS+dsSumf1-3,33.95547989,21.5112381,21.47945595,12.47602394,9.365689532,3.110334409,0.115796664,n/a,n/a,n/a
