Treatment,Groups,Number,First_instar,Second_instar,Third_instar,Fourth_instar,Fifth_instar
Control,A,1,2,2,2,4,2
Control,A,2,2,2,3,4,3
Control,A,3,2,2,2,5,2
Control,A,4,2,2,2,n/a,n/a
Control,A,5,2,2,3,1,2
Control,A,6,2,2,3,3,3
Control,A,7,2,2,2,4,2
Control,A,8,2,4,n/a,n/a,n/a
Control,A,9,2,2,2,2,2
Control,A,10,2,2,3,n/a,n/a
Control,A,11,2,3,2,4,2
Control,A,12,2,2,3,3,2
Control,A,13,2,2,3,4,3
Control,A,14,2,2,3,5,2
Control,A,15,2,2,2,4,3
Control,A,16,2,2,3,3,2
Control,A,17,2,2,2,4,2
Control,A,18,2,2,2,3,2
Control,B,1,2,2,2,3,2
Control,B,2,2,n/a,n/a,n/a,n/a
Control,B,3,2,2,1,3,2
Control,B,4,2,2,2,2,2
Control,B,5,2,2,3,3,2
Control,B,6,2,3,3,4,2
Control,B,7,2,1,2,5,2
Control,B,8,2,3,n/a,n/a,n/a
Control,B,9,2,2,3,4,3
Control,B,10,2,n/a,n/a,n/a,n/a
Control,B,11,2,2,n/a,n/a,n/a
Control,B,12,2,2,3,4,3
Control,B,13,2,2,3,2,2
Control,B,14,2,3,3,5,2
Control,B,15,2,2,3,3,4
Control,B,16,2,2,2,n/a,n/a
Control,B,17,2,2,3,3,2
Control,B,18,2,2,2,3,1
Control,C,1,2,2,2,3,2
Control,C,2,2,2,3,3,3
Control,C,3,2,2,3,3,3
Control,C,4,2,2,2,3,2
Control,C,5,2,2,n/a,n/a,n/a
Control,C,6,2,2,3,3,2
Control,C,7,2,2,2,4,2
Control,C,8,2,3,2,3,3
Control,C,9,2,2,3,3,2
Control,C,10,2,2,3,2,2
Control,C,11,2,2,2,n/a,n/a
Control,C,12,2,2,2,3,2
Control,C,13,2,2,2,3,4
Control,C,14,2,2,2,4,1
Control,C,15,2,2,2,3,2
Control,C,16,2,2,n/a,n/a,n/a
Control,C,17,2,2,2,5,2
Control,C,18,2,2,2,4,3
Control,C,19,2,2,2,3,2
dsEGFP,A,1,2,2,3,4,3
dsEGFP,A,2,2,2,2,4,2
dsEGFP,A,3,2,3,n/a,n/a,n/a
dsEGFP,A,4,2,2,2,2,2
dsEGFP,A,5,2,2,2,3,3
dsEGFP,A,6,2,2,3,3,1
dsEGFP,A,7,2,2,n/a,n/a,n/a
dsEGFP,A,8,2,2,2,3,2
dsEGFP,A,9,2,n/a,n/a,n/a,n/a
dsEGFP,A,10,2,2,2,3,2
dsEGFP,A,11,2,2,2,2,4
dsEGFP,A,12,2,2,2,4,2
dsEGFP,A,13,2,2,n/a,n/a,n/a
dsEGFP,A,14,2,3,2,2,3
dsEGFP,A,15,2,2,2,5,2
dsEGFP,A,16,2,2,2,5,2
dsEGFP,A,17,2,2,4,3,2
dsEGFP,A,18,2,2,2,3,2
dsEGFP,B,1,2,2,2,4,2
dsEGFP,B,2,2,2,2,3,2
dsEGFP,B,3,2,2,2,4,2
dsEGFP,B,4,2,2,3,5,3
dsEGFP,B,5,2,2,2,2,3
dsEGFP,B,6,2,3,n/a,n/a,n/a
dsEGFP,B,7,2,2,2,2,4
dsEGFP,B,8,2,2,2,2,2
dsEGFP,B,9,2,3,3,5,2
dsEGFP,B,10,2,2,4,3,2
dsEGFP,B,11,2,2,2,4,1
dsEGFP,B,12,2,n/a,n/a,n/a,n/a
dsEGFP,B,13,2,2,1,5,2
dsEGFP,B,14,2,2,2,3,2
dsEGFP,B,15,2,n/a,n/a,n/a,n/a
dsEGFP,B,16,2,2,3,3,2
dsEGFP,B,17,2,2,3,5,2
dsEGFP,B,18,2,2,4,2,4
dsEGFP,C,1,2,2,2,3,3
dsEGFP,C,2,2,2,2,5,2
dsEGFP,C,3,2,2,3,3,2
dsEGFP,C,4,2,3,2,4,1
dsEGFP,C,5,2,2,2,3,3
dsEGFP,C,6,2,n/a,n/a,n/a,n/a
dsEGFP,C,7,2,2,3,6,3
dsEGFP,C,8,2,2,4,2,2
dsEGFP,C,9,2,2,4,3,3
dsEGFP,C,10,2,2,2,4,2
dsEGFP,C,11,2,3,n/a,n/a,n/a
dsEGFP,C,12,2,2,2,4,2
dsEGFP,C,13,2,2,3,4,1
dsEGFP,C,14,2,2,n/a,n/a,n/a
dsEGFP,C,15,2,2,2,4,3
dsEGFP,C,16,2,2,2,4,4
dsEGFP,C,17,2,n/a,n/a,n/a,n/a
dsEGFP,C,18,2,2,2,3,2
dsEGFP,C,19,2,2,3,3,2
dsSumf1,A,1,2,4,3,3,2
dsSumf1,A,2,2,5,4,2,2
dsSumf1,A,3,2,n/a,n/a,n/a,n/a
dsSumf1,A,4,2,3,3,2,3
dsSumf1,A,5,2,4,2,2,3
dsSumf1,A,6,2,n/a,n/a,n/a,n/a
dsSumf1,A,7,2,4,4,3,3
dsSumf1,A,8,2,6,n/a,n/a,n/a
dsSumf1,A,9,2,6,3,n/a,n/a
