Treatment,Groups,Initial number of larvae,Number of surviving larvae
Control,A,18,15
Control,B,18,13
Control,C,19,16
dsEGFP,A,18,14
dsEGFP,B,18,15
dsEGFP,C,19,15
dsSumf1,A,18,10
dsSumf1,B,18,11
dsSumf1,C,19,11
0.004%GLS,A,18,6
0.004%GLS,B,18,6
0.004%GLS,C,19,7
0.004%GLS+dsEGFP,A,18,6
0.004%GLS+dsEGFP,B,18,6
0.004%GLS+dsEGFP,C,19,8
0.004%GLS+dsSumf1,A,18,5
0.004%GLS+dsSumf1,B,18,3
0.004%GLS+dsSumf1,C,19,6
0.04%GLS,A,18,9
0.04%GLS,B,18,8
0.04%GLS,C,19,9
0.04%GLS+dsEGFP,A,18,10
0.04%GLS+dsEGFP,B,18,8
0.04%GLS+dsEGFP,C,19,8
0.04%GLS+dsSumf1,A,18,6
0.04%GLS+dsSumf1,B,18,5
0.04%GLS+dsSumf1,C,19,6
