Treatment,Groups,Number of surviving larvae,Number of surviving pupa
Control,A,15,10
Control,B,13,8
Control,C,16,11
dsEGFP,A,14,8
dsEGFP,B,15,10
dsEGFP,C,15,10
dsSumf1,A,10,4
dsSumf1,B,11,3
dsSumf1,C,11,5
0.004%GLS,A,6,1
0.004%GLS,B,6,1
0.004%GLS,C,7,2
0.004%GLS+dsEGFP,A,6,1
0.004%GLS+dsEGFP,B,6,1
0.004%GLS+dsEGFP,C,8,2
0.004%GLS+dsSumf1,A,5,1
0.004%GLS+dsSumf1,B,3,0
0.004%GLS+dsSumf1,C,6,1
0.04%GLS,A,9,2
0.04%GLS,B,8,2
0.04%GLS,C,9,2
0.04%GLS+dsEGFP,A,10,3
0.04%GLS+dsEGFP,B,8,2
0.04%GLS+dsEGFP,C,8,2
0.04%GLS+dsSumf1,A,6,1
0.04%GLS+dsSumf1,B,5,1
0.04%GLS+dsSumf1,C,6,1
