Treatment,Groups,Number,Body weight (mg)
Control,A,1,157
Control,A,2,190
Control,A,3,189
Control,A,4,n/a
Control,A,5,231
Control,A,6,219
Control,A,7,244
Control,A,8,n/a
Control,A,9,205
Control,A,10,n/a
Control,A,11,189
Control,A,12,197
Control,A,13,198
Control,A,14,165
Control,A,15,192
Control,A,16,207
Control,A,17,232
Control,A,18,193
Control,B,1,135
Control,B,2,n/a
Control,B,3,164
Control,B,4,173
Control,B,5,201
Control,B,6,179
Control,B,7,195
Control,B,8,n/a
Control,B,9,199
Control,B,10,n/a
Control,B,11,n/a
Control,B,12,188
Control,B,13,184
Control,B,14,213
Control,B,15,175
Control,B,16,n/a
Control,B,17,205
Control,B,18,180
Control,C,1,143
Control,C,2,165
Control,C,3,192
Control,C,4,179
Control,C,5,n/a
Control,C,6,183
Control,C,7,194
Control,C,8,174
Control,C,9,167
Control,C,10,182
Control,C,11,n/a
Control,C,12,160
Control,C,13,168
Control,C,14,199
Control,C,15,184
Control,C,16,n/a
Control,C,17,179
Control,C,18,184
Control,C,19,185
dsEGFP,A,1,216
dsEGFP,A,2,205
dsEGFP,A,3,n/a
dsEGFP,A,4,154
dsEGFP,A,5,169
dsEGFP,A,6,199
dsEGFP,A,7,n/a
dsEGFP,A,8,209
dsEGFP,A,9,n/a
dsEGFP,A,10,231
dsEGFP,A,11,202
dsEGFP,A,12,193
dsEGFP,A,13,n/a
dsEGFP,A,14,188
dsEGFP,A,15,220
dsEGFP,A,16,213
dsEGFP,A,17,192
dsEGFP,A,18,177
dsEGFP,B,1,169
dsEGFP,B,2,173
dsEGFP,B,3,225
dsEGFP,B,4,232
dsEGFP,B,5,216
dsEGFP,B,6,n/a
dsEGFP,B,7,153
dsEGFP,B,8,190
dsEGFP,B,9,162
dsEGFP,B,10,196
dsEGFP,B,11,201
dsEGFP,B,12,n/a
dsEGFP,B,13,177
dsEGFP,B,14,193
dsEGFP,B,15,n/a
dsEGFP,B,16,182
dsEGFP,B,17,196
dsEGFP,B,18,191
dsEGFP,C,1,169
dsEGFP,C,2,216
dsEGFP,C,3,208
dsEGFP,C,4,175
dsEGFP,C,5,184
dsEGFP,C,6,n/a
dsEGFP,C,7,177
dsEGFP,C,8,162
dsEGFP,C,9,188
dsEGFP,C,10,172
dsEGFP,C,11,n/a
dsEGFP,C,12,161
dsEGFP,C,13,154
dsEGFP,C,14,n/a
dsEGFP,C,15,199
dsEGFP,C,16,173
dsEGFP,C,17,n/a
dsEGFP,C,18,224
dsEGFP,C,19,184
dsSumf1,A,1,178
dsSumf1,A,2,192
dsSumf1,A,3,n/a
dsSumf1,A,4,168
dsSumf1,A,5,225
dsSumf1,A,6,n/a
dsSumf1,A,7,212
dsSumf1,A,8,n/a
dsSumf1,A,9,n/a
dsSumf1,A,10,164
dsSumf1,A,11,n/a
dsSumf1,A,12,171
dsSumf1,A,13,192
dsSumf1,A,14,n/a
dsSumf1,A,15,183
dsSumf1,A,16,n/a
dsSumf1,A,17,n/a
dsSumf1,A,18,206
dsSumf1,B,1,154
dsSumf1,B,2,n/a
dsSumf1,B,3,191
dsSumf1,B,4,214
dsSumf1,B,5,n/a
dsSumf1,B,6,221
dsSumf1,B,7,193
dsSumf1,B,8,n/a
dsSumf1,B,9,153
dsSumf1,B,10,173
dsSumf1,B,11,n/a
dsSumf1,B,12,163
dsSumf1,B,13,n/a
dsSumf1,B,14,n/a
dsSumf1,B,15,158
dsSumf1,B,16,n/a
dsSumf1,B,17,163
dsSumf1,B,18,167
dsSumf1,C,1,169
dsSumf1,C,2,148
dsSumf1,C,3,n/a
dsSumf1,C,4,n/a
dsSumf1,C,5,197
dsSumf1,C,6,182
dsSumf1,C,7,n/a
dsSumf1,C,8,155
dsSumf1,C,9,164
dsSumf1,C,10,n/a
dsSumf1,C,11,n/a
dsSumf1,C,12,178
dsSumf1,C,13,167
dsSumf1,C,14,n/a
dsSumf1,C,15,153
dsSumf1,C,16,172
dsSumf1,C,17,n/a
dsSumf1,C,18,179
dsSumf1,C,19,n/a
0.004%GLS,A,1,n/a
0.004%GLS,A,2,254
0.004%GLS,A,3,n/a
0.004%GLS,A,4,n/a
0.004%GLS,A,5,247
0.004%GLS,A,6,n/a
0.004%GLS,A,7,197
0.004%GLS,A,8,n/a
0.004%GLS,A,9,n/a
