Treatment,Groups,Number,Pupa weight (mg)
Control,A,1,n/a
Control,A,2,253
Control,A,3,245
Control,A,4,n/a
Control,A,5,313
Control,A,6,265
Control,A,7,278
Control,A,8,n/a
Control,A,9,n/a
Control,A,10,n/a
Control,A,11,213
Control,A,12,234
Control,A,13,257
Control,A,14,n/a
Control,A,15,n/a
Control,A,16,289
Control,A,17,322
Control,A,18,n/a
Control,B,1,n/a
Control,B,2,n/a
Control,B,3,235
Control,B,4,256
Control,B,5,278
Control,B,6,n/a
Control,B,7,313
Control,B,8,n/a
Control,B,9,289
Control,B,10,n/a
Control,B,11,n/a
Control,B,12,317
Control,B,13,n/a
Control,B,14,326
Control,B,15,n/a
Control,B,16,n/a
Control,B,17,341
Control,B,18,n/a
Control,C,1,n/a
Control,C,2,245
Control,C,3,299
Control,C,4,312
Control,C,5,n/a
Control,C,6,n/a
Control,C,7,321
Control,C,8,289
Control,C,9,248
Control,C,10,314
Control,C,11,n/a
Control,C,12,n/a
Control,C,13,278
Control,C,14,298
Control,C,15,263
Control,C,16,n/a
Control,C,17,254
Control,C,18,n/a
Control,C,19,n/a
dsEGFP,A,1,264
dsEGFP,A,2,288
dsEGFP,A,3,n/a
dsEGFP,A,4,n/a
dsEGFP,A,5,236
dsEGFP,A,6,n/a
dsEGFP,A,7,n/a
dsEGFP,A,8,320
dsEGFP,A,9,n/a
dsEGFP,A,10,347
dsEGFP,A,11,309
dsEGFP,A,12,n/a
dsEGFP,A,13,n/a
dsEGFP,A,14,248
dsEGFP,A,15,n/a
dsEGFP,A,16,298
dsEGFP,A,17,n/a
dsEGFP,A,18,n/a
dsEGFP,B,1,n/a
dsEGFP,B,2,n/a
dsEGFP,B,3,294
dsEGFP,B,4,n/a
dsEGFP,B,5,298
dsEGFP,B,6,n/a
dsEGFP,B,7,n/a
dsEGFP,B,8,252
dsEGFP,B,9,223
dsEGFP,B,10,289
dsEGFP,B,11,328
dsEGFP,B,12,n/a
dsEGFP,B,13,n/a
dsEGFP,B,14,283
dsEGFP,B,15,n/a
dsEGFP,B,16,226
dsEGFP,B,17,284
dsEGFP,B,18,312
dsEGFP,C,1,n/a
dsEGFP,C,2,285
dsEGFP,C,3,264
dsEGFP,C,4,n/a
dsEGFP,C,5,295
dsEGFP,C,6,n/a
dsEGFP,C,7,289
dsEGFP,C,8,n/a
dsEGFP,C,9,280
dsEGFP,C,10,n/a
dsEGFP,C,11,n/a
dsEGFP,C,12,247
dsEGFP,C,13,n/a
dsEGFP,C,14,n/a
dsEGFP,C,15,314
dsEGFP,C,16,225
dsEGFP,C,17,n/a
dsEGFP,C,18,342
dsEGFP,C,19,263
dsSumf1,A,1,n/a
dsSumf1,A,2,n/a
dsSumf1,A,3,n/a
dsSumf1,A,4,n/a
dsSumf1,A,5,317
dsSumf1,A,6,n/a
dsSumf1,A,7,282
dsSumf1,A,8,n/a
dsSumf1,A,9,n/a
dsSumf1,A,10,n/a
dsSumf1,A,11,n/a
dsSumf1,A,12,n/a
