Types,Litter_mass_loss,BG,NAP,AP,Vector_length,Vector_angle,Litter_C_loss,Litter_lignin_loss,Litter_cellulose_loss,Litter_hemicellulose_loss,Litter_N_loss,Litter_P_loss,ST,SM,C,Lignin,Cellulose,Hemicellulose,N,P,C:N,N:P,Lignin:N,Bacteria,Fungi,Total PLFAs
Leaf,13.6,186.76,127.55,30.69,1.04,34.68,23.82,23.61,23.59,23.6,29.38,21.26,5,0.166,45.02,15.52,35.16,23.68,4.38,538.05,10.27,81.49,3.54,24.59042833,46.37739856,75.41659908
Leaf,14.5,130.32,136.27,34.49,0.93,31.72,28.77,32.74,32.59,31.26,23.46,15.63,5.2,0.166,45.74,15.74,35.44,22.49,4.13,587.65,11.08,70.23,3.81,44.67111659,25.84006505,131.350486
Leaf,18,168.75,129.22,38.29,0.99,34.79,29.15,24.92,25.76,25.37,21.77,14.08,5.9,0.168,45.51,15.7,34.7,24.36,4.07,331.82,11.18,122.63,3.86,30.60816157,26.79517377,106.6188087
Leaf,40.6,107.22,70.41,26.92,1,37.06,37.02,38.36,38.6,43.55,40.45,35.1,16.033,0.121,47.88,16.24,36.28,22.34,3.98,653.37,12.04,60.87,4.08,61.45279512,15.77818376,175.9207064
Leaf,43.2,151.55,71.41,24.87,1.1,38.35,35.3,41.36,40.98,42.98,38.28,34.61,16.4,0.127,47.69,16.16,36.47,23.6,3.65,658.85,13.06,55.44,4.42,25.49749928,40.24611562,81.95791948
Leaf,37.6,149.38,74.41,25.9,1.08,38.07,36.87,32.6,34.98,39.53,39.01,37.42,18.333,0.122,49.98,16.44,36.44,22.91,3.93,541.84,12.35,72.52,4.18,53.42888498,35.68265233,171.2359932
Leaf,61,110.13,63,44.76,0.95,41.82,67.94,62.01,62.97,61,34.64,29.08,3.3,0.182033097,46.72,16.24,35.54,24.87,3.27,368.84,11.37,88.52,4.97,12.17524249,4.605488262,49.71000866
Leaf,65.2,108.04,57.49,47.92,0.95,43.3,66.84,63.21,64.27,61.34,44.83,19.76,3.4,0.189990699,41.92,16.55,36.04,26.11,5.59,440.58,8.35,126.95,2.96,48.1063392,14.37450492,126.1838975
Leaf,64.8,119.41,53.77,41.61,1.01,42.92,64.65,59.53,60.5,58.73,40.83,24.04,2.7,0.187648456,41.92,16.37,35.78,25.25,4.95,422.07,8.46,117.34,3.31,26.57457994,43.31175709,88.94549077
Leaf,73,65.09,13.63,8.51,1.21,43.08,75.66,70.52,69.19,67.73,70.34,54.17,1.966666667,0.2027391,48.53,17.09,40.04,28.1,4.1,128.19,11.85,373.35,4.17,49.05000079,30.76135869,151.2932396
