Species,Protocol,RunID,Elapsed,A,Ci,Tleaf,CO2_r,PAR,VPDleaf
Tobacco,Monotonic,Monotonic_1,0,16.42685431,294.0832541,24.98945806,400.0002903,1000.004387,1.496216771
Tobacco,Monotonic,Monotonic_1,120.5,-0.424617628,50.61136982,24.99843333,49.98313,999.9757,1.496486291
Tobacco,Monotonic,Monotonic_1,241.0999999,2.301346137,84.13525759,24.98644194,100.0116677,999.9988065,1.493240411
Tobacco,Monotonic,Monotonic_1,361.5999999,5.189550361,117.0834612,24.9841,150.0063333,1000.005433,1.49424166
Tobacco,Monotonic,Monotonic_1,482.0999999,7.931092518,151.0326852,25.00187,199.9819333,999.9875,1.497173385
Tobacco,Monotonic,Monotonic_1,602.5999999,10.49416575,186.3590986,25.00990333,250.0396667,1000.0147,1.498969783
Tobacco,Monotonic,Monotonic_1,723.0999999,12.79329715,222.8908545,24.99573,300.0178333,1000.004267,1.498644615
Tobacco,Monotonic,Monotonic_1,843.5999999,14.90047957,260.6964133,24.98588,350.0028667,1000.010633,1.494902728
Tobacco,Monotonic,Monotonic_1,964.0999999,17.35652371,315.5730525,24.99566667,420.0054333,999.9838,1.500619482
Tobacco,Monotonic,Monotonic_1,1084.6,19.24817095,381.1532549,25.00483,500.0123,999.9984333,1.508402893
Tobacco,Monotonic,Monotonic_1,1209.1,20.8874587,465.1667243,25.00924333,599.9542,999.9652,1.513621947
Tobacco,Monotonic,Monotonic_1,1329.6,22.00972114,548.5699295,25.01111667,699.9752333,999.9808333,1.517294632
Tobacco,Monotonic,Monotonic_1,1450.1,22.45438391,631.6292212,25.00432667,799.9841667,999.9936333,1.518087871
Tobacco,Monotonic,Monotonic_1,1570.6,23.30144249,803.8815509,25.02029333,999.9611,1000.0061,1.520577165
Tobacco,Monotonic,Monotonic_1,1700.1,23.09563526,1027.00906,25.00234667,1249.985333,1000.000067,1.515012204
Tobacco,Monotonic,Monotonic_1,1823.1,23.49002293,1247.043402,24.99761613,1499.969032,1000.004032,1.515063586
Tobacco,Monotonic,Monotonic_1,1945.1,23.80985796,1469.750949,24.99003548,1749.957742,1000.006774,1.508313593
Tobacco,SplitUpDown,SplitUpDown_1,0,17.23433951,280.0161077,999.9,400.0090333,999.9994667,1.488016787
