Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
COX1,604065.5988437559,0.9108821832544263,0.7481644345327243,1.2174892860595938,0.22341811036226947,0.5579673693205299
LOC112444681,461990.541372446,2.115235602642869,1.0231422217486505,2.0673915685228237,0.038697272091667775,0.20152816520290912
COX3,334580.06469384977,1.0725259798618032,0.5787416997380507,1.853203217164494,0.06385323673765592,0.275871852101004
ACTA1,468136.8937931564,16.260383229779695,1.0793265819063984,15.065304146460678,2.7390222897933415e-51,1.5967586942065252e-47
RN18S1,363454.91762206843,2.4178766573847357,0.9917690226692543,2.4379433135320614,0.01477109012225825,0.1053125133094882
SPARC,185917.1008579781,-2.1893070632507086,0.5895019141480244,-3.7138251983707242,2.04149832762057e-4,0.004391606919035197
ALDOA,272399.23760600033,3.445421759264115,0.8978979282822466,3.837208719097385,1.2444070195344467e-4,0.0028940737187018533
ATP6,175980.48312429042,1.1474250958401562,0.9835358053503975,1.1666327647638317,0.24335870569924342,0.5812373352094699
CYTB,158420.63424773514,0.7758316021964056,0.7853940657585672,0.9878246297253013,0.3232385429612813,0.6701134167512188
DES,213248.02218687432,7.709471019446117,0.9006794621104586,8.559616760197242,1.1324332688131942e-17,2.2985996961979156e-15
EEF1A1,122043.84126365987,0.2888350287742871,0.6242534200775919,0.462688740637394,0.6435874899983491,0.8841870866128144
TPM2,189312.78940404637,7.313359579545753,0.656422334150194,11.141241239169057,7.90104023742979e-29,6.007882291843896e-26
ND4,132497.9439222083,0.7221834497747116,0.7493230031861268,0.9637812354671916,0.33515561629325435,0.6813363446882162
MYH2,186125.4855147308,21.64704005753521,2.200373570706202,9.837893140385098,7.731287617873548e-23,2.4145087348034016e-20
SCD,119003.36675882869,-3.929252226808156,1.3568492153985132,-2.895865054286165,0.003781149587030289,0.0408452903814532
ACTB,110550.79970412674,0.060776161570180655,0.5208446900775505,0.11668768584572008,0.9071075488797808,0.9783649308618811
VIM,109229.6025726982,-0.48003644493693837,0.6142502180046545,-0.7814998364938324,0.43450857284558947,0.7627488065565408
FABP4,103439.15413696582,-3.4757573201799525,0.9287224035920595,-3.7425147780828985,1.8218781480943875e-4,0.00402308420858873
COL3A1,103748.31301417355,-1.296667853150845,0.7366970289905496,-1.7601100617001115,0.07838914712139992,0.3110135648834309
MYH1,204579.5393911574,18.04067877093993,2.535484026992871,7.1152799934364,1.1168586960361982e-12,1.337859022943635e-10
TMSB4X,95277.83303291457,-0.4368614277349538,0.6762662715746943,-0.6459902646301088,0.5182856602626145,0.8176196061457164
GSN,96158.83766601875,-1.2657605232975355,0.7495327406209749,-1.6887327993822856,0.09127064705908315,0.33916602997823064
TPT1,101340.02678650379,1.1267768098557094,0.5386860757203913,2.0917132642585154,0.03646417324130741,0.19454604204308273
TTN,144661.15170794318,13.09343440086718,0.9587555788906097,13.656696961302469,1.841489674276636e-42,4.600830416203442e-39
MYH7,149643.63598126255,14.542020629528674,1.4520764479767234,10.014638450882567,1.314416178128287e-23,5.10840545317458e-21
ND1,87038.1048078047,0.7179890147651237,1.0545218843452944,0.6808668700231774,0.4959557329190618,0.8040947263392484
COX2,87268.43147609585,1.264072250214363,0.9286675550844358,1.3611676679061238,0.1734607091980612,0.4866407202736083
FLNA,83691.88517778963,2.899771361180502,0.740314219143207,3.9169467318033067,8.967755437309826e-5,0.002223533462787992
ND3,80533.2883374341,0.8787811975654997,1.0552228702790576,0.8327920312541205,0.40496202972670536,0.7402671488688456
ACTG1,73605.49514887689,-0.3241188022200969,0.470128349591926,-0.689426201379759,0.4905550996724194,0.8010567822755316
CKM,123916.92101213784,14.91223324423328,0.9481065626202627,15.72843584482808,9.65672219332315e-56,8.44432072195143e-52
COL4A2,72100.57912576222,-1.9553138593938904,0.8647143679150421,-2.2612251304537123,0.023745319693101778,0.14479842960692366
FN1,68055.98061514251,-0.607730388205011,1.0833264144817323,-0.5609854796125798,NA,NA
COL1A1,71945.21889542553,-0.9576937264614859,1.0098158655784664,-0.9483845115791257,0.3429337414015969,0.6884745250656297
GAPDH,105830.11359199138,3.991503230544338,0.6644168650439116,6.007528466756391,1.8837274053046812e-9,1.4018939826116413e-7
RPLP1,74946.77339547238,1.6765452363659945,0.552311215135317,3.0355082251140577,0.0024013067372406563,0.029327132351677263
IGFN1,140047.49995135254,17.147200249692215,2.3915000746516024,7.17006051199486,7.496462402703748e-13,9.168225941320689e-11
TAGLN,69171.35924727777,3.9991503951713687,0.8801034787343626,4.5439547641856475,5.520851045839081e-6,2.0413142482173297e-4
COL4A1,66309.83118625007,-1.9745821293905506,0.7716066685978519,-2.559052701007265,0.010495782865745599,0.08395052584716167
PLIN4,66449.63966331565,-2.8529827541591195,0.8435937427008154,-3.3819392081135238,7.19760709846241e-4,0.011612449312270212
RYR1,135496.86043610732,10.9229514858034,0.9707185450086776,11.252439280127028,2.2527437356424632e-29,1.790828872393229e-26
TNNC2,109006.31556974845,14.4218899596579,0.7989510226238535,18.051031353955388,7.743124960510394e-73,1.3541951243436628e-68
MIR2887-1,93321.9654354037,2.238342802522036,1.207576558808206,1.8535825212863728,0.06379891011398423,0.27570524808091673
TPM1,88023.70311263476,4.279517242842365,0.47923865086841605,8.929824911007412,4.2668355906101793e-19,1.0510237696363582e-16
MB,92653.6464635599,12.249124411862875,0.9407148484023488,13.021081183810399,9.284687378773041e-39,1.804221084081797e-35
CAVIN1,61104.601908826604,-0.6787865446305628,0.7329548507397353,-0.9260959852376949,0.35439610022536805,0.698921222016403
ADIPOQ,57055.444818443706,-3.0000368463520917,0.8235388780301574,-3.6428600110877007,2.696254894829447e-4,0.0053768303142157576
CLU,57463.56225349737,-1.1959240475668726,0.6218128871688505,-1.9232860435105854,0.05444413636592415,0.2500455622120923
TMSB10,54429.293821203275,-1.6990899063163771,0.5935213130108817,-2.8627277050878637,0.004200113438641146,0.043985499358320364
ATP2A1,104935.24889156176,12.648003923589638,0.8690779270448963,14.553359980728455,5.56034912204821e-48,2.4311236448875284e-44
FTH1,62527.53908428138,0.4171557732633753,0.48078420652775516,0.8676569812392398,0.3855821426116985,0.7231577578698118
FASN,57871.66087076928,-3.4725734158498898,1.0837565666684947,-3.2042005766338293,0.001354380856593059,0.01890404373579889
PLIN1,53262.27535017258,-3.7345967214219167,0.9093871446350791,-4.106718182079145,4.013203771682662e-5,0.0011392516559429876
EEF2,58975.063919381006,1.0902856868102961,0.46247525931224753,2.3575005686394404,0.018398427127331553,0.12200225189507245
ACTA2,52584.92593873944,4.428581003491623,0.8547641699047783,5.181055967735489,2.2063327325868135e-7,1.1348986223591407e-5
RPS2,53120.132634602625,1.2432249937969484,0.4851915836784309,2.5623383331828715,0.010396997967937109,0.0834511614479309
DGAT2,49686.23724644534,-4.25985784901062,1.0270273868120445,-4.14775487363923,3.357515991646107e-5,9.819330631755648e-4
TNNT3,80401.20356781453,8.529306436130598,0.9926065641014846,8.592837025867741,8.484784358746605e-18,1.7457693370602279e-15
MYLPF,82186.45375865749,19.74651159573352,1.375361230324172,14.35732748630647,9.585269952559102e-47,2.793946436671769e-43
HSPB1,56046.44634186711,0.808606824087704,0.5888958673251435,1.3730896563436958,0.16972447626184184,0.48155602941975206
GNAS,51202.59083656728,0.01531409762837848,0.3584413153551532,0.042724141923217926,0.9659214346657905,0.9931829094005393
TNS1,49882.22818234373,-0.3834580466735203,0.7830902538111961,-0.48967286313075786,0.6243654075276059,0.8756413492791508
AHNAK,49191.30149974736,0.15548089368084514,0.5163733874751815,0.30110167845998465,0.7633369611609476,0.9351359003743215
RPS3A,44731.006007182485,0.9372853831958291,0.6985260066308644,1.341804563178042,0.17965937227306264,0.49681591238492423
FHL1,60851.55567537665,2.249063825445446,0.7249337875628639,3.1024403387328867,0.0019193223099021736,0.024994063944809464
RPL4,46076.48112517615,0.8007378650436195,0.5233339077158019,1.530070674263405,0.12599923618577502,0.4070871366861309
MCAM,43380.31033772198,-1.809773531598126,0.871814475451777,-2.0758700188595696,0.03790597427577749,0.19908883536669372
PYGM,78315.38172408448,11.986495782541368,0.8809668799472685,13.606068576901366,3.6854215073026804e-42,8.056792092652072e-39
MYBPC2,78565.36413863393,10.607586228282011,0.9195100719538964,11.536128370776419,8.674224833471835e-31,8.42797322847716e-28
ND2,44680.701876989464,0.4270326974733867,1.3670754038294484,0.31236952715057537,0.7547597063381123,0.9322076130879913
CIDEC,42246.25201395788,-3.4452436177183796,0.9526936779374647,-3.6163183376813874,2.988228559166897e-4,0.005832340390017888
COL1A2,43366.64350736016,-0.6574903966435094,0.9236960836248499,-0.7118038154533766,0.4765862697034636,0.7911739222443166
MYL6,42754.3961541321,1.4344422300270836,0.8031224089373552,1.786081690741333,0.07408603221866829,0.30146361504706604
HSPG2,44734.8576825837,-0.541007476804827,0.8361987027146175,-0.6469843531788699,0.5176420701907545,0.8173940036495293
