Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
COX1,604065.5988437559,-0.1853754383035189,0.7481650366948461,-0.24777345800927603,0.8043096921226298,1
LOC112444681,461990.541372446,-0.4444934153740648,1.0231442327609024,-0.4344386657730768,0.6639699248923416,1
COX3,334580.06469384977,0.15544678711942375,0.5787421329765811,0.26859421193326866,0.7882419668816707,1
ACTA1,468136.8937931564,-6.127430002700343,1.4851356787669185,-4.125838527957148,3.6938638203634537e-5,0.014973282210499947
RN18S1,363454.91762206843,0.25124054654712535,0.9917708354038878,0.2533252013251735,0.8000169232489612,1
SPARC,185917.1008579781,-1.167561579064995,0.5894966247142841,-1.980607742463133,0.04763527999620931,0.7689514534609329
ALDOA,272399.23760600033,-0.8011274278217904,0.8979046309122917,-0.8922188395529562,0.3722756461053299,1
ATP6,175980.48312429042,-0.0936167013335634,0.9835373850341316,-0.09518367350145478,0.9241689377624341,1
CYTB,158420.63424773514,-0.058093410778959895,0.7853948149743689,-0.0739671432397421,0.9410365295147378,1
DES,213248.02218687432,-1.2738160418936602,0.900874272271401,-1.4139776005390297,0.15736847938145235,0.985092118187053
EEF1A1,122043.84126365987,0.5297148459008326,0.6242515618553381,0.848559904802588,0.3961262255971625,1
TPM2,189312.78940404637,-0.3333611049299822,0.6565413599115792,-0.5077533957264752,0.6116262969592249,1
ND4,132497.9439222083,-0.13463909664446413,0.7493238032631565,-0.17968079494890937,0.8574031714575665,1
MYH2,186125.4855147308,0,2.4253564334402307,0,1,1
SCD,119003.36675882869,-0.47161419333839394,1.3568333732372093,-0.34758445851990677,0.7281522796603658,1
ACTB,110550.79970412674,0.057691268038736636,0.5208426788727978,0.11076524712527681,0.9118025045011074,1
VIM,109229.6025726982,-0.9517766539925124,0.6142498140455115,-1.549494411278719,0.12126291395465529,0.9473711371795626
FABP4,103439.15413696582,-1.7039374203735929,0.9287080022185403,-1.8347396773831484,0.06654427033185296,0.8518133579812842
COL3A1,103748.31301417355,-0.5304572466645567,0.7366925488828822,-0.7200524119172104,0.47149272601783826,1
MYH1,204579.5393911574,-3.874021490332442,2.7330253273898,-1.4174846648905228,0.15634127475036813,0.9834832797198307
TMSB4X,95277.83303291457,-0.115541756186801,0.6762634084156919,-0.17085318346217354,0.8643392094679476,1
GSN,96158.83766601875,-0.6658634198513135,0.749528584794738,-0.8883762852535682,0.3743383773933034,1
TPT1,101340.02678650379,0.7033175367746279,0.538685544249678,1.3056179886064363,0.19168249987372937,1
TTN,144661.15170794318,1.3067291299750146,0.9606241373069386,1.3602917928320684,0.17373760449525502,0.9985709637400102
MYH7,149643.63598126255,-1.1020626118007453,1.4692706074480815,-0.7500746330962644,0.45320975637385297,1
ND1,87038.1048078047,-0.461443753924671,1.0545241904082776,-0.4375847971263845,0.6616872938248832,1
COX2,87268.43147609585,-0.1986135797511966,0.9286702620042507,-0.2138687840854836,0.8306493836976978,1
FLNA,83691.88517778963,-0.7186713152996609,0.7403300424861168,-0.9707444978003009,0.3316755272478917,1
ND3,80533.2883374341,-0.382929098728953,1.05522544160895,-0.36288842519289877,0.7166882335841679,1
ACTG1,73605.49514887689,0.17864177551589172,0.47012170277075943,0.3799904885544094,0.7039524755842923,1
CKM,123916.92101213784,-0.2780658679179052,0.9711715619145822,-0.2863200270915285,0.7746330205176001,1
COL4A2,72100.57912576222,-0.6999564072428577,0.8647051411065706,-0.8094740900315655,0.41824250045300043,1
FN1,68055.98061514251,2.639808490988649,1.0833101178811582,2.436798519109043,NA,NA
COL1A1,71945.21889542553,-0.6316493067184576,1.0098136078596816,-0.6255107891220142,0.5316358695121526,1
GAPDH,105830.11359199138,-0.08382722953108014,0.6644350615111326,-0.12616316384693918,0.899602769314312,1
RPLP1,74946.77339547238,0.26208066544890496,0.5523146528633852,0.47451333056291467,0.6351338941869187,1
IGFN1,140047.49995135254,1.9594502136754959,2.399678206801514,0.8165470720706384,0.41418731258308916,1
TAGLN,69171.35924727777,-1.470364879146879,0.8801600661341586,-1.6705653161532532,0.09480756805886019,0.9152594047932658
COL4A1,66309.83118625007,-0.8252129376074089,0.7715956180835808,-1.0694888854566047,0.2848494344352675,1
PLIN4,66449.63966331565,-1.295671909392181,0.8435763062844972,-1.5359273366732207,0.12455620269567584,0.9562568823345632
RYR1,135496.86043610732,0.3828017503187717,0.971550103563178,0.3940113319064444,0.6935726729432397,1
TNNC2,109006.31556974845,-5.863379741081511,1.2957632710517106,-4.525039312406562,6.038428020543773e-6,0.0035531279200883537
MIR2887-1,93321.9654354037,-0.8063398943600703,1.2075841181844127,-0.6677297939065246,0.5043060881139341,1
TPM1,88023.70311263476,-1.0889488435604733,0.479313128503649,-2.2718944648147334,0.023092885310638907,0.5888782328726596
MB,92653.6464635599,-2.33614314630707,0.9611860425421505,-2.430479681257569,0.01507885150372911,0.4872758939789502
CAVIN1,61104.601908826604,-1.0046679853244596,0.7329534630413755,-1.3707118336757835,0.17046480440944414,0.9947052134461519
ADIPOQ,57055.444818443706,-1.315813007733348,0.823515357542014,-1.5978002057675265,0.11008744884800399,0.9274478069553755
CLU,57463.56225349737,0.04819302726243513,0.6217997454465006,0.07750570439334738,0.9382212534768818,1
TMSB10,54429.293821203275,0.3313897423489976,0.5934963724905145,0.5583686062955575,0.5765927055618074,1
ATP2A1,104935.24889156176,1.4254416882571623,0.8709993826824509,1.6365587813244755,0.10172269407269542,0.9202751785011253
FTH1,62527.53908428138,-0.22625813588385732,0.48078425198241076,-0.4706022190846111,0.6379248226590956,1
FASN,57871.66087076928,-0.7645855109555224,1.0837268683673005,-0.7055149533271389,0.48048982954934655,1
PLIN1,53262.27535017258,-1.0094302773260997,0.9093428092135637,-1.1100657167994716,0.2669707090767201,1
EEF2,58975.063919381006,0.0011601296955656172,0.4624782508570056,0.002508506493907147,0.9979985034969424,1
ACTA2,52584.92593873944,-1.2073821248881764,0.8548486539252328,-1.4123928479552559,0.15783432117992965,0.9853091684932668
RPS2,53120.132634602625,0.6219309554799647,0.4851914911667643,1.2818257673570823,0.19990377298805634,1
DGAT2,49686.23724644534,-1.5809167767186731,1.0269743307814334,-1.5393926891198344,0.12370845777024468,0.9534182116954132
TNNT3,80401.20356781453,0.028233635353581022,0.9929410559721078,0.028434351851772073,0.9773157264548259,1
MYLPF,82186.45375865749,0.6066870239328735,1.699812497698292,0.35691408596794383,0.7211561241929569,1
HSPB1,56046.44634186711,-0.5173683599012336,0.588900161640846,-0.8785332278729486,0.3796544137502738,1
GNAS,51202.59083656728,-0.49989567709676913,0.35843981223965565,-1.3946432846654182,0.16312343551498706,0.9907322846637737
TNS1,49882.22818234373,-1.1299615312358111,0.783091303178381,-1.4429499173973284,0.14903457996348343,0.9790647190841126
AHNAK,49191.30149974736,-0.08710583867047271,0.5163704326989519,-0.16868866448295677,0.8660415354331304,1
RPS3A,44731.006007182485,0.79827433429226,0.6985236521070999,1.1428021540634477,0.25312074426250414,1
FHL1,60851.55567537665,-1.2430076241139059,0.7249550898035526,-1.7145994856739808,0.08641868311477309,0.9085751495786674
RPL4,46076.48112517615,0.6140853991785561,0.523330802384707,1.1734172656765085,0.24062851674726188,1
MCAM,43380.31033772198,-1.2088293246197948,0.8718044558483538,-1.3865830995822128,0.16556892467772066,0.9914704934449395
PYGM,78315.38172408448,-0.5367897178426172,0.8872079263034223,-0.6050325993808094,0.5451573364314914,1
MYBPC2,78565.36413863393,1.9393239056309086,0.9199237548994579,2.108135478948323,0.03501927232308385,0.6935793121013817
ND2,44680.701876989464,-0.3835227033760456,1.3670784608787272,-0.2805418374666849,0.77906183191826,1
CIDEC,42246.25201395788,-0.7750159865108124,0.9526473917424363,-0.813539189031182,0.4159089871293999,1
COL1A2,43366.64350736016,-0.2930290574756882,0.9236912313708973,-0.31723702415231203,0.7510637584686177,1
MYL6,42754.3961541321,-0.5174408758359723,0.8031309172131111,-0.6442796121353515,0.5193941338311365,1
HSPG2,44734.8576825837,-0.6344396980058058,0.8361959169750203,-0.7587213536044549,0.44801926040030354,1
CST3,40890.93249630768,-0.5635652509563249,0.6406012960233204,-0.8797441629525036,0.3789979192320189,1
MYH11,42485.683319560565,-0.2386298554102439,0.9866406360447632,-0.2418609640556275,0.8088878983859968,1
TNNI2,67674.39764402951,1.5061733586359451,1.1611273388908934,1.2971646676364017,0.19457453484448836,1
LOC104976804,41044.2932141211,-0.24443847533449176,0.4288785524844095,-0.5699480049037368,0.568712964217845,1
TLN1,39110.63159624636,-0.6662071154537081,0.4446917455439574,-1.4981324077396307,0.13409885262439197,0.967281196297088
HSPA1A,45035.44899853075,1.4870467349607928,0.6193535881151037,2.4009657221593956,0.016351868154260724,0.5004604479897146
SPTBN1,38802.71468172339,-0.5993641658803871,0.5108475870936893,-1.173273949066268,0.24068596559406152,1
EHD2,37677.966470334344,-1.2441659019351705,0.7810341083497729,-1.592972558604306,0.111166347239733,0.9310309182736317
ACTN3,69677.6524813457,0.16638745845003441,0.8007314120358787,0.2077943439573456,0.8353895490950449,1
PLEC,61288.90757398749,-0.164615993857739,0.8698028287262914,-0.18925667797470475,0.8498916476266336,1
ITM2B,35093.44218632206,-1.1871855772328188,0.5977619594798027,-1.9860507320772922,0.04702769104438094,0.7666059985170266
RPL17,33433.18091886834,1.478795151661322,0.7988886003044136,1.8510655316621525,0.06416012607607766,0.8447801828884086
BSG,34540.93135237914,-0.23899479047180022,0.7187587958847425,-0.33251042191089175,0.7395038714244766,1
MYL9,34135.19607170929,-1.3716372332714215,0.846568272216571,-1.620232269844063,0.10518239191019767,0.9206205527145388
CD74,32915.84427344826,0.3372141658186353,0.5081541369533811,0.6636060622085851,0.506942476283639,1
YBX3,52620.27990028335,-0.5701321651678177,0.8185638664172761,-0.6965029713114452,0.4861138971285257,1
RPL10,35457.01905809428,0.4316849788690471,0.4733023266094474,0.9120702658731246,0.36173172965949746,1
RPS8,33518.95943170242,1.056948791506855,0.6553786984633414,1.6127298521985383,0.10680321198680305,0.9228042947464079
MYBPC1,52813.852871368676,7.078757568796121,3.12627007345553,2.264282164519403,0.0235567658355745,0.5926882284230544
FLNC,60437.06833447462,0.9331232207532605,0.852950871051593,1.0939941002731188,0.2739575657310022,1
CTSD,33797.37549777957,-0.7183075714292553,0.5764755232803762,-1.2460330793262444,0.21275225114297952,1
NEB,54657.6275954919,-0.963028578102792,1.4515130732899526,-0.6634653147973532,0.5070325866954309,1
TRARG1,31666.119738326397,-1.1485798867484776,0.8655073192364768,-1.3270597038529015,0.18448893370029315,1
ANXA2,32252.919669126313,-1.0706105103004104,0.5101122248045287,-2.0987744622483038,0.03583678706011429,0.6957806185965352
RPLP0,33275.43752455337,0.1838409022917853,0.4675027618698494,0.39324024858481105,0.6941420451899312,1
LIPE,30547.09137526556,-1.2342718079099906,0.8405519687104434,-1.4684063018775433,0.1419938908151669,0.9737888981543922
PNPLA2,31835.914069781265,-0.6968235154546522,0.8869184030736119,-0.7856681212610013,0.43206194407173143,1
CSRP1,32183.710757836143,-0.7150650164764752,0.8274264473509456,-0.8642037232019811,0.38747598728144117,1
CD36,30905.713315720266,-1.1865685703179543,0.934116035145927,-1.2702582181158997,0.2039926659551962,1
AGPAT2,31990.75649010924,-0.594976143511518,1.0389286688092623,-0.5726823807773371,0.5668597693174501,1
RACK1,32297.24747823354,0.8837223523164389,0.5382057651402472,1.6419786066136917,0.10059443774588939,0.9183429956012134
MYH9,30783.468056727823,0.020975612586354303,0.4564575585064106,0.04595304031110642,0.9633476787415491,1
LDHB,31525.678532620765,-0.5070702792737509,0.6467687646589126,-0.7840055163164308,0.433036873495161,1
RPL19,31960.174813589438,0.7675898495412743,0.6033705071006524,1.2721699859506512,0.20331272922129826,1
RPS11,31157.479036713507,1.0805328179729174,0.6325430479657926,1.7082360187940153,0.08759255768539112,0.9120297668740887
UBA52,32276.916447573614,0.529483095054666,0.4833365279352716,1.0954750250648846,0.2733085812429876,1
IGF2,31131.0226285199,0.1590833373085164,0.7283208438490745,0.21842480364530426,0.8270981415487388,1
JUN,30858.405461375292,-0.08092136377870103,0.7607080629368523,-0.10637637185846215,0.9152837392184375,1
ND5,33199.60083887469,-0.5980162922423237,0.7642877653138163,-0.7824491237234165,0.43395067380936814,1
RPS12,29358.26811584247,1.4939120959401915,0.7132437859240177,2.094532227862044,0.036212595278761674,0.6989988893967108
H19,48124.019824110816,0.7951161140539567,0.9538868102907457,0.8335539452648522,0.4045323871146771,1
RPL21,29812.389702553606,0.9638476764531227,0.6619404802553852,1.4560941734236557,0.14536658803816663,0.9738905270263932
EEF1A2,49748.87007844448,1.9503151403026375,1.94185028252948,1.0043591711726256,0.31520552225251625,1
CAV1,30111.441344781317,-1.192209197633382,0.9056401881006868,-1.3164270019130766,0.18803076447471698,1
COL6A2,30245.66981293808,-0.815860073902291,0.6300188319209546,-1.2949772809404734,0.19532806694454397,1
RPS4X,29024.339065782253,0.5405500955256635,0.6653514692894515,0.8124278978491366,0.4165461436587222,1
FOS,27802.353699631552,1.0614205872912879,1.0582489155894528,1.002997094213953,0.3158622632627302,1
RPL13A,30093.691257078255,0.3063889790390069,0.4758154725452973,0.6439239510225025,0.5196247497041572,1
THRSP,28835.370030086488,-0.3169428175592435,1.1660652603603698,-0.27180538545612193,0.7857716640742076,1
SRRM2,30759.299337792632,0.7187936338665949,0.7157388468759563,1.004268018990407,0.3152494442901583,1
RPS3,28618.269294413818,0.8791309700725779,0.5674584408574785,1.5492429167925237,0.12132333624535158,0.9473711371795626
ENO3,47130.66769897019,-0.030827572247374854,0.7525147960458394,-0.04096606792233358,0.9673229470171785,1
MYL1,42263.96720722052,2.3405600438865033,1.6639100304118652,1.4066626206388984,0.1595274547266223,0.987150693737455
TXNIP,29985.974857562982,-0.39616556620441523,0.526717864141638,-0.752139984562748,0.45196688057281775,1
MAP4,36185.910069631536,-0.6082241837943114,0.6882605272486304,-0.8837121405548712,0.3768516249197278,1
APOE,26922.504912695425,-0.5843339295389918,0.7747726450581556,-0.7542005171015438,0.45072882715624846,1
RPS24,26512.984486124427,1.9559365795908088,0.8095528202267501,2.4160703671478343,0.015689029044655106,0.49448720148323816
RPS6,26719.10903629287,1.4473620552361635,0.69894285628791,2.0707873930110865,0.03837866888943684,0.7139027061872766
LRP1,27405.886521813864,-0.6932327143189412,0.722078778905375,-0.9600513608360537,0.33702936624345115,1
RPS7,27833.058270997844,0.7503567212147932,0.5790028408478006,1.2959465278548357,0.19499390782209505,1
COL6A1,27642.31221948747,-0.6232663986042589,0.6542039433085672,-0.9527096327976182,0.34073721133811286,1
RPL5,27072.11003436408,0.7497839219245528,0.6046235651891958,1.240083855629964,0.21494437969729663,1
RBP4,25812.114566720276,-1.0874265477326694,0.7673339347575243,-1.4171490383470315,0.15643935776294848,0.9834832797198307
CALM1,29013.57940910003,-0.23831678369618634,0.4521899901061392,-0.5270279946715495,0.5981741481227594,1
RPS15,26487.918397412897,0.8683717814018787,0.6601041023752542,1.3155073241890398,0.18833945745595762,1
RPL7,26504.061991578586,0.44725209969420027,0.5737774952350344,0.7794870022063065,0.4356928912401948,1
VWF,25632.7967930663,-0.6468481696250444,0.7558738535970199,-0.8557620647239632,0.392129402364764,1
CCDC80,25761.582508948064,-0.9793929071660454,0.7312232348395452,-1.3393897519968125,0.18044382385256302,0.9985709637400102
PDK4,24770.39991600007,-0.3796646831198178,0.9155699118832128,-0.41467579721890935,0.6783792523511496,1
TMBIM6,26657.181185276448,-0.5163843787878953,0.4368533682864199,-1.1820542458295331,0.23718417745846546,1
LDB3,41848.229179184746,-1.7328004330522329,1.1454017176004394,-1.5128320539647566,0.130322324495599,0.9616543370243613
DCN,25086.03229944966,-0.2634770788105932,0.6263935507949749,-0.4206254653742946,0.674028595427717,1
ANXA5,24391.477569720926,-1.1877890658522805,0.5505819173916148,-2.1573339558252087,0.030979653101139717,0.6655441978112399
ACTN4,24476.268780548846,-0.6339072054840827,0.5994230230328764,-1.057528958892383,0.29027024536888657,1
A2M,23349.129446470863,1.038012103276555,0.6172101430079697,1.6817806950122525,0.09261137351959563,0.9152594047932658
RPL13,24660.142602552092,0.6084533405678703,0.49437258365646614,1.2307586639769603,0.2184131398571993,1
ATF4,31479.53870316449,-0.11016059574208095,0.5129215276804305,-0.2147708563535184,0.8299459759328762,1
RPL18,24716.552658944795,0.45466311159704564,0.5131929158352454,0.8859497034503296,0.37564463088209576,1
LPL,23801.146693434137,-0.5641549313198956,0.890080468938643,-0.6338246383415308,0.5261952719582925,1
RPL18A,24459.188258195652,0.39740339424087356,0.523035900075645,0.7598013715375911,0.4473733229692348,1
CD151,23756.238541791052,-1.0634539358291968,0.7316287317244735,-1.453543156134123,0.14607300649154165,0.9745858490900553
ZFP36,22435.639141862237,0.17930131391613616,0.7792419589523227,0.23009709866907532,0.8180163193415513,1
RPL14,23169.737035026425,1.0217735389691978,0.6177661722482093,1.6539810447223133,0.09813136415213945,0.9163882602341196
COL5A3,22136.000483218773,-0.5374360884711683,0.9320629602933851,-0.5766092113584256,0.5642034752221254,1
RPS5,23929.254486225283,0.3183673819546336,0.47627448989647675,0.6684535676555636,0.5038441115185182,1
NR4A1,24866.107564653787,-0.9829160886227625,0.747743165299873,-1.3145102947595333,0.18867453597201359,1
