Pop1_mating_env,Pop1_larval_env,Pop2_mating_env,Pop2_abiotic_env,Colour_Pop1_male,Colour_Pop1_females,Colour_Pop2_males,Colour_Pop2_females,WithinPopColour,day,time,C_fxC_m,C_fxS_m,S_fxC_m,S_fxS_m,TOTAL,cage,observer,Pop1,Pop2
complex,corn,complex,salt,R,R,G,G,same,1,2,6,4,3,7,20,7,k,corn_complex1,salt_complex1
complex,corn,complex,salt,R,G,G,R,diff,7,1,3,8,2,7,20,8,k,corn_complex2,salt_complex1
complex,corn,complex,salt,G,G,R,R,same,6,3,2,5,6,7,20,3,m,corn_complex3,salt_complex1
complex,corn,complex,salt,R,R,G,G,same,5,2,8,2,3,7,20,4,m,corn_complex4,salt_complex1
complex,corn,complex,salt,R,G,G,R,diff,4,4,4,2,4,10,20,1,m,corn_complex5,salt_complex1
complex,corn,complex,salt,R,R,G,G,same,3,3,4,4,2,10,20,7,k,corn_complex6,salt_complex1
complex,corn,complex,salt,G,R,R,G,diff,2,3,7,3,3,7,20,7,k,corn_complex7,salt_complex1
simple ,corn,complex,salt,R,G,G,R,diff,1,2,5,1,4,10,20,5,k,corn_simple1,salt_complex1
simple,corn,complex,salt,R,R,G,G,same,7,1,2,9,5,4,20,6,k,corn_simple2,salt_complex1
simple,corn,complex,salt,G,R,R,G,diff,6,3,6,4,4,6,20,1,m,corn_simple3,salt_complex1
simple,corn,complex,salt,G,R,R,G,diff,5,2,6,5,4,5,20,2,m,corn_simple4,salt_complex1
simple,corn,complex,salt,R,R,G,G,same,4,4,4,5,2,9,20,3,k,corn_simple5,salt_complex1
simple,corn,complex,salt,R,G,G,R,diff,3,3,5,3,6,6,20,5,k,corn_simple6,salt_complex1
simple,corn,complex,salt,G,G,R,R,same,2,3,5,6,2,7,20,5,k,corn_simple7,salt_complex1
complex,corn,complex,salt,G,R,R,G,diff,2,4,7,4,0,9,20,1,m,corn_complex1,salt_complex2
complex,corn,complex,salt,R,R,G,G,same,1,2,4,4,1,11,20,4,m,corn_complex2,salt_complex2
complex,corn,complex,salt,G,R,R,G,diff,7,2,3,2,5,5,15,7,k,corn_complex3,salt_complex2
complex,corn,complex,salt,R,G,G,R,diff,6,3,7,6,1,6,20,7,k,corn_complex4,salt_complex2
complex,corn,complex,salt,R,G,G,R,diff,5,3,6,2,5,7,20,3,m,corn_complex5,salt_complex2
complex,corn,complex,salt,G,R,R,G,diff,4,1,8,6,2,4,20,4,m,corn_complex6,salt_complex2
complex,corn,complex,salt,G,G,R,R,same,3,4,6,2,4,8,20,4,k,corn_complex7,salt_complex2
simple,corn,complex,salt,G,G,R,R,same,2,4,7,4,3,6,20,3,k,corn_simple1,salt_complex2
simple,corn,complex,salt,G,R,R,G,diff,1,2,5,1,2,12,20,2,m,corn_simple2,salt_complex2
simple,corn,complex,salt,G,G,R,R,same,7,2,6,6,1,7,20,5,k,corn_simple3,salt_complex2
simple,corn,complex,salt,R,R,G,G,same,6,3,6,3,6,5,20,5,k,corn_simple4,salt_complex2
simple,corn,complex,salt,R,R,G,G,same,5,3,5,5,5,5,20,1,m,corn_simple5,salt_complex2
simple,corn,complex,salt,G,G,R,R,same,4,1,8,4,3,5,20,2,m,corn_simple6,salt_complex2
simple,corn,complex,salt,G,R,R,G,diff,3,4,3,5,4,8,20,2,m,corn_simple7,salt_complex2
complex,corn,complex,salt,G,G,R,R,same,3,1,6,7,2,5,20,4,m,corn_complex1,salt_complex3
complex,corn,complex,salt,R,R,G,G,same,2,1,6,4,0,10,20,4,m,corn_complex2,salt_complex3
complex,corn,complex,salt,R,G,G,R,diff,1,3,5,5,4,6,20,3,m,corn_complex3,salt_complex3
complex,corn,complex,salt,R,R,G,G,same,7,2,9,5,2,4,20,4,m,corn_complex4,salt_complex3
complex,corn,complex,salt,G,R,R,G,diff,6,4,5,3,5,7,20,1,m,corn_complex5,salt_complex3
complex,corn,complex,salt,R,G,G,R,diff,5,3,9,4,4,3,20,7,k,corn_complex6,salt_complex3
complex,corn,complex,salt,R,R,G,G,same,4,1,5,5,2,8,20,8,k,corn_complex7,salt_complex3
simple,corn,complex,salt,G,R,R,G,diff,3,1,9,3,5,3,20,2,m,corn_simple1,salt_complex3
simple,corn,complex,salt,R,G,G,R,diff,2,1,6,4,1,9,20,2,m,corn_simple2,salt_complex3
simple,corn,complex,salt,R,R,G,G,same,1,3,11,1,5,3,20,1,m,corn_simple3,salt_complex3
