salt_type,corn_type,corn,C_fxC_m,C_fxS_m,S_fxC_m,S_fxS_m,Y
Complex,Complex,1,6,3.714285714,3.571428571,6.714285714,0.270785437
Complex,Complex,2,6.857142857,3.714285714,3.857142857,5.571428571,0.240408206
Complex,Complex,3,6.714285714,4.142857143,4.714285714,4.142857143,0.088180381
Complex,Complex,4,6.857142857,2.142857143,4.142857143,6.571428571,0.385176745
Complex,Complex,5,6.714285714,3.142857143,4.285714286,5.857142857,0.261641717
Complex,Complex,6,6.714285714,3.142857143,4.142857143,6,0.275096902
Complex,Complex,7,7.285714286,3.428571429,4.142857143,5.142857143,0.237854509
Complex,Simple,1,5.857142857,4.142857143,3.571428571,6.428571429,0.229361801
Complex,Simple,2,6.571428571,3.714285714,4.428571429,5.285714286,0.184723698
Complex,Simple,3,6,3.857142857,4,6.142857143,0.214331561
Complex,Simple,4,4.714285714,5.714285714,3.285714286,6.285714286,0.113588544
Complex,Simple,5,7.142857143,2.857142857,4.571428571,5.285714286,0.259309685
Complex,Simple,6,5.428571429,5.428571429,3.428571429,5.714285714,0.127016654
Complex,Simple,7,7,3.857142857,5,4.142857143,0.101630708
Simple,Complex,1,6.142857143,5.428571429,2.714285714,5.714285714,0.213669838
Simple,Complex,2,7.142857143,3.714285714,3.714285714,5.285714286,0.246503774
Simple,Complex,3,6.428571429,4,3.571428571,6,0.24333215
Simple,Complex,4,6,4.857142857,4.285714286,4.571428571,0.06885279
Simple,Complex,5,5.428571429,3.714285714,5.285714286,5.571428571,0.107614999
Simple,Complex,6,6.428571429,3.142857143,4.571428571,5.285714286,0.21193885
Simple,Complex,7,6.142857143,3.857142857,3.714285714,6.285714286,0.242909824
Simple,Simple,1,6,4.714285714,4.714285714,4.571428571,0.052549149
Simple,Simple,2,5.714285714,4.714285714,5.428571429,2.857142857,-0.111899903
Simple,Simple,3,5.285714286,5.142857143,4.142857143,5.428571429,0.074285229
Simple,Simple,4,4.142857143,5.428571429,5.285714286,5.142857143,-0.074285229
Simple,Simple,5,5.714285714,5.857142857,5.285714286,3.142857143,-0.135307093
Simple,Simple,6,5.142857143,4.571428571,4.714285714,5.571428571,0.071089162
Simple,Simple,7,5.285714286,5.142857143,4.714285714,4,-0.034212661
