Pop1_mating_treat,Pop1_abiotic,Pop2_mating_treat,Pop2_abiotic,WithinPopColour,Pop1,N Rows,Mean(C_fxC_m),Mean(C_fxS_m),Mean(S_fxC_m),Mean(S_fxS_m),Y,type
complex,corn,complex,salt,diff,corn_complex1,4,6.75,3.5,2.75,7,0.378041153,complex_corn_x_salt_complex
complex,corn,complex,salt,same,corn_complex1,3,6.333333333,4.333333333,3.666666667,5.666666667,0.200930414,complex_corn_x_salt_complex
complex,corn,simple,salt,diff,corn_complex1,3,5.333333333,2.666666667,4.333333333,7.666666667,0.305815847,complex_corn_x_salt_simple
complex,corn,simple,salt,same,corn_complex1,4,6,2.75,6.25,5,0.138360561,complex_corn_x_salt_simple
complex,corn,complex,salt,diff,corn_complex2,5,4.8,4.8,4,6.4,0.11696312,complex_corn_x_salt_complex
complex,corn,complex,salt,same,corn_complex2,2,5,4,0.5,10.5,0.673388088,complex_corn_x_salt_complex
complex,corn,simple,salt,diff,corn_complex2,3,5.333333333,4.333333333,3,7.333333333,0.26860924,complex_corn_x_salt_simple
complex,corn,simple,salt,same,corn_complex2,4,5.25,3.25,4.25,7,0.239874609,complex_corn_x_salt_simple
complex,corn,complex,salt,diff,corn_complex3,3,4.333333333,3.333333333,3.666666667,7,0.223415194,complex_corn_x_salt_complex
complex,corn,complex,salt,same,corn_complex3,4,4,5,4.5,6.5,0.036129574,complex_corn_x_salt_complex
complex,corn,simple,salt,diff,corn_complex3,4,6.5,3.25,3.75,6.25,0.292221264,complex_corn_x_salt_simple
complex,corn,simple,salt,same,corn_complex3,3,5.333333333,3.666666667,4.333333333,6.666666667,0.19869072,complex_corn_x_salt_simple
complex,corn,complex,salt,diff,corn_complex4,3,4.666666667,4,2.333333333,8.333333333,0.34237382,complex_corn_x_salt_complex
complex,corn,complex,salt,same,corn_complex4,4,8,2.75,3.5,5.75,0.372281764,complex_corn_x_salt_complex
complex,corn,simple,salt,diff,corn_complex4,3,3.333333333,4,4.333333333,7.666666667,0.096752219,complex_corn_x_salt_simple
complex,corn,simple,salt,same,corn_complex4,4,5.5,4.5,5.25,4.75,0.02514151,complex_corn_x_salt_simple
complex,corn,complex,salt,diff,corn_complex5,4,6,3.25,4,7.25,0.293098761,complex_corn_x_salt_complex
complex,corn,complex,salt,same,corn_complex5,3,5.666666667,6.333333333,2,6,0.241952198,complex_corn_x_salt_complex
complex,corn,simple,salt,diff,corn_complex5,3,6.666666667,3.333333333,4.666666667,5.333333333,0.203776612,complex_corn_x_salt_simple
complex,corn,simple,salt,same,corn_complex5,4,4.75,6.75,3,5.5,0.063598523,complex_corn_x_salt_simple
complex,corn,complex,salt,diff,corn_complex6,3,7.666666667,4.666666667,3.333333333,4.333333333,0.187457042,complex_corn_x_salt_complex
complex,corn,complex,salt,same,corn_complex6,4,4.75,3.75,3,8.5,0.309019169,complex_corn_x_salt_complex
complex,corn,simple,salt,diff,corn_complex6,5,5.6,4.2,2.6,6.8,0.302503797,complex_corn_x_salt_simple
complex,corn,simple,salt,same,corn_complex6,2,4.5,5.5,4.5,5.5,0,complex_corn_x_salt_simple
complex,corn,complex,salt,diff,corn_complex7,3,6,3,4.666666667,6.333333333,0.244572901,complex_corn_x_salt_complex
complex,corn,complex,salt,same,corn_complex7,4,5.25,4.25,3.25,7.25,0.248125078,complex_corn_x_salt_complex
complex,corn,simple,salt,diff,corn_complex7,4,6.5,3,4.75,6,0.246517134,complex_corn_x_salt_simple
complex,corn,simple,salt,same,corn_complex7,3,6,5,2.666666667,6.333333333,0.25600616,complex_corn_x_salt_simple
simple,corn,complex,salt,diff,corn_simple1,3,5.666666667,3.666666667,4.333333333,6.333333333,0.200930414,simple_corn_x_salt_complex
simple,corn,complex,salt,same,corn_simple1,4,7,3.5,4,5.5,0.247642977,simple_corn_x_salt_complex
simple,corn,simple,salt,diff,corn_simple1,4,4,3.5,6,6.5,0.053342844,simple_corn_x_salt_simple
simple,corn,simple,salt,same,corn_simple1,3,5.333333333,6.333333333,3,5.333333333,0.100537664,simple_corn_x_salt_simple
simple,corn,complex,salt,diff,corn_simple2,2,5.5,3,1.5,10.5,0.563544077,simple_corn_x_salt_complex
simple,corn,complex,salt,same,corn_simple2,5,5.2,5.2,4.6,5,0.020842383,simple_corn_x_salt_complex
simple,corn,simple,salt,diff,corn_simple2,4,3.5,5.5,4.75,5.25,-0.08774915,simple_corn_x_salt_simple
simple,corn,simple,salt,same,corn_simple2,3,2,5.333333333,4.666666667,6.333333333,-0.167275003,simple_corn_x_salt_simple
simple,corn,complex,salt,diff,corn_simple3,4,5.25,4.25,4.5,6,0.124104686,simple_corn_x_salt_complex
simple,corn,complex,salt,same,corn_simple3,3,7.333333333,3.666666667,3,6,0.333333333,simple_corn_x_salt_complex
simple,corn,simple,salt,diff,corn_simple3,3,3.666666667,5.333333333,3.666666667,7.333333333,0.079445654,simple_corn_x_salt_simple
simple,corn,simple,salt,same,corn_simple3,4,6.75,3.25,6.25,3.75,0.054960033,simple_corn_x_salt_simple
simple,corn,complex,salt,diff,corn_simple4,4,7,3.5,5.5,4,0.093400335,simple_corn_x_salt_complex
simple,corn,complex,salt,same,corn_simple4,3,5.333333333,3,6,5.666666667,0.128831487,simple_corn_x_salt_complex
simple,corn,simple,salt,diff,corn_simple4,4,3.5,5.5,5.75,3.75,-0.216382032,simple_corn_x_salt_simple
simple,corn,simple,salt,same,corn_simple4,3,6,5.666666667,4.333333333,4,-0.005721011,simple_corn_x_salt_simple
simple,corn,complex,salt,diff,corn_simple5,3,5.666666667,3.666666667,2,8.333333333,0.434644333,simple_corn_x_salt_complex
simple,corn,complex,salt,same,corn_simple5,4,5,5.25,3.5,6.25,0.131982619,simple_corn_x_salt_complex
simple,corn,simple,salt,diff,corn_simple5,4,3.25,5,6.25,5.5,-0.138753196,simple_corn_x_salt_simple
simple,corn,simple,salt,same,corn_simple5,3,3,5.666666667,5.333333333,6,-0.128831487,simple_corn_x_salt_simple
simple,corn,complex,salt,diff,corn_simple6,4,5,3.5,5,6.5,0.153535995,simple_corn_x_salt_complex
simple,corn,complex,salt,same,corn_simple6,3,6.666666667,3.333333333,6,4,0.07179677,simple_corn_x_salt_complex
simple,corn,simple,salt,diff,corn_simple6,2,9.5,3,3,4.5,0.370960282,simple_corn_x_salt_simple
simple,corn,simple,salt,same,corn_simple6,5,4,5.4,5.2,5.2,-0.074885692,simple_corn_x_salt_simple
simple,corn,complex,salt,diff,corn_simple7,5,4.4,4.6,4.6,6.4,0.071326155,simple_corn_x_salt_complex
simple,corn,complex,salt,same,corn_simple7,2,3.5,6,2,8.5,0.223161281,simple_corn_x_salt_complex
simple,corn,simple,salt,diff,corn_simple7,3,3,3.666666667,4.666666667,6.666666667,0.0389813,simple_corn_x_salt_simple
simple,corn,simple,salt,same,corn_simple7,4,4.75,5.5,5.5,4.25,-0.100765011,simple_corn_x_salt_simple
