salt_type,corn_type,salt,mean_S_fxS_m,mean_S_fxC_m,mean_C_fxS_m,mean_C_fxC_m,Y
Simple,Simple,1,5.857142857,4.571428571,5.857142857,3.714285714,-0.051863265
Simple,Complex,1,6,3.714285714,4.857142857,5.428571429,0.146634937
Simple,Simple,2,4.714285714,5.428571429,4.857142857,4.428571429,-0.058296804
Simple,Complex,2,5.428571429,4.285714286,3.714285714,6.428571429,0.193757864
Simple,Simple,3,4.714285714,5.285714286,5,4.285714286,-0.067039554
Simple,Complex,3,5.714285714,4.857142857,3.571428571,5.857142857,0.162841085
Simple,Simple,4,5.571428571,5.142857143,4.571428571,4.714285714,0.027696506
Simple,Complex,4,7.142857143,3.714285714,4.142857143,4.714285714,0.193320742
Simple,Simple,5,7.142857143,4.571428571,3.571428571,4.714285714,0.179029343
Simple,Complex,5,6.285714286,3.428571429,4.857142857,5.428571429,0.177442072
Simple,Simple,6,4.571428571,5.285714286,5.857142857,4.285714286,-0.113892848
Simple,Complex,6,5.714285714,5,3.142857143,6.142857143,0.198261494
Simple,Simple,7,4.714285714,5.285714286,4.571428571,4.571428571,-0.02859479
Simple,Complex,7,7.428571429,3.714285714,3.571428571,4.714285714,0.238039414
Complex,Simple,1,6.714285714,3.857142857,4.714285714,4.714285714,0.137697374
Complex,Complex,1,7.142857143,4,3.285714286,5.571428571,0.270099808
Complex,Simple,2,6.857142857,3.428571429,4,5.714285714,0.256590836
Complex,Complex,2,7.142857143,2.571428571,4.285714286,6,0.327058512
Complex,Simple,3,4,4.285714286,3.857142857,7.857142857,0.159258553
Complex,Complex,3,6.142857143,2.714285714,4.714285714,6.428571429,0.274504568
Complex,Simple,4,5.571428571,4,4.571428571,5.857142857,0.143794767
Complex,Complex,4,6.428571429,3.428571429,4.285714286,5.571428571,0.219131131
Complex,Simple,5,6.428571429,5.857142857,2.571428571,5,0.187279882
Complex,Complex,5,7.285714286,3.857142857,3.714285714,5.142857143,0.235828948
Complex,Simple,6,6.571428571,4.428571429,4.428571429,4.571428571,0.106198756
Complex,Complex,6,6.571428571,4,3.285714286,5.857142857,0.262348363
Complex,Simple,7,6.571428571,3.714285714,4.142857143,5.571428571,0.213373075
Complex,Complex,7,6.428571429,2.857142857,5.285714286,5.428571429,0.206391762
