cross,cross_larval_env,pop_pairing_type,block,cage,obs,comb_type,comb,total,am_pop1,am_pop2,dm_pop1F_pop2M,dm_pop2F_pop1M
1SC x 1CC,salt x corn,between,1.1,A,TB,same,same_b,17,3,5,4,5
1SC x 2SC,salt x salt,within,1.1,B,TB,diff,diff_r,18,2,3,7,6
1CC x 2CC,corn x corn,within,1.1,C,TB,same,same_r,18,3,6,2,7
5SC x 5CC,salt x corn,between,1.1,D,IG,diff,diff_b,10,2,2,3,3
3CC x 4CC,corn x corn,within,1.1,E,IG,same,same_b,11,2,4,1,4
2SC x 2CC,salt x corn,between,1.1,F,IG,same,same_r,8,0,1,3,4
3SC x 3CC,salt x corn,between,1.2,A,IG,diff,diff_r,12,6,3,2,1
6SC x 6CC,salt x corn,between,1.2,B,IG,same,same_r,11,3,1,2,5
3SC x 4SC,salt x salt,within,1.2,C,IG,diff,diff_b,12,2,4,1,5
5SC x 5CC,salt x corn,between,1.2,D,TB,same,same_b,18,9,3,1,5
2SC x 2CC,salt x corn,between,1.2,E,TB,diff,diff_b,18,3,3,4,8
3CC x 4CC,corn x corn,within,1.2,F,TB,diff,diff_r,16,2,6,4,4
7SC x 7CC,salt x corn,between,1.3,A,TB,same,same_r,18,5,6,4,3
5SC x 6SC,salt x salt,within,1.3,B,TB,diff,diff_b,13,0,3,5,5
5CC x 6CC,corn x corn,within,1.3,C,TB,same,same_b,19,6,3,2,8
4SC x 4CC,salt x corn,between,1.3,D,TB,diff,diff_r,17,4,7,4,2
1SC x 1CC,salt x corn,between,1.3,E,IG,diff,diff_b,15,5,3,3,4
1CC x 2CC,corn x corn,within,1.3,F,IG,diff,diff_r,16,1,4,6,5
1SC x 2SC,salt x salt,within,1.3,G,IG,same,same_b,20,3,5,6,6
7SC x 7CC,salt x corn,between,1.4,A,IG,diff,diff_r,16,3,6,2,5
4SC x 4CC,salt x corn,between,1.4,B,IG,same,same_b,17,3,4,7,3
5CC x 6CC,corn x corn,within,1.4,C,IG,diff,diff_b,16,2,5,5,4
5SC x 6SC,salt x salt,within,1.4,D,IG,same,same_r,19,4,5,3,7
6SC x 6CC,salt x corn,between,1.4,E,TB,diff,diff_b,17,6,6,1,4
3SC x 3CC,salt x corn,between,1.4,F,TB,same,same_r,17,6,5,0,6
3SC x 4SC,salt x salt,within,1.4,G,TB,same,same_b,17,4,3,7,3
3SC x 3CC,salt x corn,between,2.1,A,TB,same,same_b,19,5,2,5,7
3SC x 4SC,salt x salt,within,2.1,B,TB,same,same_r,19,5,1,7,6
6SC x 6CC,salt x corn,between,2.1,C,TB,diff,diff_r,22,2,12,3,5
5SC x 6SC,salt x salt,within,2.1,D,IG,same,same_b,20,4,4,10,2
4SC x 4CC,salt x corn,between,2.1,E,IG,same,same_r,20,3,6,6,5
5CC x 6CC,corn x corn,within,2.1,F,IG,diff,diff_r,18,6,4,4,4
7SC x 7CC,salt x corn,between,2.1,G,IG,diff,diff_b,20,4,8,4,4
1SC x 1CC,salt x corn,between,2.2,A,IG,diff,diff_r,20,10,4,2,4
1CC x 2CC,corn x corn,within,2.2,B,IG,diff,diff_b,20,6,5,5,4
1SC x 2SC,salt x salt,within,2.2,C,IG,same,same_r,19,8,3,3,5
7SC x 7CC,salt x corn,between,2.2,D,TB,same,same_b,20,4,1,8,7
5CC x 6CC,corn x corn,within,2.2,E,TB,same,same_r,20,5,4,6,5
5SC x 6SC,salt x salt,within,2.2,F,TB,diff,diff_r,21,4,9,5,3
4SC x 4CC,salt x corn,between,2.2,G,TB,diff,diff_b,20,5,6,5,4
5SC x 5CC,salt x corn,between,2.3,A,TB,same,same_r,20,5,4,5,6
3CC x 4CC,corn x corn,within,2.3,B,TB,diff,diff_b,20,1,9,3,7
2SC x 2CC,salt x corn,between,2.3,C,TB,diff,diff_r,20,6,7,2,5
3SC x 3CC,salt x corn,between,2.3,D,IG,diff,diff_b,20,3,6,4,7
3SC x 4SC,salt x salt,within,2.3,E,IG,diff,diff_r,19,6,3,5,5
6SC x 6CC,salt x corn,between,2.3,F,IG,same,same_b,20,5,8,4,3
3CC x 4CC,corn x corn,within,2.4,A,IG,same,same_r,17,2,4,4,7
2SC x 2CC,salt x corn,between,2.4,B,IG,same,same_b,20,3,6,7,4
5SC x 5CC,salt x corn,between,2.4,C,IG,diff,diff_r,20,6,4,6,4
1CC x 2CC,corn x corn,within,2.4,D,TB,same,same_b,21,3,6,4,8
1SC x 1CC,salt x corn,between,2.4,E,TB,same,same_r,20,2,5,5,8
1SC x 2SC,salt x salt,within,2.4,F,TB,diff,diff_b,20,5,8,2,5
6SC x 6CC,salt x corn,between,3.1,A,TB,same,same_r,20,2,2,11,5
3SC x 4SC,salt x salt,within,3.1,B,TB,diff,diff_r,20,4,6,7,3
3SC x 3CC,salt x corn,between,3.1,C,TB,diff,diff_b,20,5,6,5,4
2SC x 2CC,salt x corn,between,3.1,D,IG,diff,diff_r,20,3,7,3,7
5SC x 5CC,salt x corn,between,3.1,E,IG,same,same_b,20,4,4,8,4
3CC x 4CC,corn x corn,within,3.1,F,IG,diff,diff_b,20,6,6,5,3
3CC x 4CC,corn x corn,within,3.2,A,TB,same,same_b,20,4,8,3,5
5SC x 5CC,salt x corn,between,3.2,B,TB,diff,diff_r,19,6,6,4,3
2SC x 2CC,salt x corn,between,3.2,C,TB,same,same_r,20,4,2,8,6
1SC x 2SC,salt x salt,within,3.2,D,IG,diff,diff_b,20,4,5,5,6
1SC x 1CC,salt x corn,between,3.2,E,IG,same,same_b,21,3,6,6,6
1CC x 2CC,corn x corn,within,3.2,F,IG,same,same_r,20,6,4,5,5
7SC x 7CC,salt x corn,between,3.3,A,TB,diff,diff_b,20,4,7,5,4
5CC x 6CC,corn x corn,within,3.3,B,TB,diff,diff_r,20,5,7,5,3
4SC x 4CC,salt x corn,between,3.3,C,TB,same,same_b,20,7,4,4,5
5SC x 6SC,salt x salt,within,3.3,D,TB,same,same_r,20,7,4,6,3
6SC x 6CC,salt x corn,between,3.3,E,IG,diff,diff_r,20,4,10,5,1
3SC x 4SC,salt x salt,within,3.3,F,IG,same,same_b,19,6,3,6,4
