cross,cross_abtr,trial_type,Mean(am_pop1),Mean(am_pop2),Mean(dm_pop1F_pop2M),Mean(dm_pop2F_pop1M),Y
1CC x 2CC,corn x corn,within,4.705882353,5.294117647,4.411764706,5.235294118,0.018925695
1SC x 1CC,salt x corn,between,5.411764706,4.941176471,5.235294118,3.941176471,0.06472847
1SC x 2SC,salt x salt,within,5,4.375,5.6875,4.75,-0.052718821
2SC x 2CC,salt x corn,between,4.166666667,6,4.555555556,4.5,0.049572069
3CC x 4CC,corn x corn,within,3.555555556,5.611111111,4.333333333,5.444444444,-0.041893642
3SC x 3CC,salt x corn,between,6.166666667,4.611111111,3.722222222,4.777777778,0.116797233
3SC x 4SC,salt x salt,within,5.055555556,4.722222222,4.388888889,5,0.021060196
4SC x 4CC,salt x corn,between,4.6875,5.5,4.6875,4.875,0.030147858
5CC x 6CC,corn x corn,within,5.176470588,5,4.941176471,4.411764706,0.042894453
5SC x 5CC,salt x corn,between,5.5,5.722222222,3.666666667,4.444444444,0.163072836
5SC x 6SC,salt x salt,within,5.235294118,4.588235294,5.529411765,4.235294118,0.006345989
6SC x 6CC,salt x corn,between,4.529411765,5.352941177,4.294117647,5.117647059,0.024569397
7SC x 7CC,salt x corn,between,4.647058824,5.882352941,4.588235294,4.647058824,0.062035576
