mating_type,trial_type,day,female_number,female_treatment,female_population,male_number,male_treatment,male_population,male_colour,day_order
assortative,among_trt,1,1,corn,1cc,1,corn,1cc,red,1
assortative,among_trt,1,1,corn,1cc,1,corn,1cc,red,1
assortative,within_trt,1,1,corn,1cc,1,corn,1cc,blue,1
dissasortative,among_trt,1,1,corn,1cc,1,salt,1cs,red,1
dissasortative,among_trt,1,1,corn,1cc,1,salt,1cs,red,1
assortative,within_trt,1,1,corn,1cc,1,corn,1cc,red,1
assortative,among_trt,1,1,salt,1cs,1,salt,1cs,blue,1
assortative,among_trt,1,1,salt,1cs,1,salt,1cs,blue,1
assortative,among_trt,1,1,salt,1cs,1,salt,1cs,blue,1
assortative,within_trt,1,1,salt,1cs,1,salt,1cs,blue,1
dissasortative,among_trt,1,1,salt,1cs,1,corn,1cc,blue,1
dissasortative,among_trt,1,1,salt,1cs,1,corn,1cc,blue,1
assortative,among_trt,1,1,salt,1cs,1,salt,1cs,red,1
dissasortative,within_trt,1,2,corn,2cc,1,corn,1cc,red,2
dissasortative,within_trt,1,2,corn,2cc,1,corn,1cc,blue,2
dissasortative,within_trt,1,1,salt,1cs,2,salt,2cs,red,1
dissasortative,within_trt,1,1,salt,1cs,2,salt,2cs,red,1
dissasortative,within_trt,1,1,salt,1cs,2,salt,2cs,blue,1
dissasortative,within_trt,1,1,salt,1cs,2,salt,2cs,blue,1
dissasortative,within_trt,1,1,salt,1cs,2,salt,2cs,blue,1
dissasortative,within_trt,1,3,corn,3cc,2,corn,2cc,red,3
dissasortative,within_trt,1,3,corn,3cc,2,corn,2cc,blue,3
dissasortative,within_trt,1,3,corn,3cc,2,corn,2cc,blue,3
dissasortative,among_trt,1,2,corn,2cc,2,salt,2cs,blue,2
assortative,among_trt,1,2,corn,2cc,2,corn,2cc,red,2
assortative,among_trt,1,2,corn,2cc,2,corn,2cc,red,2
assortative,within_trt,1,2,corn,2cc,2,corn,2cc,blue,2
assortative,within_trt,1,2,corn,2cc,2,corn,2cc,blue,2
assortative,among_trt,1,2,corn,2cc,2,corn,2cc,blue,2
assortative,among_trt,1,2,corn,2cc,2,corn,2cc,blue,2
assortative,among_trt,1,2,corn,2cc,2,corn,2cc,blue,2
assortative,within_trt,1,2,corn,2cc,2,corn,2cc,red,2
dissasortative,among_trt,1,2,salt,2cs,2,corn,2cc,red,2
dissasortative,among_trt,1,2,salt,2cs,2,corn,2cc,red,2
dissasortative,among_trt,1,2,salt,2cs,2,corn,2cc,red,2
assortative,within_trt,1,2,salt,2cs,2,salt,2cs,blue,2
assortative,within_trt,1,2,salt,2cs,2,salt,2cs,blue,2
assortative,among_trt,1,2,salt,2cs,2,salt,2cs,red,2
assortative,among_trt,1,2,salt,2cs,2,salt,2cs,red,2
dissasortative,among_trt,1,2,salt,2cs,2,corn,2cc,blue,2
dissasortative,within_trt,1,4,corn,4cc,3,corn,3cc,red,4
dissasortative,within_trt,1,4,corn,4cc,3,corn,3cc,blue,4
dissasortative,within_trt,1,4,corn,4cc,3,corn,3cc,blue,4
assortative,among_trt,1,3,corn,3cc,3,corn,3cc,red,3
dissasortative,among_trt,1,3,corn,3cc,3,salt,3cs,blue,3
assortative,among_trt,1,3,corn,3cc,3,corn,3cc,red,3
assortative,within_trt,1,3,corn,3cc,3,corn,3cc,blue,3
assortative,within_trt,1,3,corn,3cc,3,corn,3cc,blue,3
dissasortative,among_trt,1,3,corn,3cc,3,salt,3cs,red,3
