age,education,gender,hours,interaction,isolation,socialconnections,socialmedia,substitution,support,urbanity,isolation_number,hours_category
25-34,graduatedegree,male,1,little,little,neutral,rarely,rarely,little,urban,1,<1
35-44,graduatedegree,male,2,little,little,neutral,occasionally,occasionally,some,urban,1,1-2
35-44,graduatedegree,male,4,most,most,neutral,frequently,frequently,most,rural,3,3-4
55-64,collegedegree,male,1,some,most,positive,frequently,occasionally,all,urban,3,<1
18-24,graduatedegree,female,4,most,some,positive,frequently,occasionally,most,urban,2,3-4
25-34,collegedegree,male,5,most,most,neutral,frequently,frequently,most,urban,3,5+
35-44,collegedegree,male,2,little,none,positive,frequently,never,little,suburban,0,1-2
25-34,collegedegree,female,4,most,some,positive,frequently,frequently,most,urban,2,3-4
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
18-24,graduatedegree,male,2,some,some,neutral,veryfrequently,frequently,some,urban,2,1-2
45-54,graduatedegree,male,2,little,some,neutral,occasionally,occasionally,some,rural,2,1-2
25-34,collegedegree,male,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
25-34,somecollege,male,4,some,most,positive,occasionally,occasionally,some,urban,3,3-4
25-34,collegedegree,male,5,little,none,positive,veryfrequently,rarely,little,suburban,0,5+
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
25-34,somecollege,male,1,little,little,negative,occasionally,rarely,little,suburban,1,<1
25-34,collegedegree,female,5,some,most,neutral,veryfrequently,occasionally,some,urban,3,5+
55-64,highschool,female,5,some,none,negative,veryfrequently,rarely,little,suburban,0,5+
45-54,graduatedegree,female,2,some,most,positive,occasionally,frequently,most,urban,3,1-2
25-34,collegedegree,male,1,most,all,negative,frequently,occasionally,most,suburban,4,<1
45-54,graduatedegree,female,4,some,some,positive,frequently,frequently,most,urban,2,3-4
18-24,graduatedegree,male,5,most,some,positive,frequently,frequently,most,urban,2,5+
45-54,collegedegree,male,1,little,little,neutral,frequently,occasionally,little,suburban,1,<1
25-34,collegedegree,male,2,some,some,neutral,frequently,rarely,little,suburban,2,1-2
18-24,graduatedegree,female,4,most,some,positive,frequently,occasionally,most,urban,2,3-4
35-44,graduatedegree,female,2,some,little,neutral,frequently,rarely,little,rural,1,1-2
25-34,collegedegree,female,4,most,most,positive,frequently,occasionally,most,urban,3,3-4
18-24,collegedegree,female,4,most,some,positive,frequently,occasionally,most,urban,2,3-4
