Site,SiteNo,Replicate,Atherinops,Citharichthys,Clevelandia,Cymatogaster,Cypriniformes,Fundulus,Gambusia,Gillichthys,Hypsopsetta,Leptocottus,Micropterus,Mugil,Paralichthys,Goby
Calleagus Creek Bridge_down_1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1
Calleagus Creek Bridge_down_2,2,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Calleagus Creek Bridge_up_1,3,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Calleagus Creek Bridge_up_2,4,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1
Sum of Calleagus Creek Bridge_up_3,5,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
Revlon Slough_Down_1,6,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0
Revlon Slough_Up_1,7,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0
Revlon Slough_Up_2,8,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0
Calleagus Creek Bridge_down_1,1,2,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Calleagus Creek Bridge_down_2,2,2,1,0,0,1,1,1,1,1,1,0,0,1,1,0
Calleagus Creek Bridge_up_1,3,2,1,0,1,1,1,1,1,1,1,1,1,1,0,0
Calleagus Creek Bridge_up_2,4,2,1,0,0,1,0,1,1,0,1,1,0,1,0,0
Sum of Calleagus Creek Bridge_up_3,5,2,1,0,0,1,1,1,1,1,1,1,0,1,0,1
Revlon Slough_Down_1,6,2,1,0,0,1,0,1,1,0,1,1,0,1,0,0
Revlon Slough_Up_1,7,2,1,0,0,1,0,1,0,1,0,0,0,1,0,0
Revlon Slough_Up_2,8,2,1,0,1,1,0,1,0,1,1,1,0,1,0,0
