Location,Site,Date,SampleId,Filter 1,Assay,Rep1,Rep2,Rep3,AvgCopyNum,PctDetection,Rep1P,Rep2P,Rep3P,VOL 1,Time,Lat,Long,Units,Width (m),Length (m),Depth,Temp,Cond,DO (mg/L),Cerithidiopsis,Tidewater goby,Arrow Goby,Killfish,Topsmelt,Halibut,Bay Pipefish,Staghorn Sculpin,Mudsucker,Shadow goby,Mullet,Moquitofish,Guitarfish
Santa Clara River,Santa Clara River Mouth,17-Aug-22,0166WUI5,0166WUI5,TidewaterGoby01,168,363,136,222.33,100,1,1,1,100,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,P
Santa Clara River,Santa Clara River Mouth,17-Aug-22,5DZGRPJ8,5DZGRPJ8,TidewaterGoby01,36,0,74,36.67,66.67,0,0,0,100,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,P
Santa Clara River,Santa Clara River Mouth,17-Aug-22,5W8VHBOX,5W8VHBOX,TidewaterGoby01,34,0,0,11.33,33.33,0,0,0,100,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,P
Santa Clara River,Santa Clara River Mouth,17-Aug-22,6FC330ZX,6FC330ZX,TidewaterGoby01,100,71,64,78.33,100,0,0,0,100,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,0
Santa Clara River,Santa Clara River Mouth,17-Aug-22,A3T3UW2T,A3T3UW2T,TidewaterGoby01,1145,1029,1299,1157.67,100,1,1,1,80,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,0
Santa Clara River,Santa Clara River Mouth,17-Aug-22,AF6NPL98,AF6NPL98,TidewaterGoby01,83,179,147,136.33,100,0,1,1,90,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,0
Santa Clara River,Santa Clara River Mouth,17-Aug-22,K56BBPGJ,K56BBPGJ,TidewaterGoby01,168,252,277,232.33,100,1,1,1,95,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,P
Santa Clara River,Santa Clara River Mouth,17-Aug-22,M3BWLMVW,M3BWLMVW,TidewaterGoby01,263,283,77,207.67,100,1,1,0,100,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,0
Santa Clara River,Santa Clara River Mouth,17-Aug-22,OAZV1TYJ,OAZV1TYJ,TidewaterGoby01,102,222,95,139.67,100,1,1,0,100,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,P
Santa Clara River,Santa Clara River Mouth,17-Aug-22,0ICAOEM8,0ICAOEM8,TidewaterGoby01,0,32,0,10.67,33.33,0,0,0,110,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,P
Santa Clara River,Santa Clara River Mouth,17-Aug-22,PFDNIGDZ,PFDNIGDZ,TidewaterGoby01,191,75,96,120.67,100,1,0,0,100,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,0
Santa Clara River,Santa Clara River Mouth,17-Aug-22,Q3HPLTAL,Q3HPLTAL,TidewaterGoby01,195,0,96,97,66.67,1,0,0,100,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,P
Santa Clara River,Santa Clara River Mouth,17-Aug-22,SD2QNYHT,SD2QNYHT,TidewaterGoby01,0,0,0,0,0,0,0,0,80,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,0
Santa Clara River,Santa Clara River Mouth,17-Aug-22,SNF5Y17H,SNF5Y17H,TidewaterGoby01,112,156,218,162,100,1,1,1,90,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,0
Santa Clara River,Santa Clara River Mouth,17-Aug-22,SSEHN2DP,SSEHN2DP,TidewaterGoby01,36,35,241,104,100,0,0,1,100,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,P
Santa Clara River,Santa Clara River Mouth,17-Aug-22,VTSM35KT,VTSM35KT,TidewaterGoby01,128,196,208,177.33,100,1,1,1,100,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,P
Santa Clara River,Santa Clara River Mouth,17-Aug-22,ZF0XLNXD,ZF0XLNXD,TidewaterGoby01,268,299,141,236,100,1,1,1,85,13:30,"34 4' 8""","119 15' 53""",MS,,,0.3,23.8,2.9,16.5,0,0,0,0,0,0,0,0,0,0,P,P,0
Calleguas Creek,Revlon Slough - Up 2,16-Aug-22,1Y7HTTUZ,1Y7HTTUZ,TidewaterGoby01,0,0,0,0,0,0,0,0,140,11:43,34.11568,-119.08081,DD,2,6,0.6,21.1,35.3,7,P,0,0,1,0,0,0,1,0,0,P,0,0
Calleguas Creek,Revlon Slough - Up 2,16-Aug-22,73HOCNFX,73HOCNFX,TidewaterGoby01,0,0,0,0,0,0,0,0,130,11:43,34.11568,-119.08081,DD,2,6,0.6,21.1,35.3,7,P,0,0,1,0,0,0,1,0,0,P,0,0
Calleguas Creek,Revlon Slough - Up 1,16-Aug-22,F33R74EO,F33R74EO,TidewaterGoby01,0,0,0,0,0,0,0,0,300,12:13,34.11424,-119.08168,DD,4,4,0.7,18.6,42.7,7,P,0,0,8,5,1,0,0,0,0,P,0,0
Calleguas Creek,Revlon Slough - Up 1,16-Aug-22,V7RYHLTF,V7RYHLTF,TidewaterGoby01,0,0,0,0,0,0,0,0,300,12:13,34.11424,-119.08168,DD,4,4,0.7,18.6,42.7,7,P,0,0,8,5,1,0,0,0,0,P,0,0
