Field,Entries
Title,Estuaries2022_MiFishU_metadata
Dataset_Author,Kevin D. Lafferty
Dataset_Format,spreadsheet
Date,20230801
Link,URL pending
Abstract,"Field notes including site attributes like the area sampled, temperature, species observations, and locations. The data also include the label given to eDNA filters, site names, and the qPCR reads per replicate for tidewater gobies and the fish detected by seining."
Purpose,"The data are used to create various data suitable for specific analyses, like DataToResampleSeinesR.csv."
Contact_Person,Kevin D. Lafferty
Address 1(Number of Street),"US Geological Survey, Western Ecological Research Center, c/o Marine Science Institute, University of California"
Telephone,805 968 4226
City_State,"Santa Barbara, CA"
Zipcode,93106
Thesaurus,Thesaurus:None
Keyword,"Fishes, eDNA, Consensus taxonomy"
Taxonomy,Yes
Status,In work
Update_Plans,As Needed
Time_Period_Start,Time Period_Start:20220801
Time_Period_End,Time Period_End:20230801
Currentness_Reference,date pending
Native_Data_Set_Environment,CSV
Supplemental_Information,Supplemental Online Tables and Code
Spatial_Description,Southern California Estuaries: Santa Barbara and Ventura Counties
West,-120.1
East,-118.1
North,35.1
South,33.1
