ASV,Most_Likely,Alternative_Likely
ESV_000024,Cyprinus carpio,Cyprinus rubrofuscus
ESV_000055,Gasterosteus aculeatus,NA
ESV_000385,Cyprinus carpio,"Cyprinus rubrofuscus, Carassius auratus"
ESV_000878,Atherinopsis californiensis,NA
ESV_001039,Pimephales promelas,NA
ESV_001067,Atherinops affinis,NA
ESV_001124,Lepomis cyanellus,NA
ESV_007636,Cyprinus carpio,"Cyprinus rubrofuscus, Carassius auratus"
ESV_007637,Pimephales promelas,NA
ESV_008617,Gasterosteus aculeatus,NA
ESV_009594,Gambusia affinis,NA
ESV_009598,Pimephales promelas,NA
ESV_009609,Cyprinus carpio,"Cyprinus rubrofuscus, Carassius auratus"
ESV_009770,Cyprinus carpio,"Cyprinus rubrofuscus, Carassius auratus"
ESV_009866,Pimephales promelas,NA
ESV_009968,Micropterus salmoides,Micropterus floridanus
ESV_009993,Gambusia affinis,NA
ESV_010025,Engraulis mordax,NA
ESV_010047,Gillichthys mirabilis,NA
ESV_010759,Cottus asper,NA
ESV_011690,Anguilla rostrata,NA
ESV_015498,Carassius auratus,NA
ESV_018065,Leptocottus armatus,NA
ESV_018602,Cymatogaster aggregata,NA
ESV_019226,"Menidia beryllina, Menidia audens",NA
ESV_021894,Cyprinus carpio,"Cyprinus rubrofuscus, Carassius auratus"
ESV_023441,Lepomis cyanellus,NA
ESV_023862,Citharichthys stigmaeus,NA
ESV_024716,Cymatogaster aggregata,NA
ESV_025187,Lepomis cyanellus,NA
ESV_027189,Leuresthes tenuis,NA
ESV_027316,Atherinopsis californiensis,NA
ESV_027320,Paralichthys californicus,NA
ESV_028247,Atherinops affinis,NA
ESV_028345,Clevelandia ios,NA
ESV_038179,Hypsopsetta guttulata,NA
ESV_038216,Gila orcuttii,NA
ESV_039650,Mugil cephalus,NA
ESV_039651,Atherinops affinis,NA
ESV_039657,Leptocottus armatus,NA
ESV_039822,Cyprinus carpio,"Cyprinus rubrofuscus, Carassius auratus"
ESV_040187,Eucyclogobius newberryi,NA
ESV_040188,Atherinops affinis,NA
ESV_040189,Atherinops affinis,NA
ESV_067255,Gambusia affinis,NA
ESV_067256,Gambusia affinis,NA
ESV_067257,Eucyclogobius newberryi,NA
ESV_067260,Eucyclogobius newberryi,NA
ESV_067261,Leptocottus armatus,NA
ESV_067262,"Menidia beryllina, Menidia audens",NA
ESV_067263,"Menidia beryllina, Menidia audens",NA
ESV_067264,"Menidia beryllina, Menidia audens",NA
ESV_067266,Gambusia affinis,NA
ESV_067268,Clevelandia ios,NA
ESV_067270,Cymatogaster aggregata,NA
ESV_067271,Atherinops affinis,NA
ESV_067273,Mugil cephalus,NA
ESV_067274,Mugil cephalus,NA
ESV_067275,Mugil cephalus,NA
ESV_067276,Atherinops affinis,NA
ESV_067277,Leptocottus armatus,NA
ESV_067278,Gillichthys mirabilis,NA
ESV_067279,Eucyclogobius newberryi,NA
ESV_067280,Mugil cephalus,NA
ESV_067281,Gambusia affinis,NA
ESV_067282,Cymatogaster aggregata,NA
ESV_067283,Mugil cephalus,NA
ESV_067284,Atherinops affinis,NA
ESV_067285,Pimephales promelas,NA
ESV_067286,"Menidia beryllina, Menidia audens",NA
ESV_067287,Lepomis cyanellus,NA
ESV_067288,Cyprinus carpio,"Cyprinus rubrofuscus, Carassius auratus"
ESV_067290,Gambusia affinis,NA
ESV_067291,Lepomis cyanellus,NA
ESV_067293,Atherinops affinis,NA
ESV_067294,Atherinops affinis,NA
ESV_067296,Mugil cephalus,NA
