Field,Entries
Title,Final_Matches_esv_data
Dataset_Author,Kevin D. Lafferty
Dataset_Format,spreadsheet
Date,20230801
Link,URL pending
Abstract,"Metabarcode data offer several hypothesized taxa for each ASV in a sample. To convert these data into a single taxon, a consensus taxonomy is required. Here, one taxon_name is given per ASV, a second column indicates if there are alternative likely names."
Purpose,The consensus taxonomy can be used to evaluate the biodiversity captured in a metabarcode sample. This is used here to create the DataToResampleMetabarcodesR.csv
Contact_Person,"file which, in turn, is used to generate species accumulation curves for metabarcoding."
Address 1(Number of Street),"US Geological Survey, Western Ecological Research Center, c/o Marine Science Institute, University of California"
Telephone,805 968 4226
City_State,"Santa Barbara, CA"
Zipcode,93106
Thesaurus,Thesaurus:None
Keyword,"Fishes, eDNA, Consensus taxonomy"
Taxonomy,Yes
Status,In work
Update_Plans,As Needed
Time_Period_Start,Time Period_Start:20220801
Time_Period_End,Time Period_End:20230801
Currentness_Reference,date pending
Native_Data_Set_Environment,CSV
Supplemental_Information,Supplemental Online Tables and Code
Spatial_Description,Southern California Estuaries: Santa Barbara and Ventura Counties
West,-120.1
East,-118.1
North,35.1
South,33.1
