BatchId,SampleId,Assay,Rep1,Rep2,Rep3,AvgCopyNum,PctDetection
JVB1846,0166WUI5,TidewaterGoby01,168,363,136,222.33,100.00
JVB1846,0EY3JUQG,TidewaterGoby01,640,586,654,626.67,100.00
JVB1846,0ICAOEM8,TidewaterGoby01,0,32,0,10.67,33.33
JVB1846,14CG6GVP,TidewaterGoby01,0,0,0,0.00,0.00
JVB1846,1Y7HTTUZ,TidewaterGoby01,0,0,0,0.00,0.00
JVB1846,3MN03WCU,TidewaterGoby01,990,1016,751,919.00,100.00
JVB1846,4K1V2B70,TidewaterGoby01,203,171,226,200.00,100.00
JVB1846,4LR1IE16,TidewaterGoby01,0,0,0,0.00,0.00
JVB1846,54M852FW,TidewaterGoby01,477,766,642,628.33,100.00
JVB1846,5DZGRPJ8,TidewaterGoby01,36,0,74,36.67,66.67
JVB1846,5NXLYMB4,TidewaterGoby01,0,0,0,0.00,0.00
JVB1846,5W8VHBOX,TidewaterGoby01,34,0,0,11.33,33.33
JVB1846,6FC330ZX,TidewaterGoby01,100,71,64,78.33,100.00
JVB1846,73HOCNFX,TidewaterGoby01,0,0,0,0.00,0.00
JVB1846,7VXU09E9,TidewaterGoby01,0,0,0,0.00,0.00
JVB1846,8FZSGQC6,TidewaterGoby01,1158,1037,865,1020.00,100.00
JVB1846,8HDYA6AT,TidewaterGoby01,585,574,708,622.33,100.00
JVB1846,8TNQ3QEN,TidewaterGoby01,654,496,481,543.67,100.00
JVB1846,8YPPQ58L,TidewaterGoby01,503,699,599,600.33,100.00
JVB1846,97QVXLNB,TidewaterGoby01,1298,1293,1350,1313.67,100.00
JVB1846,9H0R367Q,TidewaterGoby01,0,0,0,0.00,0.00
JVB1846,A3T3UW2T,TidewaterGoby01,1145,1029,1299,1157.67,100.00
JVB1846,A6GEWDM0,TidewaterGoby01,900,699,853,817.33,100.00
JVB1846,AF6NPL98,TidewaterGoby01,83,179,147,136.33,100.00
JVB1846,AV1G647K,TidewaterGoby01,0,0,0,0.00,0.00
JVB1846,BDLUWJ2A,TidewaterGoby01,0,0,0,0.00,0.00
JVB1846,BWKIVG5R,TidewaterGoby01,0,0,0,0.00,0.00
