Estuary,SiteName,SampleId,taxon_name,sumreads
Santa Clara River,J Street Canal,0EY3JUQG,Atherinops affinis,2469
Ormond Lagoon,Revlon Slough - Up 2,1Y7HTTUZ,Atherinops affinis,1829
Santa Clara River,J Street Canal,3MN03WCU,Atherinops affinis,2680
Santa Clara River,J Street Canal,4K1V2B70,Atherinops affinis,7459
Calleguas Creek,Calleagus Creek Bridge - down 2,4LR1IE16,Atherinops affinis,1366
Santa Clara River,J Street Canal,54M852FW,Atherinops affinis,3170
Calleguas Creek,Devereux COPR Bridge,5NXLYMB4,Atherinops affinis,1126
Devereux Slough,Santa Clara River Mouth,5W8VHBOX,Atherinops affinis,21
Ormond Lagoon,Revlon Slough - Up 2,73HOCNFX,Atherinops affinis,2605
Santa Clara River,J Street Canal,8FZSGQC6,Atherinops affinis,4958
Santa Clara River,J Street Canal,8HDYA6AT,Atherinops affinis,9626
Santa Clara River,J Street Canal,8TNQ3QEN,Atherinops affinis,5066
Santa Clara River,J Street Canal,8YPPQ58L,Atherinops affinis,20433
Santa Clara River,J Street Canal,97QVXLNB,Atherinops affinis,4592
Calleguas Creek,Calleagus Creek Bridge - up 2,9H0R367Q,Atherinops affinis,2027
Santa Clara River,J Street Canal,A6GEWDM0,Atherinops affinis,3497
Calleguas Creek,Calleagus Creek Bridge - up 3,AV1G647K,Atherinops affinis,6020
Calleguas Creek,Calleagus Creek Bridge - down 1,BDLUWJ2A,Atherinops affinis,1323
Calleguas Creek,Calleagus Creek Bridge - up 2,BWKIVG5R,Atherinops affinis,910
Calleguas Creek,Calleagus Creek Bridge - down 2,CXM7RKC1,Atherinops affinis,687
Calleguas Creek,Devereux COPR Bridge,EEYYMPOX,Atherinops affinis,709
Santa Clara River,J Street Canal,EOLR86S9,Atherinops affinis,3635
Calleguas Creek,Revlon Slough - Up 1,F33R74EO,Atherinops affinis,1924
Santa Clara River,J Street Canal,GI9NGV51,Atherinops affinis,9877
Devereux Slough,Devereux Slough Mouth,HX9SCNUT,Atherinops affinis,1947
Calleguas Creek,Calleagus Creek Bridge - up 1,I3ZGR5GC,Atherinops affinis,1439
Santa Clara River,J Street Canal,ICW0XL4W,Atherinops affinis,1831
Calleguas Creek,Devereux COPR Bridge,IF7K5NQF,Atherinops affinis,4708
Calleguas Creek,Devereux COPR Bridge,IUL4EQNP,Atherinops affinis,1646
Santa Clara River,J Street Canal,K49UTWXN,Atherinops affinis,12782
Devereux Slough,Devereux Slough Mouth,LVO3QRLX,Atherinops affinis,247
Calleguas Creek,Calleagus Creek Bridge - up 3,N6M3N6LT,Atherinops affinis,9341
Calleguas Creek,Calleagus Creek Bridge - up 1,NJCNWIUD,Atherinops affinis,1913
Calleguas Creek,Revlon Slough - Down 1,NQ36AGNG,Atherinops affinis,1466
Santa Clara River,J Street Canal,O97C31FZ,Atherinops affinis,909
Devereux Slough,Santa Clara River Mouth,PFDNIGDZ,Atherinops affinis,8
Santa Clara River,J Street Canal,PKC9HRCO,Atherinops affinis,4111
Devereux Slough,Devereux Slough Mouth,PKPYEKF3,Atherinops affinis,39
Calleguas Creek,Devereux COPR Bridge,QAYFMDLF,Atherinops affinis,5740
Devereux Slough,Devereux Slough Mouth,QF6Y61R2,Atherinops affinis,1954
Santa Clara River,J Street Canal,QKOK5NVQ,Atherinops affinis,3121
Devereux Slough,Devereux Slough Mouth,RJC5NWS7,Atherinops affinis,713
Santa Clara River,J Street Canal,RV1Z2FN1,Atherinops affinis,9996
Santa Clara River,J Street Canal,T6UYA40I,Atherinops affinis,5283
Calleguas Creek,Calleagus Creek Bridge - down 1,UQDK4PXP,Atherinops affinis,1783
Santa Clara River,J Street Canal,V12I57BA,Atherinops affinis,10317
Calleguas Creek,Revlon Slough - Up 1,V7RYHLTF,Atherinops affinis,306
Calleguas Creek,Revlon Slough - Down 1,XVU6B64D,Atherinops affinis,1219
Santa Clara River,J Street Canal,YCSYA7NE,Atherinops affinis,9292
Devereux Slough,Santa Clara River Mouth,0166WUI5,Carassius auratus,31
Devereux Slough,Santa Clara River Mouth,VTSM35KT,Carassius auratus,55
Calleguas Creek,Revlon Slough - Down 1,NQ36AGNG,Citharichthys stigmaeus,10
Ormond Lagoon,Revlon Slough - Up 2,1Y7HTTUZ,Clevelandia ios,116
Calleguas Creek,Calleagus Creek Bridge - down 2,4LR1IE16,Clevelandia ios,40
Devereux Slough,Santa Clara River Mouth,5DZGRPJ8,Clevelandia ios,17
