Field,Entries
Title,New_Estuary_Data
Dataset_Author,Kevin D. Lafferty
Dataset_Format,spreadsheet
Date,20230801
Link,URL pending
Abstract,This file summarizes the consensus taxonomy for each metabarcoding sample per site per estuary along with the sum reads.    This file is derived by combining the Final_Matches-esv.data.csv and the Estuaries2022-MiFishU-metadata.csv. Note that these data include several estuaries in addition to Calleguas Creek
Purpose,These data are used to estimate how well tidewater gobies are detected by metabarcoding (for comparison with qPCR). They are also used to estimate the plausible list of taxa detected by metabarcoding.
Contact_Person,Kevin D. Lafferty
Address 1(Number of Street),"US Geological Survey, Western Ecological Research Center, c/o Marine Science Institute, University of California"
Telephone,805 968 4226
City_State,"Santa Barbara, CA"
Zipcode,93106
Thesaurus,Thesaurus:None
Keyword,"Fishes, eDNA, Consensus taxonomy"
Taxonomy,Yes
Status,In work
Update_Plans,As Needed
Time_Period_Start,Time Period_Start:20220801
Time_Period_End,Time Period_End:20230801
Currentness_Reference,date pending
Native_Data_Set_Environment,CSV
Supplemental_Information,Supplemental Online Tables and Code
Spatial_Description,Southern California Estuaries: Santa Barbara and Ventura Counties
West,-120.1
East,-118.1
North,35.1
South,33.1
