site,sample,pcr1,pcr2,pcr3,pcr4,pcr5,pcr6,Big_Lagoon,Davis_Lake,Eel_River_Estuary_Preserve,HBNWR_SCU_North,HBNWR_SCU_South,Lake_Earl,Martin_Slough_,Ocean_Ranch,Salt_River,Stone_Lagoon,Ten_Mile_River,Tillas_Slough
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,0,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,0,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2,0,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,2,1,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
5,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
5,2,1,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
6,2,1,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
7,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
7,2,0,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
8,2,1,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2,0,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2,0,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
11,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
11,2,0,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
12,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
12,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
13,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
13,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
14,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
14,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
15,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
15,2,0,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
16,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
16,2,0,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
17,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
17,2,1,,,,,,0,0,0,0,0,0,1,0,0,0,0,0
18,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
18,2,1,,,,,,0,0,0,0,0,0,1,0,0,0,0,0
19,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
19,2,1,,,,,,0,0,0,0,0,0,1,0,0,0,0,0
20,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
20,2,1,,,,,,0,0,0,0,0,0,1,0,0,0,0,0
21,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
21,2,1,,,,,,0,0,0,0,0,0,1,0,0,0,0,0
22,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
22,2,1,,,,,,0,0,0,0,0,0,1,0,0,0,0,0
23,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
23,2,1,,,,,,0,0,0,0,0,0,1,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,2,0,,,,,,0,0,0,0,0,0,1,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,2,0,,,,,,0,0,0,0,0,0,1,0,0,0,0,0
