Test;Test301;;;;;;;;;;;;;;;;;;;;;
Mud;MA;;;;;;;;;;;;;;;Column 1 was misplaced in the outer left position. The backlight quality at this location influenced the processing of these images in a negative way;;;;;;
Duration;;;;;;;;;;;;;;;;;;;;;;
Column;Col1;;;;;;;;;;;;;;;;;;;;;
ClimateDataFile;C:\_data\18_005 slibkolom\Proefbeelden kolommen\Run 3\Test301_MA\Test301_ClimatedataHal3.csv;;;;;;;;;;;;;;;;;;;;;
Time Stamp;C:\_projects\18_005_MudConsolidationColumns\Processing\Branch\10SmallColumns\Source\TFS\TFS_Tubes_v1\TFS_Tubes_col1_Test301.ini;;;;;;;;;;;;;;;;;;;;;
Timestamp;Timestamp [s];ImageNr;Image1;Image2;Image3;Temperature [°C];Relative Humidity [%];Column1 [px];Column1 Valid;Column2 [px];Column2 Valid;Column3 [px];Column3 Valid;;;;;? Z1;;? Z2;;? Z3
26/05/2020 12:11;0;1;Image20200526-111149_1_65.000.bmp;Image20200526-111149_1_80.000.bmp;Image20200526-111149_1_120.000.bmp;;;9.538.546;TRUE;9.452.365;TRUE;9.434.471;TRUE;;;? time;;[# pixels];;[# pixels];;[# pixels]
26/05/2020 12:26;899;2;Image20200526-112648_2_65.000.bmp;Image20200526-112648_2_80.000.bmp;Image20200526-112648_2_120.000.bmp;;;9.322.485;TRUE;9.789.010;TRUE;9.778.155;TRUE;;;899;;;;336.645;;343.684
26/05/2020 12:41;1800;3;Image20200526-114149_3_65.000.bmp;Image20200526-114149_3_80.000.bmp;Image20200526-114149_3_120.000.bmp;;;10.200.891;TRUE;10.162.303;TRUE;10.192.291;TRUE;;;901;;878.406;;373.293;;414.136
26/05/2020 12:56;2700;4;Image20200526-115649_4_65.000.bmp;Image20200526-115649_4_80.000.bmp;Image20200526-115649_4_120.000.bmp;;;10.618.358;TRUE;10.508.392;TRUE;10.598.870;TRUE;;;900;;417.467;;346.089;;406.579
26/05/2020 13:11;3600;5;Image20200526-121149_5_65.000.bmp;Image20200526-121149_5_80.000.bmp;Image20200526-121149_5_120.000.bmp;;;11.045.535;TRUE;10.869.246;TRUE;11.013.248;TRUE;;;900;;427.177;;360.854;;414.378
26/05/2020 13:26;4499;6;Image20200526-122648_6_65.000.bmp;Image20200526-122648_6_80.000.bmp;Image20200526-122648_6_120.000.bmp;;;11.485.612;TRUE;11.252.681;TRUE;11.449.445;TRUE;;;899;;440.077;;383.435;;436.197
26/05/2020 13:41;5400;7;Image20200526-124149_7_65.000.bmp;Image20200526-124149_7_80.000.bmp;Image20200526-124149_7_120.000.bmp;;;11.928.049;TRUE;11.659.265;TRUE;11.890.417;TRUE;;;901;;442.437;;406.584;;440.972
26/05/2020 13:56;6300;8;Image20200526-125649_8_65.000.bmp;Image20200526-125649_8_80.000.bmp;Image20200526-125649_8_120.000.bmp;;;12.366.190;TRUE;12.061.982;TRUE;12.336.041;TRUE;;;900;;438.141;;402.717;;445.624
26/05/2020 14:11;7200;9;Image20200526-131149_9_65.000.bmp;Image20200526-131149_9_80.000.bmp;Image20200526-131149_9_120.000.bmp;;;12.806.365;TRUE;12.502.692;TRUE;12.795.107;TRUE;;;900;;440.175;;440.710;;459.066
26/05/2020 14:26;8099;10;Image20200526-132648_10_65.000.bmp;Image20200526-132648_10_80.000.bmp;Image20200526-132648_10_120.000.bmp;;;13.246.964;TRUE;12.979.056;TRUE;13.262.669;TRUE;;;899;;440.599;;476.364;;467.562
26/05/2020 14:41;9000;11;Image20200526-134149_11_65.000.bmp;Image20200526-134149_11_80.000.bmp;Image20200526-134149_11_120.000.bmp;;;13.693.927;TRUE;13.484.888;TRUE;13.746.258;TRUE;;;901;;446.963;;505.832;;483.589
26/05/2020 14:56;9900;12;Image20200526-135649_12_65.000.bmp;Image20200526-135649_12_80.000.bmp;Image20200526-135649_12_120.000.bmp;;;14.142.740;TRUE;13.983.671;TRUE;14.232.322;TRUE;;;900;;448.813;;498.783;;486.064
26/05/2020 15:11;10800;13;Image20200526-141149_13_65.000.bmp;Image20200526-141149_13_80.000.bmp;Image20200526-141149_13_120.000.bmp;;;14.589.592;TRUE;14.473.770;TRUE;14.717.889;TRUE;;;900;;446.852;;490.099;;485.567
26/05/2020 15:26;11700;14;Image20200526-142649_14_65.000.bmp;Image20200526-142649_14_80.000.bmp;Image20200526-142649_14_120.000.bmp;;;15.024.708;TRUE;14.967.458;TRUE;15.200.984;TRUE;;;900;;435.116;;493.688;;483.095
26/05/2020 15:41;12600;15;Image20200526-144149_15_65.000.bmp;Image20200526-144149_15_80.000.bmp;Image20200526-144149_15_120.000.bmp;;;15.393.706;TRUE;15.440.279;TRUE;15.677.964;TRUE;;;900;;368.998;;472.821;;476.980
26/05/2020 15:56;13500;16;Image20200526-145649_16_65.000.bmp;Image20200526-145649_16_80.000.bmp;Image20200526-145649_16_120.000.bmp;;;15.624.387;TRUE;15.794.922;TRUE;16.111.297;TRUE;;;900;;230.681;;354.643;;433.333
26/05/2020 16:11;14400;17;Image20200526-151149_17_65.000.bmp;Image20200526-151149_17_80.000.bmp;Image20200526-151149_17_120.000.bmp;;;15.877.452;TRUE;16.067.244;TRUE;16.441.915;TRUE;;;900;;253.065;;272.322;;330.618
26/05/2020 16:26;15300;18;Image20200526-152649_18_65.000.bmp;Image20200526-152649_18_80.000.bmp;Image20200526-152649_18_120.000.bmp;;;16.063.487;TRUE;16.312.086;TRUE;16.689.922;TRUE;;;900;;186.035;;244.842;;248.007
26/05/2020 16:41;16200;19;Image20200526-154149_19_65.000.bmp;Image20200526-154149_19_80.000.bmp;Image20200526-154149_19_120.000.bmp;;;16.193.541;TRUE;16.513.209;TRUE;16.886.823;TRUE;;;900;;130.054;;201.123;;196.901
26/05/2020 16:56;17100;20;Image20200526-155649_20_65.000.bmp;Image20200526-155649_20_80.000.bmp;Image20200526-155649_20_120.000.bmp;;;16.347.019;TRUE;16.640.343;TRUE;17.070.374;TRUE;;;900;;153.478;;127.134;;183.551
26/05/2020 17:11;18000;21;Image20200526-161149_21_65.000.bmp;Image20200526-161149_21_80.000.bmp;Image20200526-161149_21_120.000.bmp;;;;FALSE;16.771.349;TRUE;17.214.812;TRUE;;;900;;;;131.006;;144.438
26/05/2020 17:26;18899;22;Image20200526-162648_22_65.000.bmp;Image20200526-162648_22_80.000.bmp;Image20200526-162648_22_120.000.bmp;;;16.539.559;TRUE;16.884.500;TRUE;17.350.150;TRUE;;;899;;;;113.151;;135.338
26/05/2020 17:41;19800;23;Image20200526-164149_23_65.000.bmp;Image20200526-164149_23_80.000.bmp;Image20200526-164149_23_120.000.bmp;;;16.621.172;TRUE;16.983.029;TRUE;17.470.766;TRUE;;;901;;81.613;;98.529;;120.616
26/05/2020 17:56;20700;24;Image20200526-165649_24_65.000.bmp;Image20200526-165649_24_80.000.bmp;Image20200526-165649_24_120.000.bmp;;;16.728.658;TRUE;17.069.840;TRUE;17.564.774;TRUE;;;900;;107.486;;86.811;;94.008
26/05/2020 18:11;21600;25;Image20200526-171149_25_65.000.bmp;Image20200526-171149_25_80.000.bmp;Image20200526-171149_25_120.000.bmp;;;16.815.782;TRUE;17.149.428;TRUE;17.686.499;TRUE;;;900;;87.124;;79.588;;121.725
26/05/2020 18:26;22499;26;Image20200526-172648_26_65.000.bmp;Image20200526-172648_26_80.000.bmp;Image20200526-172648_26_120.000.bmp;;;16.882.912;TRUE;17.227.869;TRUE;17.765.558;TRUE;;;899;;67.130;;78.441;;79.059
26/05/2020 18:41;23400;27;Image20200526-174149_27_65.000.bmp;Image20200526-174149_27_80.000.bmp;Image20200526-174149_27_120.000.bmp;;;16.950.066;TRUE;17.294.139;TRUE;17.838.900;TRUE;;;901;;67.154;;66.270;;73.342
26/05/2020 18:56;24300;28;Image20200526-175649_28_65.000.bmp;Image20200526-175649_28_80.000.bmp;Image20200526-175649_28_120.000.bmp;;;17.013.672;TRUE;17.352.277;TRUE;17.904.111;TRUE;;;900;;63.606;;58.138;;65.211
26/05/2020 19:11;25200;29;Image20200526-181149_29_65.000.bmp;Image20200526-181149_29_80.000.bmp;Image20200526-181149_29_120.000.bmp;;;17.075.836;TRUE;17.405.811;TRUE;17.961.011;TRUE;;;900;;62.164;;53.534;;56.900
26/05/2020 19:26;26100;30;Image20200526-182649_30_65.000.bmp;Image20200526-182649_30_80.000.bmp;Image20200526-182649_30_120.000.bmp;;;17.135.573;TRUE;17.457.791;TRUE;18.013.874;TRUE;;;900;;59.737;;51.980;;52.863
26/05/2020 19:41;27000;31;Image20200526-184149_31_65.000.bmp;Image20200526-184149_31_80.000.bmp;Image20200526-184149_31_120.000.bmp;;;17.194.562;TRUE;17.509.426;TRUE;18.060.974;TRUE;;;900;;58.989;;51.635;;47.100
26/05/2020 19:56;27900;32;Image20200526-185649_32_65.000.bmp;Image20200526-185649_32_80.000.bmp;Image20200526-185649_32_120.000.bmp;;;17.244.080;TRUE;17.556.646;TRUE;18.108.832;TRUE;;;900;;49.518;;47.220;;47.858
26/05/2020 20:11;28800;33;Image20200526-191149_33_65.000.bmp;Image20200526-191149_33_80.000.bmp;Image20200526-191149_33_120.000.bmp;;;17.294.992;TRUE;17.605.451;TRUE;18.151.555;TRUE;;;900;;50.912;;48.805;;42.723
