sample_id_fastq,barcoding_id,taxonomy,sample_type,tank_id,treatment,treatment_tank,sampling_rank,sampling_day,sampling_date,position_in_the_tank
M-B750-B,M_B750_B,Sediment,Sediment,Sea,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B751-B,M_B751_B,Sediment,Sediment,Sea,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B753-B,M_B753_B,Sediment,Sediment,Sea,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B754-B,M_B754_B,Sediment,Sediment,Sea,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B755-B,M_B755_B,Sediment,Sediment,Sea,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B756-B,M_B756_B,Sediment,Sediment,Bucket,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B757-B,M_B757_B,Sediment,Sediment,Bucket,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B758-B,M_B758_B,Sediment,Sediment,Bucket,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B759-B,M_B759_B,Sediment,Sediment,Bucket,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B760-B,M_B760_B,Sediment,Sediment,Bucket,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B761-B,M_B761_B,Sediment,Sediment,Bucket,Environmental_control,Environmental_control,m_00,0,2019-05-07,NA
M-B762-B,M_B762_B,Sediment,Sediment,1,Fish,F1,m_08,8,2019-05-15,tank
M-B763-B,M_B763_B,Sediment,Sediment,1,Fish,F1,m_08,8,2019-05-15,tank
M-B764-B,M_B764_B,Sediment,Sediment,1,Fish,F1,m_08,8,2019-05-15,tank
M-B765-B,M_B765_B,Sediment,Sediment,1,Fish,F1,m_08,8,2019-05-15,open_shelter
M-B766-B,M_B766_B,Sediment,Sediment,1,Fish,F1,m_08,8,2019-05-15,open_shelter
M-B767-B,M_B767_B,Sediment,Sediment,1,Fish,F1,m_08,8,2019-05-15,closed_shelter
M-B768-B,M_B768_B,Sediment,Sediment,2,Control,C2,m_08,8,2019-05-15,tank
M-B769-B,M_B769_B,Sediment,Sediment,2,Control,C2,m_08,8,2019-05-15,tank
M-B770-B,M_B770_B,Sediment,Sediment,2,Control,C2,m_08,8,2019-05-15,tank
M-B771-B,M_B771_B,Sediment,Sediment,2,Control,C2,m_08,8,2019-05-15,open_shelter
