Treatment,Species,log10_gene_copy
A,Rpad,5.105
A,Rpad,6.15
A,Rpad,4.81
A,Rpad,4.034
A,Rpad,3.609
A,Rpad,6.466
A,Rpad,5.545
A,Rpad,5.097
A,Rpad,4.694
A,Rpad,7.39
A,Rpad,5.95
A,Rpad,5.781
A,Rpad,6.679
A,Rpad,5.761
A,Rpad,5.613
A,Rpad,5.235
A,Rpad,3.598
E,Rpad,5.311
E,Rpad,5.797
E,Rpad,5.812
E,Rpad,3.686
E,Rpad,4.865
E,Rpad,3.709
E,Rpad,2.771
E,Rpad,3.58
E,Rpad,4.773
E,Rpad,4.315
E,Rpad,5.224
E,Rpad,6.45
E,Rpad,6.266
E,Rpad,4.291
E,Rpad,5.158
A,Save,3.717
A,Save,4.768
A,Save,6.126
A,Save,4.765
A,Save,4.038
A,Save,3.601
A,Save,6.486
A,Save,5.772
A,Save,5.261
A,Save,4.907
A,Save,7.382
A,Save,4.112
A,Save,5.743
A,Save,5.669
A,Save,6.575
A,Save,5.575
A,Save,5.284
A,Save,6.049
A,Save,5.285
A,Save,5.076
A,Save,3.874
E,Save,5.001
E,Save,5.315
E,Save,5.766
E,Save,3.497
E,Save,4.539
E,Save,3.979
E,Save,3.87
E,Save,4.421
E,Save,3.957
E,Save,6.091
E,Save,3.515
E,Save,4.651
E,Save,5.759
E,Save,4.765
E,Save,6.436
E,Save,6.171
E,Save,4.365
E,Save,5.046
E,Save,6.654
A,Sgra,2.386
A,Sgra,2.402
A,Sgra,2.368
A,Sgra,2.475
A,Sgra,2.008
A,Sgra,2.648
A,Sgra,4.015
A,Sgra,2.251
A,Sgra,2.493
A,Sgra,2.497
A,Sgra,2.138
A,Sgra,3.746
A,Sgra,2.83
A,Sgra,3.084
A,Sgra,3.054
A,Sgra,2.194
E,Sgra,3.775
E,Sgra,2.468
E,Sgra,2.749
E,Sgra,2.428
E,Sgra,2.55
E,Sgra,2.269
E,Sgra,3.806
E,Sgra,1.887
E,Sgra,2.051
E,Sgra,1.748
E,Sgra,2.141
E,Sgra,2.586
E,Sgra,2.054
E,Sgra,1.974
E,Sgra,1.837
E,Sgra,1.871
