Ha_stage,Treatment,Prey,samples,Prey_density,Live_aphids_24h,Dead_aphid_24h,Predation_24h
larva,A,Save,A50-1,50,23,0,27
larva,A,Save,A50-2,50,29,0,21
larva,A,Save,A50-3,50,30,0,20
larva,A,Save,A50-4,50,22,0,28
larva,A,Save,A50-5,50,17,0,33
larva,A,Save,A100-1,100,76,1,23
larva,A,Save,A100-2,100,76,0,24
larva,A,Save,A100-3,100,67,3,30
larva,A,Save,A100-4,100,70,0,30
larva,A,Save,A100-5,100,71,0,29
larva,A,Save,A150-1,150,115,0,35
larva,A,Save,A150-2,150,111,0,39
larva,A,Save,A150-3,150,105,2,43
larva,A,Save,A150-4,150,101,1,48
larva,A,Save,A150-5,150,109,0,41
larva,A,Save,A200-1,200,154,1,45
larva,A,Save,A200-2,200,165,0,35
larva,A,Save,A200-3,200,160,0,40
larva,A,Save,A200-4,200,151,1,48
larva,A,Save,A200-5,200,155,0,45
larva,A,Save,A250-1,250,209,1,40
larva,A,Save,A250-2,250,198,0,52
larva,A,Save,A250-3,250,187,4,59
larva,A,Save,A250-4,250,170,2,78
larva,A,Save,A250-5,250,194,2,54
larva,E,Save,E50-1,50,25,2,23
larva,E,Save,E50-2,50,0,0,50
larva,E,Save,E50-3,50,0,0,50
larva,E,Save,E50-4,50,27,1,22
larva,E,Save,E50-5,50,0,0,50
larva,E,Save,E100-1,100,45,2,53
larva,E,Save,E100-2,100,48,0,52
larva,E,Save,E100-3,100,66,1,33
larva,E,Save,E100-4,100,62,0,38
larva,E,Save,E100-5,100,46,0,54
larva,E,Save,E150-1,150,101,2,47
larva,E,Save,E150-2,150,90,1,59
larva,E,Save,E150-3,150,82,0,68
larva,E,Save,E150-4,150,91,0,59
larva,E,Save,E150-5,150,78,0,72
larva,E,Save,E200-1,200,118,2,80
larva,E,Save,E200-2,200,126,0,74
larva,E,Save,E200-3,200,135,0,65
larva,E,Save,E200-4,200,133,0,67
larva,E,Save,E200-5,200,139,3,58
larva,E,Save,E250-1,250,171,1,78
larva,E,Save,E250-2,250,152,0,98
larva,E,Save,E250-3,250,158,4,88
larva,E,Save,E250-4,250,186,2,62
larva,E,Save,E250-5,250,169,1,80
larva,A,Rpad,A50-1,50,0,0,50
larva,A,Rpad,A50-2,50,19,0,31
larva,A,Rpad,A50-3,50,24,3,23
larva,A,Rpad,A50-4,50,20,0,30
larva,A,Rpad,A50-5,50,46,0,4
larva,A,Rpad,A100-1,100,73,0,27
larva,A,Rpad,A100-2,100,19,1,80
larva,A,Rpad,A100-3,100,74,3,23
larva,A,Rpad,A100-4,100,59,6,35
larva,A,Rpad,A100-5,100,80,5,15
larva,A,Rpad,A150-1,150,131,2,17
larva,A,Rpad,A150-2,150,121,1,28
larva,A,Rpad,A150-3,150,130,1,19
larva,A,Rpad,A150-4,150,125,2,23
larva,A,Rpad,A150-5,150,92,0,58
larva,A,Rpad,A200-1,200,166,2,32
larva,A,Rpad,A200-2,200,160,4,36
larva,A,Rpad,A200-3,200,175,5,20
larva,A,Rpad,A200-4,200,163,2,35
larva,A,Rpad,A200-5,200,154,4,42
larva,A,Rpad,A250-1,250,189,2,59
larva,A,Rpad,A250-2,250,194,0,56
larva,A,Rpad,A250-3,250,202,2,46
larva,A,Rpad,A250-4,250,198,0,52
larva,A,Rpad,A250-5,250,183,2,65
larva,E,Rpad,E50-1,50,43,0,7
larva,E,Rpad,E50-2,50,16,0,34
larva,E,Rpad,E50-3,50,23,0,27
larva,E,Rpad,E50-4,50,28,0,22
larva,E,Rpad,E50-5,50,17,0,33
larva,E,Rpad,E100-1,100,71,0,29
larva,E,Rpad,E100-2,100,72,3,25
larva,E,Rpad,E100-3,100,57,0,43
larva,E,Rpad,E100-4,100,79,1,20
larva,E,Rpad,E100-5,100,88,0,12
larva,E,Rpad,E150-1,150,113,0,37
larva,E,Rpad,E150-2,150,86,1,63
larva,E,Rpad,E150-3,150,98,0,52
larva,E,Rpad,E150-4,150,39,1,110
larva,E,Rpad,E150-5,150,110,2,38
larva,E,Rpad,E200-1,200,174,1,25
larva,E,Rpad,E200-2,200,141,2,57
larva,E,Rpad,E200-3,200,132,4,64
larva,E,Rpad,E200-4,200,140,0,60
larva,E,Rpad,E200-5,200,148,3,49
larva,E,Rpad,E250-1,250,188,6,56
larva,E,Rpad,E250-2,250,169,2,79
larva,E,Rpad,E250-3,250,196,1,53
larva,E,Rpad,E250-4,250,155,4,91
larva,E,Rpad,E250-5,250,162,3,85
adult,A,Save,A50-1,50,39,1,10
adult,A,Save,A50-2,50,6,0,44
adult,A,Save,A50-3,50,31,0,19
adult,A,Save,A50-4,50,33,0,17
adult,A,Save,A50-5,50,8,1,41
adult,A,Save,A100-1,100,71,0,29
adult,A,Save,A100-2,100,66,2,32
adult,A,Save,A100-3,100,63,1,36
adult,A,Save,A100-4,100,65,1,34
adult,A,Save,A100-5,100,56,0,44
adult,A,Save,A150-1,150,92,0,58
adult,A,Save,A150-2,150,106,1,43
adult,A,Save,A150-3,150,116,1,33
adult,A,Save,A150-4,150,111,2,37
adult,A,Save,A150-5,150,97,4,49
adult,A,Save,A200-1,200,152,4,44
adult,A,Save,A200-2,200,171,1,28
adult,A,Save,A200-3,200,167,6,27
adult,A,Save,A200-4,200,176,2,22
adult,A,Save,A200-5,200,144,1,55
adult,A,Save,A250-1,250,201,3,46
adult,A,Save,A250-2,250,212,1,37
adult,A,Save,A250-3,250,183,2,65
adult,A,Save,A250-4,250,218,2,30
adult,A,Save,A250-5,250,172,0,78
adult,E,Save,E50-1,50,20,0,30
adult,E,Save,E50-2,50,9,0,41
adult,E,Save,E50-3,50,27,0,23
adult,E,Save,E50-4,50,21,0,29
adult,E,Save,E50-5,50,10,0,40
