Treatment,Species,ID,DNA_concentration(nG/µL),CT1,CT2,CT3,CTM,log_gene_copy
A,Save,Sm-A1-0h,334.027,16.485,16.260,16.212,16.319,6.350
A,Save,Sm-A3-0h,1092.492,17.403,17.743,17.582,17.576,5.924
A,Save,Sm-A4-0h,1428.706,19.200,19.289,19.245,19.245,5.358
A,Save,Sm-A5-0h,795.896,16.477,16.320,16.138,16.312,6.353
A,Save,Sm-A1-2h,1379.139,36.990,19.524,19.436,19.480,5.278
A,Save,Sm-A2-2h,138.041,23.334,23.202,22.594,23.044,4.069
A,Save,Sm-A3-2h,712.025,19.233,19.264,19.310,19.269,5.350
A,Save,Sm-A4-2h,1204.121,20.262,20.241,20.349,20.284,5.005
A,Save,Sm-A5-2h,1504.181,19.874,19.925,19.661,19.820,5.163
A,Save,Sm-A1-0h,1320.908,30.259,17.309,17.441,17.375,5.992
A,Save,Sm-A2-4h,1188.610,21.296,21.109,21.024,21.143,4.714
A,Save,Sm-A3-4h,899.505,21.781,21.820,21.817,21.806,4.489
A,Save,Sm-A4-4h,785.339,24.661,25.327,NA,24.994,3.407
A,Save,Sm-A5-4h,878.213,23.994,23.972,23.810,23.925,3.770
A,Save,Sm-A6-4h,1222.050,22.548,22.252,NA,22.400,4.287
A,Save,Sm-A1-6h,1292.061,23.157,23.032,22.818,23.002,4.083
A,Save,Sm-A2-6h,354.682,23.246,23.202,23.399,23.283,3.988
A,Save,Sm-A3-6h,919.676,25.094,25.126,25.496,25.239,3.324
A,Save,Sm-A4-6h,1497.284,24.660,24.638,25.380,24.893,3.442
A,Save,Sm-A5-6h,228.953,25.847,25.203,15.531,25.525,3.227
A,Save,Sm-A1-8h,998.885,24.507,24.409,24.254,24.390,3.612
A,Save,Sm-A2-8h,795.289,24.665,24.877,24.952,24.831,3.462
A,Save,Sm-A3-8h,1239.230,24.014,23.958,24.078,24.017,3.739
A,Save,Sm-A4-8h,1331.122,24.172,24.252,24.643,24.356,3.624
A,Save,Sm-A5-8h,45.549,27.653,26.523,26.254,26.810,2.791
A,Rpad,Rp-A1-0h,738.150,17.474,17.189,17.432,17.365,6.378
A,Rpad,Rp-A2-0h,2215.183,19.002,18.788,18.735,18.842,5.900
A,Rpad,Rp-A3-0h,3426.020,19.117,19.225,19.107,19.149,5.801
A,Rpad,Rp-A4-0h,2896.550,18.252,18.087,18.326,18.222,6.101
A,Rpad,Rp-A5-0h,1032.761,18.438,18.411,18.376,18.408,6.041
A,Rpad,Rp-A1-2h,1102.258,23.379,23.439,23.548,23.455,4.406
A,Rpad,Rp-A2-2h,5431.470,23.327,23.114,23.068,23.170,4.499
A,Rpad,Rp-A3-2h,1181.004,24.651,24.894,23.786,24.443,4.087
A,Rpad,Rp-A4-2h,1482.405,24.849,24.647,27.495,25.664,3.691
A,Rpad,Rp-A1-4h,1234.282,23.963,23.975,24.302,24.080,4.204
A,Rpad,Rp-A2-4h,2240.449,24.606,24.554,24.533,24.564,4.047
A,Rpad,Rp-A3-4h,561.600,24.203,24.511,24.483,24.399,4.101
A,Rpad,Rp-A4-4h,1804.967,23.831,24.315,24.312,24.153,4.181
A,Rpad,Rp-A5-4h,1220.257,23.644,23.898,23.637,23.726,4.319
A,Rpad,Rp-A1-6h,835.518,25.597,25.629,25.713,25.646,3.697
A,Rpad,Rp-A2-6h,1126.304,25.316,25.833,25.472,25.540,3.731
A,Rpad,Rp-A3-6h,853.189,25.730,25.789,NA,25.759,3.661
A,Rpad,Rp-A4-6h,1860.332,26.831,27.087,27.480,27.133,3.216
A,Rpad,Rp-A5-6h,1453.757,26.280,26.722,26.400,26.467,3.431
A,Rpad,Rp-A1-8h,800.984,28.337,28.406,28.101,28.281,2.844
A,Rpad,Rp-A2-8h,920.977,28.522,28.401,28.179,28.367,2.816
A,Rpad,Rp-A3-8h,875.499,NA,28.162,28.123,28.142,2.889
A,Rpad,Rp-A4-8h,2370.593,28.728,28.536,28.687,28.650,2.724
A,Rpad,Rp-A5-8h,1449.676,28.778,28.843,NA,28.811,2.672
A,Sgra,Sg-A1-0h,2281.918,15.747,15.357,15.286,15.463,6.572
A,Sgra,Sg-A2-0h,1852.924,21.759,16.870,16.799,16.834,6.158
A,Sgra,Sg-A3-0h,846.494,15.551,15.631,15.465,15.549,6.546
A,Sgra,Sg-A4-0h,3199.055,16.707,16.570,16.415,16.564,6.239
A,Sgra,Sg-A6-0h,1797.943,16.113,36.291,15.729,15.921,6.434
A,Sgra,Sg-A1-2h,900.049,20.170,20.127,20.012,20.103,5.171
A,Sgra,Sg-A2-2h,3447.422,19.593,19.684,19.456,19.578,5.329
A,Sgra,Sg-A3-2h,1555.932,19.594,19.513,19.245,19.450,5.368
A,Sgra,Sg-A4-2h,1753.182,21.535,21.112,NA,21.324,4.802
A,Sgra,Sg-A5-2h,2213.120,19.197,19.274,19.267,19.246,5.429
A,Sgra,Sg-A2-4h,2415.944,23.983,24.123,24.189,24.099,3.964
A,Sgra,Sg-A3-4h,3952.627,22.583,22.258,22.554,22.465,4.457
A,Sgra,Sg-A5-4h,1196.168,20.679,20.519,21.459,20.886,4.934
A,Sgra,Sg-A1-4h,1711.545,23.462,23.652,24.099,23.738,4.073
A,Sgra,Sg-A2-4h,1634.831,23.881,24.294,24.432,24.202,3.932
A,Sgra,Sg-A1-6h,1556.168,26.159,24.961,26.241,25.787,3.454
A,Sgra,Sg-A2-6h,2160.398,26.221,26.815,27.457,26.831,3.138
A,Sgra,Sg-A3-6h,1101.809,26.509,25.805,26.082,26.132,3.350
A,Sgra,Sg-A4-6h,851.109,26.432,27.081,26.509,26.674,3.186
A,Sgra,Sg-A5-6h,1442.345,26.834,26.265,26.545,26.548,3.224
A,Sgra,Sg-A1-8h,2255.252,27.311,27.120,27.287,27.240,3.015
A,Sgra,Sg-A2-8h,1799.401,28.257,28.103,NA,28.180,2.731
A,Sgra,Sg-A3-8h,1620.742,27.958,28.128,27.749,27.945,2.802
A,Sgra,Sg-A4-8h,1638.434,27.517,27.968,27.886,27.790,2.849
A,Sgra,Sg-A5-8h,3075.251,28.369,28.596,NA,28.482,2.640
E,Save,Sm-E1-0h,1884.347,16.856,16.593,16.618,16.689,6.225
E,Save,Sm-E2-0h,1473.834,16.060,15.922,15.944,15.975,6.467
E,Save,Sm-E3-0h,2383.194,16.904,16.811,16.962,16.892,6.156
E,Save,Sm-E4-0h,1505.033,15.961,16.045,15.737,15.914,6.488
E,Save,Sm-E5-0h,2100.722,16.217,16.239,16.006,16.154,6.407
E,Save,Sm-E1-2h,2149.050,19.919,19.825,19.886,19.877,5.143
E,Save,Sm-E2-2h,1315.461,20.066,20.055,20.098,20.073,5.077
E,Save,Sm-E3-2h,1878.806,22.826,22.802,22.802,22.810,4.148
E,Save,Sm-E4-2h,1406.249,21.492,21.517,NA,21.505,4.591
E,Save,Sm-E5-2h,1343.478,21.375,21.292,21.180,21.282,4.667
E,Save,Sm-E1-4h,1290.055,23.052,22.628,22.354,22.678,4.193
E,Save,Sm-E2-4h,1959.116,22.493,22.468,22.416,22.459,4.267
E,Save,Sm-E3-4h,2667.886,24.290,24.330,24.466,24.362,3.622
E,Save,Sm-E4-4h,2648.678,22.849,22.954,22.836,22.879,4.125
E,Save,Sm-E5-4h,1638.698,23.689,23.671,23.644,23.668,3.857
E,Save,Sm-E1-6h,1516.893,26.255,26.152,26.515,26.307,2.962
E,Save,Sm-E2-6h,944.655,26.804,26.676,26.496,26.659,2.842
E,Save,Sm-E3-6h,1677.646,26.113,26.333,25.878,26.108,3.029
E,Save,Sm-E4-6h,2824.505,26.012,25.649,25.344,25.668,3.179
E,Save,Sm-E5-6h,1564.243,22.094,22.527,22.784,22.468,4.264
E,Save,Sm-E6-6h,1635.354,26.735,26.862,NA,26.799,2.795
E,Save,Sm-E1-8h,1351.191,27.579,27.614,27.683,27.625,2.515
E,Save,Sm-E2-8h,942.873,27.338,27.594,27.225,27.385,2.596
E,Save,Sm-E3-8h,2213.564,27.119,27.342,NA,27.231,2.648
E,Save,Sm-E4-8h,1252.483,27.931,27.809,NA,27.870,2.432
E,Save,Sm-E5-8h,1022.646,26.920,27.070,26.843,26.944,2.746
E,Rpad,Rp-E1-0h,961.798,16.972,16.783,16.868,16.874,6.538
E,Rpad,Rp-E2-0h,1150.153,18.040,18.095,17.537,17.890,6.208
E,Rpad,Rp-E3-0h,2617.715,16.664,16.634,16.632,16.643,6.612
E,Rpad,Rp-E4-0h,1395.415,16.242,16.126,16.157,16.175,6.764
E,Rpad,Rp-E5-0h,966.448,16.807,16.807,16.732,16.782,6.567
E,Rpad,Rp-E1-2h,678.379,24.680,24.622,24.590,24.631,4.026
E,Rpad,Rp-E2-2h,4004.556,23.417,23.320,23.394,23.377,4.432
E,Rpad,Rp-E3-2h,828.750,22.420,22.352,22.378,22.383,4.754
E,Rpad,Rp-E4-2h,814.794,23.088,23.208,22.924,23.073,4.530
E,Rpad,Rp-E5-2h,1325.973,22.640,22.566,22.593,22.599,4.684
E,Rpad,Rp-E1-4h,954.124,25.311,25.589,25.611,25.504,3.743
E,Rpad,Rp-E2-4h,1803.309,25.717,25.332,25.458,25.502,3.744
E,Rpad,Rp-E3-4h,1416.388,26.310,26.384,26.450,26.382,3.459
E,Rpad,Rp-E4-4h,1409.323,26.153,26.244,26.158,26.185,3.523
E,Rpad,Rp-E2-6h,1536.433,26.735,27.433,27.164,27.111,3.223
E,Rpad,Rp-E3-6h,1597.481,26.430,26.164,26.319,26.304,3.484
E,Rpad,Rp-E4-6h,1956.347,26.064,25.735,26.334,26.044,3.568
E,Rpad,Rp-E1-8h,864.996,27.361,27.325,NA,27.343,3.148
E,Rpad,Rp-E2-8h,925.124,28.454,28.287,NA,28.370,2.815
E,Rpad,Rp-E3-8h,1494.541,29.477,29.256,29.486,29.406,2.480
E,Rpad,Rp-E4-8h,1785.721,27.875,28.031,27.852,27.919,2.961
E,Rpad,Rp-E5-8h,2329.496,28.101,28.575,28.724,28.466,2.784
E,Sgra,Sg-E3-0h,944.274,16.488,16.266,16.088,16.281,6.325
E,Sgra,Sg-E4-0h,1055.089,17.129,17.054,16.956,17.046,6.094
E,Sgra,Sg-E1-0h,755.998,17.388,17.434,17.377,17.400,5.987
E,Sgra,Sg-E2-0h,1252.301,16.951,16.878,16.602,16.810,6.165
E,Sgra,Sg-E1-2h,2133.024,21.469,21.536,21.286,21.430,4.770
E,Sgra,Sg-E2-2h,570.243,21.601,21.833,22.316,21.917,4.623
E,Sgra,Sg-E3-2h,376.787,21.508,21.944,21.427,21.626,4.710
E,Sgra,Sg-E5-2h,618.294,21.206,20.874,21.064,21.048,4.885
E,Sgra,Sg-E4-2h,962.663,21.183,21.162,21.224,21.189,4.842
E,Sgra,Sg-E1-4h,1652.200,24.058,24.104,24.364,24.175,3.941
E,Sgra,Sg-E2-4h,446.633,25.511,25.798,25.342,25.550,3.525
E,Sgra,Sg-E3-4h,107.070,23.585,23.801,24.561,23.982,3.999
E,Sgra,Sg-E4-4h,1294.739,24.510,24.847,24.766,24.707,3.780
E,Sgra,Sg-E5-4h,957.450,24.514,24.394,24.564,24.491,3.845
E,Sgra,Sg-E1-6h,2129.100,26.885,26.441,27.856,27.061,3.069
E,Sgra,Sg-E2-6h,967.942,26.155,26.899,NA,26.527,3.230
E,Sgra,Sg-E3-6h,2305.140,26.271,26.560,NA,26.416,3.264
E,Sgra,Sg-E4-6h,703.393,26.895,27.000,NA,26.948,3.103
E,Sgra,Sg-E5-6h,1210.205,26.384,26.349,26.656,26.463,3.250
E,Sgra,Sg-E1-8h,862.130,28.307,28.594,28.794,28.565,2.615
E,Sgra,Sg-E2-8h,1563.152,27.701,28.105,NA,27.903,2.815
E,Sgra,Sg-E3-8h,538.518,29.137,29.408,29.357,29.301,2.392
E,Sgra,Sg-E4-8h,1718.135,29.365,29.433,29.462,29.420,2.356
E,Sgra,Sg-E5-8h,5128.829,28.514,28.394,28.564,28.491,2.637
