Treatment,Plot,Site,Replicate,Date,Year,JDay,Haxy,Save,Rpad
A,Langfang_CK1,Langfang,A_1_14,2015-04-07,2015,97,0,8,0
A,Langfang_CK1,Langfang,A_2_14,2015-04-07,2015,97,0,9,0
A,Langfang_CK1,Langfang,A_3_14,2015-04-07,2015,97,0,9,0
A,Langfang_CK1,Langfang,A_4_14,2015-04-07,2015,97,0,7,0
A,Langfang_CK1,Langfang,A_5_14,2015-04-07,2015,97,0,9,0
A,Langfang_CK2,Langfang,A_1_14,2015-04-07,2015,97,0,6,0
A,Langfang_CK2,Langfang,A_2_14,2015-04-07,2015,97,0,5,0
A,Langfang_CK2,Langfang,A_3_14,2015-04-07,2015,97,0,6,0
A,Langfang_CK2,Langfang,A_4_14,2015-04-07,2015,97,0,8,0
A,Langfang_CK2,Langfang,A_5_14,2015-04-07,2015,97,0,6,0
A,Langfang_CK3,Langfang,A_1_14,2015-04-07,2015,97,0,5,0
A,Langfang_CK3,Langfang,A_2_14,2015-04-07,2015,97,0,4,0
A,Langfang_CK3,Langfang,A_3_14,2015-04-07,2015,97,0,3,0
A,Langfang_CK3,Langfang,A_4_14,2015-04-07,2015,97,0,6,0
A,Langfang_CK3,Langfang,A_5_14,2015-04-07,2015,97,0,4,0
A,Langfang_CK4,Langfang,A_1_14,2015-04-07,2015,97,0,6,0
A,Langfang_CK4,Langfang,A_2_14,2015-04-07,2015,97,0,5,0
A,Langfang_CK4,Langfang,A_3_14,2015-04-07,2015,97,0,8,0
A,Langfang_CK4,Langfang,A_4_14,2015-04-07,2015,97,0,3,0
A,Langfang_CK4,Langfang,A_5_14,2015-04-07,2015,97,0,9,0
A,Langfang_CK5,Langfang,A_1_14,2015-04-07,2015,97,0,2,0
A,Langfang_CK5,Langfang,A_2_14,2015-04-07,2015,97,0,1,0
A,Langfang_CK5,Langfang,A_3_14,2015-04-07,2015,97,0,2,0
A,Langfang_CK5,Langfang,A_4_14,2015-04-07,2015,97,0,3,0
A,Langfang_CK5,Langfang,A_5_14,2015-04-07,2015,97,0,3,0
A,Langfang_CK6,Langfang,A_1_14,2015-04-07,2015,97,0,2,0
A,Langfang_CK6,Langfang,A_2_14,2015-04-07,2015,97,0,1,0
A,Langfang_CK6,Langfang,A_3_14,2015-04-07,2015,97,0,2,0
A,Langfang_CK6,Langfang,A_4_14,2015-04-07,2015,97,0,1,0
A,Langfang_CK6,Langfang,A_5_14,2015-04-07,2015,97,0,5,0
E,Langfang_E1,Langfang,E_1_14,2015-04-07,2015,97,0,18,0
E,Langfang_E1,Langfang,E_2_14,2015-04-07,2015,97,0,21,0
E,Langfang_E1,Langfang,E_3_14,2015-04-07,2015,97,0,23,0
E,Langfang_E1,Langfang,E_4_14,2015-04-07,2015,97,0,16,0
E,Langfang_E1,Langfang,E_5_14,2015-04-07,2015,97,0,13,0
E,Langfang_E2,Langfang,E_1_14,2015-04-07,2015,97,0,14,0
E,Langfang_E2,Langfang,E_2_14,2015-04-07,2015,97,0,17,0
E,Langfang_E2,Langfang,E_3_14,2015-04-07,2015,97,0,15,0
E,Langfang_E2,Langfang,E_4_14,2015-04-07,2015,97,0,12,0
E,Langfang_E2,Langfang,E_5_14,2015-04-07,2015,97,0,16,0
E,Langfang_E3,Langfang,E_1_14,2015-04-07,2015,97,0,29,0
