Treatment	Gene_copy_num	log10_gene_copy	CT_value
SaCOI	4.92E+008	8.692	9.926
SaCOI	4.92E+007	7.692	12.479
SaCOI	4.92E+006	6.692	14.789
SaCOI	4.92E+005	5.692	18.277
SaCOI	4.92E+004	4.692	22.284
SaCOI	4.92E+003	3.692	24.587
SaCOI	4.92E+002	2.692	26.861
SaCOI	4.92E+001	1.692	30.917
SaCOI	4.92E+008	8.692	9.867
SaCOI	4.92E+007	7.692	26.681
SaCOI	4.92E+006	6.692	15.355
SaCOI	4.92E+005	5.692	18.510
SaCOI	4.92E+004	4.692	22.470
SaCOI	4.92E+003	3.692	24.421
SaCOI	4.92E+002	2.692	25.882
SaCOI	4.92E+001	1.692	31.079
SaCOI	4.92E+008	8.692	9.778
SaCOI	4.92E+007	7.692	12.548
SaCOI	4.92E+006	6.692	26.690
SaCOI	4.92E+005	5.692	18.620
SaCOI	4.92E+004	4.692	22.348
SaCOI	4.92E+003	3.692	24.549
SaCOI	4.92E+002	2.692	26.324
SaCOI	4.92E+001	1.692	30.390
RpCOI	4.92E+008	8.692	10.696
RpCOI	4.92E+007	7.692	12.929
RpCOI	4.92E+006	6.692	16.530
RpCOI	4.92E+005	5.692	19.272
RpCOI	4.92E+004	4.692	23.462
RpCOI	4.92E+003	3.692	26.077
RpCOI	4.92E+002	2.692	28.239
RpCOI	4.92E+001	1.692	28.358
RpCOI	4.92E+008	8.692	10.191
RpCOI	4.92E+007	7.692	13.026
RpCOI	4.92E+006	6.692	16.688
RpCOI	4.92E+005	5.692	19.068
RpCOI	4.92E+004	4.692	23.072
RpCOI	4.92E+003	3.692	26.265
RpCOI	4.92E+002	2.692	28.143
RpCOI	4.92E+001	1.692	28.512
RpCOI	4.92E+008	8.692	10.101
RpCOI	4.92E+007	7.692	12.950
RpCOI	4.92E+006	6.692	15.935
RpCOI	4.92E+005	5.692	19.144
RpCOI	4.92E+004	4.692	22.970
RpCOI	4.92E+003	3.692	26.445
RpCOI	4.92E+002	2.692	27.709
RpCOI	4.92E+001	1.692	28.292
SgCOI	4.92E+008	8.692	8.843
SgCOI	4.92E+007	7.692	11.482
SgCOI	4.92E+006	6.692	14.605
SgCOI	4.92E+005	5.692	18.344
SgCOI	4.92E+004	4.692	21.399
SgCOI	4.92E+003	3.692	25.059
SgCOI	4.92E+002	2.692	26.895
SgCOI	4.92E+001	1.692	29.871
SgCOI	4.92E+008	8.692	9.056
SgCOI	4.92E+007	7.692	11.749
SgCOI	4.92E+006	6.692	14.653
SgCOI	4.92E+005	5.692	18.711
SgCOI	4.92E+004	4.692	21.833
SgCOI	4.92E+003	3.692	25.314
SgCOI	4.92E+002	2.692	26.718
SgCOI	4.92E+001	1.692	32.453
SgCOI	4.92E+008	8.692	7.887
SgCOI	4.92E+007	7.692	11.477
SgCOI	4.92E+006	6.692	14.973
SgCOI	4.92E+005	5.692	18.859
SgCOI	4.92E+004	4.692	22.210
SgCOI	4.92E+003	3.692	25.433
SgCOI	4.92E+002	2.692	28.336
SgCOI	4.92E+001	1.692	28.792
