Temperature,ID,Species,InitPreyNum,Preyed24h
A,A1,Save,50,27
A,A2,Save,50,19
A,A3,Save,50,19
A,A4,Save,50,16
A,A5,Save,50,20
A,A6,Save,50,17
A,A7,Save,50,17
A,A1,Rpad,50,13
A,A2,Rpad,50,11
A,A3,Rpad,50,8
A,A4,Rpad,50,7
A,A5,Rpad,50,10
A,A6,Rpad,50,8
A,A7,Rpad,50,7
A,A1,Sgra,50,12
A,A2,Sgra,50,18
A,A3,Sgra,50,11
A,A4,Sgra,50,12
A,A5,Sgra,50,14
A,A6,Sgra,50,17
A,A7,Sgra,50,15
E,E1,Save,50,26
E,E2,Save,50,30
E,E3,Save,50,26
E,E4,Save,50,26
E,E5,Save,50,27
E,E6,Save,50,25
E,E7,Save,50,31
E,E1,Rpad,50,19
E,E2,Rpad,50,12
E,E3,Rpad,50,15
E,E4,Rpad,50,13
E,E5,Rpad,50,16
E,E6,Rpad,50,7
E,E7,Rpad,50,16
E,E1,Sgra,50,20
E,E2,Sgra,50,15
E,E3,Sgra,50,19
E,E4,Sgra,50,17
E,E5,Sgra,50,22
E,E6,Sgra,50,11
E,E7,Sgra,50,20
