"sample_id_fastq","barcoding_id","sample_id","sampling_id","taxonomy","sample_type","sample_type_2","sample_type_3","zone","spot_name","region","region_season","season","body_mass","size_class","sex_state","gut_fullness","standard_length"
"I-B019-B","I_B019_B","I_B019","I08","Turf_rock","Turf","Turf_rock","Turf","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-B020-B","I_B020_B","I_B020","I08","Turf_rock","Turf","Turf_rock","Turf","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-B073-B","I_B073_B","I_B073","I56","Sediment","Sediment","Sediment","Sediment","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-B074-B","I_B074_B","I_B074","I56","Sediment","Sediment","Sediment","Sediment","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-B075-B","I_B075_B","I_B075","I58","Sediment","Sediment","Sediment","Sediment","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-B077-B","I_B077_B","I_B077","I58","Sediment","Sediment","Sediment","Sediment","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-B079-B","I_B079_B","I_B079","I59","Sediment","Sediment","Sediment","Sediment","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-B080-B","I_B080_B","I_B080","I59","Sediment","Sediment","Sediment","Sediment","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-F039-B","I_F039_B","I_F039","I09","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",67,"[100,200]","F","full",147
"I-F040-B","I_F040_B","I_F040","I09","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",203,"[100,200]","M","only_intestine",192
"I-F041-B","I_F041_B","I_F041","I09","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",67,"[100,200]","M","only_intestine",140
"I-F043-B","I_F043_B","I_F043","I09","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",98,"[100,200]","F","two_third_full",163
"I-F046-B","I_F046_B","I_F046","I09","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",88,"[100,200]","M","full",165
"I-F047-B","I_F047_B","I_F047","I09","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",71,"[100,200]","M","full",157
"I-F049-B","I_F049_B","I_F049","I09","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",88,"[100,200]","F","full",155
"I-F053-B","I_F053_B","I_F053","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",70,"[100,200]","M","full",155
"I-F054-B","I_F054_B","I_F054","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",78,"[100,200]","F","full",155
"I-F055-B","I_F055_B","I_F055","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",36,"[100,200]","M","full",118
"I-F056-B","I_F056_B","I_F056","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",73,"[100,200]","M","full",156
"I-F057-B","I_F057_B","I_F057","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",78,"[100,200]","M","full",153
"I-F058-B","I_F058_B","I_F058","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",123,"[100,200]","F","full",178
"I-F059-B","I_F059_B","I_F059","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",58,"[100,200]","F_doubt","full",121
"I-F060-B","I_F060_B","I_F060","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",130,"[100,200]","F","full",177
"I-F061-B","I_F061_B","I_F061","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",116,"[100,200]","M","full",173
"I-F062-B","I_F062_B","I_F062","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",50,"[100,200]","M","full",135
"I-F063-B","I_F063_B","I_F063","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",56,"[100,200]","M","full",137
"I-F064-B","I_F064_B","I_F064","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",48,"[100,200]","M","full",130
"I-F065-B","I_F065_B","I_F065","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",54,"[100,200]","M","full",137
"I-F066-B","I_F066_B","I_F066","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",107,"[100,200]","F","full",172
"I-F067-B","I_F067_B","I_F067","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",51,"[100,200]","M","full",143
"I-F068-B","I_F068_B","I_F068","I12","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",67,"[100,200]","M","full",147
"I-F375-B","I_F375_B","I_F375","I55","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",31,"[100,200]",NA,"full",105
"I-F376-B","I_F376_B","I_F376","I55","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",27,"[100,200]",NA,"full",107
"I-F377-B","I_F377_B","I_F377","I55","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",62,"[100,200]",NA,"full",142
"I-F378-B","I_F378_B","I_F378","I55","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",75,"[100,200]",NA,"full",154
"I-F379-B","I_F379_B","I_F379","I55","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",47,"[100,200]",NA,"half_full",134
"I-F381-B","I_F381_B","I_F381","I55","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",40,"[100,200]",NA,"half_full",124
"I-F382-B","I_F382_B","I_F382","I55","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",20,"[100,200]",NA,"two_third_full",112
