ID_pair;KDE;Indice;Percentage;SizeKDE_adult;Sex_Juvenile;Region;Type_indep
H11_2018;KDE99;SI;0,879698484;197986830,2;Female;Massif_Central;Early
H4_2018;KDE99;SI;0,893987015;325379428,8;Male;Massif_Central;Early
G3_2018;KDE99;SI;0,830856285;254386461,5;Female;Massif_Central;Late
G4_2019;KDE99;SI;0,717221436;252129894,7;Male;Massif_Central;Late
H10_2019;KDE99;SI;0,905888722;136957966,1;Male;Massif_Central;Late
G2_2019;KDE99;SI;0,883241796;123843538,7;Male;Massif_Central;Late
D15_2020;KDE99;SI;0,892312991;165660212,1;Female;Alps;Early
HA17_2018;KDE99;SI;0,901280946;56488124,3;Male;Alps;Early
HA12_2019;KDE99;SI;0,902495719;60458934,72;Female;Alps;Late
HA13_2020;KDE99;SI;0,857918213;56058914,33;Male;Alps;Late
HA11_2019;KDE99;SI;0,82966749;50407650,84;Female;Alps;Early
H11_2019;KDE99;SI;0,900570656;197986830,2;Male;Massif_Central;Early
H7_2020;KDE99;SI;0,723811025;157590217,4;Female;Massif_Central;Early
H10_2020;KDE99;SI;0,898262699;136957966,1;Female;Massif_Central;Early
A4_2020;KDE99;SI;0,594506694;228156098,4;Male;Massif_Central;Early
A6_2020_1;KDE99;SI;0,899647435;193941772,9;Female;Massif_Central;Early
A6_2020_2;KDE99;SI;0,614793659;193941772,9;Female;Massif_Central;Early
H6_2021;KDE99;SI;0,846015827;175153796,7;Female;Massif_Central;Early
HA17_2020;KDE99;SI;0,932624447;56488124,3;Male;Alps;Early
HA1_2020;KDE99;SI;0,3923988;58118923,95;Female;Alps;Early
HA9_2020;KDE99;SI;0,931253549;66485020,17;Male;Alps;Early
G2_2022;KDE99;SI;0,913635077;123843538,7;Male;Massif_Central;Early
A6_2021;KDE99;SI;0,83632394;193941772,9;Male;Massif_Central;Late
A2_2021;KDE99;SI;0,928805457;255957076,3;Female;Massif_Central;Early
H10_2022;KDE99;SI;0,855025509;136957966,1;Male;Massif_Central;Late
HA15_2022;KDE99;SI;0,933379689;65218105,88;Male;Alps;Early
H4_2016;KDE99;SI;0,924157041;325379428,8;Female;Massif_Central;Late
G2_2016;KDE99;SI;0,903401985;123843538,7;Female;Massif_Central;Early
